id_a,id_b,label
fullcontact_1474,http://dbpedia.org/resource/Skis_Rossignol,1
fullcontact_1339,http://dbpedia.org/resource/Tillamook_County_Creamery_Association,1
fullcontact_663,http://dbpedia.org/resource/Sherwin-Williams,1
fullcontact_960,http://dbpedia.org/resource/Walden_Media,1
fullcontact_1104,http://dbpedia.org/resource/TradeGecko,1
fullcontact_1155,http://dbpedia.org/resource/Living_Oceans_Society,1
fullcontact_1515,http://dbpedia.org/resource/Italdesign_Giugiaro,1
fullcontact_1463,http://dbpedia.org/resource/The_J._Peterman_Company,1
fullcontact_1368,http://dbpedia.org/resource/Attentio,1
fullcontact_848,http://dbpedia.org/resource/Bottega_Veneta,1
fullcontact_424,http://dbpedia.org/resource/Inter_RAO,1
fullcontact_1093,http://dbpedia.org/resource/Rewards_Network,1
fullcontact_1226,http://dbpedia.org/resource/Diners_Club_International,1
fullcontact_172,http://dbpedia.org/resource/Brookfield_Asset_Management,1
fullcontact_1228,http://dbpedia.org/resource/Elite_Systems,1
fullcontact_1609,http://dbpedia.org/resource/NexGen_Storage,1
fullcontact_1692,http://dbpedia.org/resource/Ronco,1
fullcontact_1439,http://dbpedia.org/resource/Jeni's_Splendid_Ice_Creams,1
fullcontact_1072,http://dbpedia.org/resource/Entertainment_Studios,1
fullcontact_1361,http://dbpedia.org/resource/Hexaglobe,1
fullcontact_1429,http://dbpedia.org/resource/Ixigo.com,1
fullcontact_7,http://dbpedia.org/resource/PPG_Industries,1
fullcontact_1672,http://dbpedia.org/resource/M%C3%B6venpick_Hotels_&_Resorts,1
fullcontact_1282,http://dbpedia.org/resource/Gerber_Products_Company,1
fullcontact_866,http://dbpedia.org/resource/Huntsman_Corporation,1
fullcontact_188,http://dbpedia.org/resource/Capgemini,1
fullcontact_907,http://dbpedia.org/resource/Affliction_Clothing,1
fullcontact_1951,http://dbpedia.org/resource/Karbonn_Mobiles,1
fullcontact_1623,http://dbpedia.org/resource/Byyd,1
fullcontact_1735,http://dbpedia.org/resource/Fidelity_&_Guaranty_Life,1
fullcontact_1223,http://dbpedia.org/resource/Martin_Professional,1
fullcontact_1498,http://dbpedia.org/resource/JASCO_Applied_Sciences,1
fullcontact_1856,"http://dbpedia.org/resource/The_Leela_Palaces,_Hotels_and_Resorts",1
fullcontact_1130,http://dbpedia.org/resource/Casengo,1
fullcontact_1722,http://dbpedia.org/resource/Annapurna_Studios,1
fullcontact_1068,http://dbpedia.org/resource/SteelSeries,1
fullcontact_1738,http://dbpedia.org/resource/Novadios,1
fullcontact_1740,http://dbpedia.org/resource/Blimpie,1
fullcontact_970,http://dbpedia.org/resource/New_World_Interactive,1
fullcontact_1055,http://dbpedia.org/resource/Konarka_Technologies,1
fullcontact_652,http://dbpedia.org/resource/Schindler_Group,1
fullcontact_1275,http://dbpedia.org/resource/Macy's,1
fullcontact_1370,http://dbpedia.org/resource/Karen_Millen,1
fullcontact_802,http://dbpedia.org/resource/Volkswagen_Group,1
fullcontact_1432,http://dbpedia.org/resource/Shearer's_Foods,1
fullcontact_1707,http://dbpedia.org/resource/Comarch,1
fullcontact_1018,http://dbpedia.org/resource/LizardTech,1
fullcontact_1944,http://dbpedia.org/resource/S&P_Capital_IQ,1
fullcontact_583,http://dbpedia.org/resource/Petro_Rabigh,1
fullcontact_1342,http://dbpedia.org/resource/Lukoil,1
fullcontact_1788,http://dbpedia.org/resource/Jeremy_Rogers_Limited,1
fullcontact_1835,http://dbpedia.org/resource/R%C3%B8de_Microphones,1
fullcontact_1057,"http://dbpedia.org/resource/Press_Pass,_Inc.",1
fullcontact_1889,http://dbpedia.org/resource/Luxoft,1
fullcontact_1681,http://dbpedia.org/resource/Lundin_Mining,1
fullcontact_1180,http://dbpedia.org/resource/Nortel,1
fullcontact_1196,http://dbpedia.org/resource/Beam_Inc.,1
fullcontact_1322,http://dbpedia.org/resource/Prudential_Financial,1
fullcontact_607,http://dbpedia.org/resource/Prudential_Financial,1
fullcontact_1076,http://dbpedia.org/resource/Papa_Cristo's,1
fullcontact_1651,http://dbpedia.org/resource/Ex_Libris_Group,1
fullcontact_80,http://dbpedia.org/resource/Alpha_Bank,1
fullcontact_508,http://dbpedia.org/resource/Metso,1
fullcontact_244,http://dbpedia.org/resource/CSX_Corporation,1
fullcontact_1486,http://dbpedia.org/resource/Landis+Gyr,1
fullcontact_1591,http://dbpedia.org/resource/The_MobileStore,1
fullcontact_1796,http://dbpedia.org/resource/Texas_de_Brazil,1
fullcontact_1905,http://dbpedia.org/resource/Kiddiepunk,1
fullcontact_1152,http://dbpedia.org/resource/DotSUB,1
fullcontact_1947,"http://dbpedia.org/resource/SilkRoad,_Inc.",1
fullcontact_754,http://dbpedia.org/resource/TransCanada_Corporation,1
fullcontact_1353,http://dbpedia.org/resource/Silver_Jeans_Co.,1
fullcontact_1798,http://dbpedia.org/resource/Interislander,1
fullcontact_1861,http://dbpedia.org/resource/CyWee,1
fullcontact_1443,http://dbpedia.org/resource/Christie's,1
fullcontact_1101,http://dbpedia.org/resource/Southeast_Bank_Limited,1
fullcontact_1555,http://dbpedia.org/resource/Cimatron,1
fullcontact_1021,http://dbpedia.org/resource/Kontor_Records,1
fullcontact_1766,http://dbpedia.org/resource/AltaLink,1
fullcontact_1058,http://dbpedia.org/resource/Isofoton,1
fullcontact_326,http://dbpedia.org/resource/Foot_Locker,1
fullcontact_1673,http://dbpedia.org/resource/Turner_Construction,1
fullcontact_1479,http://dbpedia.org/resource/National_Bank_of_Bahrain,1
fullcontact_1887,http://dbpedia.org/resource/JETT_customer_experience,1
fullcontact_1431,http://dbpedia.org/resource/Axiom_Films,1
fullcontact_823,http://dbpedia.org/resource/Wistron_Corporation,1
fullcontact_1191,http://dbpedia.org/resource/BeGood_Clothing,1
fullcontact_934,http://dbpedia.org/resource/Dairylea_Cooperative_Inc.,1
fullcontact_1138,http://dbpedia.org/resource/Anyoption,1
fullcontact_1551,http://dbpedia.org/resource/Benefit_Cosmetics,1
fullcontact_1504,http://dbpedia.org/resource/Snelling_Staffing_Services,1
fullcontact_1606,http://dbpedia.org/resource/Audiokinetic,1
fullcontact_1713,http://dbpedia.org/resource/Marimekko,1
fullcontact_1791,http://dbpedia.org/resource/Onefinestay,1
fullcontact_1023,http://dbpedia.org/resource/WeeWorld,1
fullcontact_1698,http://dbpedia.org/resource/Tekserve,1
fullcontact_1685,http://dbpedia.org/resource/Sears_Israel,1
fullcontact_964,http://dbpedia.org/resource/Revision3,1
fullcontact_1214,http://dbpedia.org/resource/Crystal_Dynamics,1
fullcontact_1522,http://dbpedia.org/resource/River_Island,1
fullcontact_1936,http://dbpedia.org/resource/Coupa,1
fullcontact_389,http://dbpedia.org/resource/Hewlett-Packard,1
fullcontact_1195,http://dbpedia.org/resource/Ameriprise_Financial,1
fullcontact_1957,http://dbpedia.org/resource/Reminderband,1
fullcontact_827,"http://dbpedia.org/resource/Workday,_Inc.",1
fullcontact_1413,http://dbpedia.org/resource/Cage_Fury_Fighting_Championships,1
fullcontact_1162,http://dbpedia.org/resource/Izenpe,1
fullcontact_1452,http://dbpedia.org/resource/EVS_Broadcast_Equipment,1
fullcontact_678,http://dbpedia.org/resource/Sistema,1
fullcontact_1733,http://dbpedia.org/resource/Pepephone,1
fullcontact_1122,http://dbpedia.org/resource/MAPNA_Group,1
fullcontact_1288,http://dbpedia.org/resource/Neiman_Marcus,1
fullcontact_511,http://dbpedia.org/resource/Micron_Technology,1
fullcontact_1598,http://dbpedia.org/resource/Platinum_Studios,1
fullcontact_403,http://dbpedia.org/resource/Huntsman_Corporation,1
fullcontact_1849,http://dbpedia.org/resource/H._Stern,1
fullcontact_1683,http://dbpedia.org/resource/Asprey,1
fullcontact_977,http://dbpedia.org/resource/Schott_NYC,1
fullcontact_324,http://dbpedia.org/resource/FMC_Corporation,1
fullcontact_23,http://dbpedia.org/resource/Lanxess,1
fullcontact_1120,http://dbpedia.org/resource/Somtel,1
fullcontact_1389,http://dbpedia.org/resource/The_Co-operators,1
fullcontact_218,http://dbpedia.org/resource/Clariant,1
fullcontact_1414,http://dbpedia.org/resource/Applied_Maths,1
fullcontact_1458,http://dbpedia.org/resource/Gain_Capital,1
