id1,id2,label
dbpedia_games_41878,sales_1675,1
dbpedia_games_11402,sales_4488,1
dbpedia_games_757,sales_51,1
dbpedia_games_2816,sales_2076,1
dbpedia_games_15017,sales_799,1
dbpedia_games_7544,sales_2437,1
dbpedia_games_32600,sales_6969,1
dbpedia_games_42524,sales_1354,1
dbpedia_games_17295,sales_2637,1
dbpedia_games_11236,sales_644,1
dbpedia_games_15445,sales_5266,1
dbpedia_games_41725,sales_379,1
dbpedia_games_54762,sales_3916,1
dbpedia_games_60088,sales_1780,1
dbpedia_games_9550,sales_5024,1
dbpedia_games_56908,sales_137,1
dbpedia_games_63156,sales_3742,1
dbpedia_games_43790,sales_1439,1
dbpedia_games_6920,sales_4386,1
dbpedia_games_22063,sales_2843,1
dbpedia_games_51657,sales_2250,0
dbpedia_games_1171,sales_1452,0
dbpedia_games_788,sales_2386,0
dbpedia_games_42150,sales_379,0
dbpedia_games_40913,sales_2917,0
dbpedia_games_59328,sales_630,0
dbpedia_games_21612,sales_1700,0
dbpedia_games_33912,sales_5331,0
dbpedia_games_52860,sales_449,0
dbpedia_games_18008,sales_1183,0
dbpedia_games_41740,sales_4707,0
dbpedia_games_37631,sales_860,0
dbpedia_games_44676,sales_1354,0
dbpedia_games_60579,sales_3873,0
dbpedia_games_59670,sales_1212,0
dbpedia_games_62004,sales_2283,0
dbpedia_games_16251,sales_2250,0
dbpedia_games_44576,sales_3020,0
dbpedia_games_3551,sales_4135,0
dbpedia_games_24636,sales_3085,1
dbpedia_games_9673,sales_4066,1
dbpedia_games_45782,sales_937,0
dbpedia_games_38680,sales_4407,0
dbpedia_games_33067,sales_2278,0
dbpedia_games_15372,sales_42,0
dbpedia_games_52332,sales_1367,1
dbpedia_games_22641,sales_19,0
dbpedia_games_34023,sales_5451,1
dbpedia_games_61067,sales_5810,0
dbpedia_games_29666,sales_7099,0
dbpedia_games_4195,sales_1264,0
dbpedia_games_30765,sales_5657,0
dbpedia_games_2177,sales_2200,0
dbpedia_games_46500,sales_5263,0
dbpedia_games_52523,sales_5272,0
dbpedia_games_58021,sales_1027,0
dbpedia_games_38503,sales_1408,0
dbpedia_games_60251,sales_4939,0
dbpedia_games_11461,sales_7091,0
dbpedia_games_6167,sales_3830,0
dbpedia_games_35411,sales_6191,0
dbpedia_games_4626,sales_178,0
dbpedia_games_56252,sales_6359,0
dbpedia_games_1242,sales_4599,0
dbpedia_games_5398,sales_1232,0
dbpedia_games_17654,sales_5577,0
dbpedia_games_18826,sales_4047,0
dbpedia_games_50774,sales_1543,0
dbpedia_games_54292,sales_4824,0
dbpedia_games_5038,sales_2649,0
dbpedia_games_2414,sales_3330,0
dbpedia_games_22674,sales_7385,0
dbpedia_games_41058,sales_4852,0
dbpedia_games_2903,sales_7170,0
dbpedia_games_56723,sales_2885,0
dbpedia_games_51416,sales_3335,0
dbpedia_games_39939,sales_339,0
dbpedia_games_12929,sales_3999,0
dbpedia_games_19208,sales_5440,0
dbpedia_games_24514,sales_5525,0
dbpedia_games_26652,sales_5129,0
dbpedia_games_19206,sales_3611,0
dbpedia_games_55925,sales_2132,0
dbpedia_games_17271,sales_501,0
dbpedia_games_49645,sales_1131,0
dbpedia_games_9347,sales_1671,0
dbpedia_games_23539,sales_4017,0
dbpedia_games_25365,sales_2807,0
dbpedia_games_43130,sales_568,0
dbpedia_games_14164,sales_2261,0
dbpedia_games_53435,sales_72,0
dbpedia_games_13693,sales_4600,0
dbpedia_games_26344,sales_4156,0
dbpedia_games_53033,sales_5043,0
dbpedia_games_45564,sales_6894,0
dbpedia_games_36305,sales_3499,0
dbpedia_games_22026,sales_3073,0
dbpedia_games_63367,sales_4157,0
dbpedia_games_12326,sales_5930,0
dbpedia_games_25418,sales_3354,0
