id1,id2,label
discogs_131929,lastFM_4713,1.0
discogs_39338,lastFM_7221,1.0
discogs_125380,lastFM_55115,1.0
discogs_91794,lastFM_42138,1.0
discogs_146581,lastFM_69767,1.0
discogs_59399,lastFM_27846,1.0
discogs_150172,lastFM_65435,1.0
discogs_94082,lastFM_30376,1.0
discogs_75835,lastFM_80441,1.0
discogs_133722,lastFM_59063,1.0
discogs_112354,lastFM_50474,
discogs_161228,lastFM_49219,1.0
discogs_76197,lastFM_35433,1.0
discogs_16958,lastFM_8237,1.0
discogs_17667,lastFM_7437,1.0
discogs_166803,lastFM_71710,1.0
discogs_159177,lastFM_13776,1.0
discogs_61896,lastFM_29202,1.0
discogs_135444,lastFM_13375,1.0
discogs_745,lastFM_434,1.0
discogs_6112,lastFM_2978,1.0
discogs_154273,lastFM_78907,1.0
discogs_90631,lastFM_49578,1.0
discogs_35458,lastFM_40293,1.0
discogs_102508,lastFM_46450,1.0
discogs_129548,lastFM_76732,1.0
discogs_31353,lastFM_14998,1.0
discogs_155448,lastFM_15333,1.0
discogs_196553,lastFM_2186,1.0
discogs_87143,lastFM_9763,1.0
discogs_64631,lastFM_49219,0.0
discogs_93461,lastFM_42817,1.0
discogs_141375,lastFM_62075,1.0
discogs_7513,lastFM_3584,1.0
discogs_130605,lastFM_11366,0.0
discogs_103796,lastFM_49545,1.0
discogs_137337,lastFM_7437,1.0
discogs_27078,lastFM_30468,1.0
discogs_18013,lastFM_8730,1.0
discogs_14064,lastFM_6832,1.0
discogs_109332,lastFM_23621,0.0
discogs_10662,lastFM_5211,1.0
discogs_73524,lastFM_79152,0.0
discogs_176283,lastFM_49726,1.0
discogs_12986,lastFM_6340,1.0
discogs_182925,lastFM_77985,1.0
discogs_151804,lastFM_70782,1.0
discogs_123442,lastFM_77344,1.0
discogs_20083,lastFM_69792,1.0
discogs_22963,lastFM_11122,1.0
discogs_22406,lastFM_43813,1.0
discogs_181538,lastFM_74366,1.0
discogs_164861,lastFM_73880,0.0
discogs_80773,lastFM_9529,1.0
discogs_183535,lastFM_78190,0.0
discogs_23583,lastFM_62335,0.0
discogs_154597,lastFM_21874,1.0
discogs_52655,lastFM_78942,1.0
discogs_7085,lastFM_71922,1.0
discogs_23384,lastFM_11320,1.0
discogs_152648,lastFM_50472,1.0
discogs_151192,lastFM_65837,1.0
discogs_40649,lastFM_27070,0.0
discogs_167044,lastFM_9417,0.0
discogs_129968,lastFM_26805,0.0
discogs_37252,lastFM_15231,0.0
discogs_139468,lastFM_71867,0.0
discogs_162524,lastFM_70090,1.0
discogs_14890,lastFM_42181,0.0
discogs_9366,lastFM_37738,0.0
discogs_161873,lastFM_62335,0.0
discogs_193207,lastFM_78190,0.0
discogs_23583,lastFM_64401,0.0
discogs_120310,lastFM_37263,0.0
discogs_113329,lastFM_36267,0.0
discogs_25701,lastFM_72696,0.0
discogs_186377,lastFM_11104,0.0
discogs_112558,lastFM_76732,0.0
discogs_9685,lastFM_4752,0.0
discogs_165185,lastFM_78190,0.0
discogs_140075,lastFM_74825,0.0
discogs_131367,lastFM_36720,0.0
discogs_96676,lastFM_50272,0.0
discogs_154844,lastFM_15492,0.0
discogs_78685,lastFM_52273,0.0
discogs_104740,lastFM_22082,0.0
discogs_81334,lastFM_15187,0.0
discogs_165295,lastFM_72922,0.0
discogs_58545,lastFM_6959,0.0
discogs_87747,lastFM_9417,0.0
discogs_22205,lastFM_79547,0.0
discogs_112155,lastFM_2207,0.0
discogs_126030,lastFM_72950,0.0
discogs_123160,lastFM_78190,0.0
discogs_25701,lastFM_52273,0.0
discogs_908,lastFM_65213,0.0
discogs_162702,lastFM_44690,0.0
discogs_160765,lastFM_61662,0.0
discogs_181156,lastFM_16453,0.0
discogs_77385,lastFM_69121,0.0
