id1,id2,label
mbrainz_17009,lastFM_39755,1
mbrainz_20856,lastFM_52562,1
mbrainz_4310,lastFM_8915,1
mbrainz_27554,lastFM_69031,1
mbrainz_5229,lastFM_10906,1
mbrainz_1074,lastFM_2484,1
mbrainz_9794,lastFM_20852,1
mbrainz_371,lastFM_699,1
mbrainz_16054,lastFM_36406,1
mbrainz_3664,lastFM_7624,1
mbrainz_21256,lastFM_53769,1
mbrainz_641,lastFM_1490,1
mbrainz_15414,lastFM_33930,1
mbrainz_16566,lastFM_38263,1
mbrainz_27299,lastFM_68339,1
mbrainz_21259,lastFM_53774,1
mbrainz_7812,lastFM_16667,1
mbrainz_18232,lastFM_44105,1
mbrainz_11897,lastFM_25585,1
mbrainz_7508,lastFM_16033,1
mbrainz_931,lastFM_2157,1
mbrainz_14823,lastFM_32511,1
mbrainz_23867,lastFM_60469,1
mbrainz_2139,lastFM_4650,1
mbrainz_2155,lastFM_4681,1
mbrainz_279,lastFM_479,1
mbrainz_7358,lastFM_15717,1
mbrainz_4316,lastFM_8926,1
mbrainz_4163,lastFM_8633,1
mbrainz_882,lastFM_2054,1
mbrainz_1128,lastFM_2589,1
mbrainz_9069,lastFM_19324,1
mbrainz_5054,lastFM_10490,1
mbrainz_10107,lastFM_21535,1
mbrainz_18501,lastFM_44997,1
mbrainz_140,lastFM_186,1
mbrainz_16881,lastFM_39328,1
mbrainz_9841,lastFM_20965,1
mbrainz_8138,lastFM_17400,1
mbrainz_26920,lastFM_67469,1
mbrainz_4477,lastFM_9234,1
mbrainz_12847,lastFM_27675,1
mbrainz_20422,lastFM_51468,1
mbrainz_2474,lastFM_5276,1
mbrainz_26684,lastFM_66884,1
mbrainz_4029,lastFM_8373,1
mbrainz_656,lastFM_1528,1
mbrainz_25400,lastFM_64052,1
mbrainz_22063,lastFM_53159,1
mbrainz_15077,lastFM_33150,1
mbrainz_7739,lastFM_16512,1
mbrainz_20506,lastFM_51692,1
mbrainz_8994,lastFM_46292,1
mbrainz_25550,lastFM_37496,0
mbrainz_31697,lastFM_78843,1
mbrainz_3145,lastFM_10945,1
mbrainz_6884,lastFM_14575,1
mbrainz_6947,lastFM_69002,1
mbrainz_1113,lastFM_2562,1
mbrainz_3051,lastFM_6442,1
mbrainz_2870,lastFM_58941,1
mbrainz_4447,lastFM_28276,1
mbrainz_25489,lastFM_33682,0
mbrainz_4327,lastFM_29069,1
mbrainz_19825,lastFM_70974,0
mbrainz_31367,lastFM_8440,1
mbrainz_206,lastFM_355,1
mbrainz_12578,lastFM_27092,1
mbrainz_10112,lastFM_20833,1
mbrainz_11359,lastFM_24361,0
mbrainz_9858,lastFM_55706,0
mbrainz_12182,lastFM_44523,0
mbrainz_22652,lastFM_57473,1
mbrainz_11342,lastFM_71618,0
mbrainz_2229,lastFM_6828,1
mbrainz_23843,lastFM_13642,1
mbrainz_2347,lastFM_5056,1
mbrainz_16258,lastFM_37235,1
mbrainz_14400,lastFM_55706,1
mbrainz_3801,lastFM_7895,1
mbrainz_3907,lastFM_8113,1
mbrainz_19901,lastFM_59826,0
mbrainz_20244,lastFM_27055,0
mbrainz_30041,lastFM_421,0
mbrainz_883,lastFM_65291,1
mbrainz_7234,lastFM_15016,1
mbrainz_2738,lastFM_58292,1
mbrainz_28944,lastFM_64263,0
mbrainz_4137,lastFM_72357,0
mbrainz_9583,lastFM_32070,0
mbrainz_1107,lastFM_26992,0
mbrainz_208,lastFM_44469,0
mbrainz_883,lastFM_31400,0
mbrainz_4137,lastFM_31434,0
mbrainz_8699,lastFM_69252,0
mbrainz_3115,lastFM_53086,1
mbrainz_6257,lastFM_74985,1
mbrainz_8699,lastFM_64263,0
mbrainz_3879,lastFM_54415,0
mbrainz_4137,lastFM_65584,0
