id1,id2,label
kaggle380k-000857,uber_eats-00902,1
kaggle380k-000486,uber_eats-00441,1
kaggle380k-001601,uber_eats-00283,0
kaggle380k-001094,uber_eats-00576,0
kaggle380k-001631,uber_eats-00297,1
kaggle380k-001632,uber_eats-00293,1
kaggle380k-001568,uber_eats-00305,1
kaggle380k-001638,uber_eats-00293,0
kaggle380k-001564,uber_eats-00284,0
kaggle380k-001121,uber_eats-00542,0
kaggle380k-001588,uber_eats-00300,0
kaggle380k-001853,uber_eats-00987,0
kaggle380k-001047,uber_eats-00614,1
kaggle380k-001101,uber_eats-00576,0
kaggle380k-000502,uber_eats-00496,1
kaggle380k-000830,uber_eats-00905,1
kaggle380k-001615,uber_eats-00295,1
kaggle380k-001080,uber_eats-00613,1
kaggle380k-001079,uber_eats-00624,1
kaggle380k-001653,uber_eats-00289,0
kaggle380k-001070,uber_eats-00592,1
kaggle380k-000591,uber_eats-00435,1
kaggle380k-001825,uber_eats-00977,1
kaggle380k-000580,uber_eats-00151,1
kaggle380k-001132,uber_eats-00561,0
kaggle380k-001067,uber_eats-00584,0
kaggle380k-001098,uber_eats-00561,0
kaggle380k-001102,uber_eats-00561,0
kaggle380k-001665,uber_eats-00301,0
kaggle380k-001067,uber_eats-00604,0
kaggle380k-001154,uber_eats-00561,0
kaggle380k-001140,uber_eats-00561,0
kaggle380k-001835,uber_eats-00996,0
kaggle380k-001841,uber_eats-01005,0
kaggle380k-001067,uber_eats-00598,1
kaggle380k-001132,uber_eats-00607,0
kaggle380k-001562,uber_eats-00284,0
kaggle380k-001657,uber_eats-00283,1
kaggle380k-000863,uber_eats-00914,0
kaggle380k-001645,uber_eats-00296,0
kaggle380k-001096,uber_eats-00553,0
kaggle380k-001048,uber_eats-00625,0
kaggle380k-001132,uber_eats-00541,0
kaggle380k-001590,uber_eats-00298,0
kaggle380k-000547,uber_eats-00496,0
kaggle380k-001126,uber_eats-00585,1
kaggle380k-001837,uber_eats-00981,1
kaggle380k-001065,uber_eats-00557,1
kaggle380k-000848,uber_eats-00902,0
kaggle380k-001814,uber_eats-00987,0
kaggle380k-001601,uber_eats-00291,0
kaggle380k-000491,uber_eats-00106,1
kaggle380k-001581,uber_eats-00292,1
kaggle380k-001068,uber_eats-00602,1
kaggle380k-000569,uber_eats-00486,1
kaggle380k-001862,uber_eats-00995,0
kaggle380k-000877,uber_eats-00907,1
kaggle380k-001079,uber_eats-00589,0
kaggle380k-000878,uber_eats-00914,1
kaggle380k-001061,uber_eats-00567,1
kaggle380k-001802,uber_eats-00993,1
kaggle380k-001651,uber_eats-00289,1
kaggle380k-001837,uber_eats-00982,0
kaggle380k-001803,uber_eats-00985,1
kaggle380k-000489,uber_eats-00475,1
kaggle380k-001855,uber_eats-01008,0
kaggle380k-000846,uber_eats-00909,1
kaggle380k-000557,uber_eats-00139,1
kaggle380k-001635,uber_eats-00295,0
kaggle380k-001561,uber_eats-00284,1
kaggle380k-001152,uber_eats-00536,0
kaggle380k-001657,uber_eats-00288,0
kaggle380k-001093,uber_eats-00574,1
kaggle380k-001133,uber_eats-00548,1
kaggle380k-001645,uber_eats-00301,1
kaggle380k-000864,uber_eats-00915,1
kaggle380k-001161,uber_eats-00538,1
kaggle380k-001834,uber_eats-00998,1
kaggle380k-001129,uber_eats-00600,1
kaggle380k-001073,uber_eats-00560,1
kaggle380k-001651,uber_eats-00294,0
kaggle380k-000565,uber_eats-00518,1
kaggle380k-001820,uber_eats-00986,1
kaggle380k-001821,uber_eats-00990,0
kaggle380k-001812,uber_eats-00992,1
kaggle380k-001841,uber_eats-00996,1
kaggle380k-001116,uber_eats-00536,0
kaggle380k-001569,uber_eats-00306,1
kaggle380k-001153,uber_eats-00618,1
kaggle380k-001585,uber_eats-00285,0
kaggle380k-001653,uber_eats-00294,1
kaggle380k-000842,uber_eats-00918,1
kaggle380k-001826,uber_eats-01002,1
kaggle380k-000499,uber_eats-00153,1
kaggle380k-000592,uber_eats-00213,1
kaggle380k-000803,uber_eats-00916,1
kaggle380k-000563,uber_eats-00433,1
kaggle380k-001084,uber_eats-00595,1
kaggle380k-000875,uber_eats-00903,1
kaggle380k-001128,uber_eats-00555,1
