id1,id2,label
kaggle380k-001157,uber_eats-00554,1
kaggle380k-001561,uber_eats-00284,1
kaggle380k-000591,uber_eats-00435,1
kaggle380k-000486,uber_eats-00441,1
kaggle380k-001826,uber_eats-01002,1
kaggle380k-001054,uber_eats-00558,1
kaggle380k-001803,uber_eats-00985,1
kaggle380k-000830,uber_eats-00905,1
kaggle380k-000489,uber_eats-00475,1
kaggle380k-001645,uber_eats-00301,1
kaggle380k-000857,uber_eats-00902,1
kaggle380k-000557,uber_eats-00139,0
kaggle380k-001632,uber_eats-00293,1
kaggle380k-000592,uber_eats-00213,1
kaggle380k-001129,uber_eats-00600,1
kaggle380k-000803,uber_eats-00916,1
kaggle380k-001835,uber_eats-01005,1
kaggle380k-000594,uber_eats-00172,1
kaggle380k-001061,uber_eats-00567,1
kaggle380k-001837,uber_eats-00981,1
kaggle380k-001161,uber_eats-00538,1
kaggle380k-004993,uber_eats-00154,0
kaggle380k-007187,uber_eats-02086,0
kaggle380k-008023,uber_eats-07705,0
kaggle380k-005521,uber_eats-04469,0
kaggle380k-008591,uber_eats-02563,0
kaggle380k-005949,uber_eats-04417,0
kaggle380k-007755,uber_eats-00417,0
kaggle380k-005607,uber_eats-08216,0
kaggle380k-009687,uber_eats-05510,0
kaggle380k-008580,uber_eats-01055,0
kaggle380k-000702,uber_eats-04257,0
kaggle380k-005029,uber_eats-02110,0
kaggle380k-004812,uber_eats-05172,0
kaggle380k-002146,uber_eats-06746,0
kaggle380k-001672,uber_eats-01407,0
kaggle380k-004513,uber_eats-03951,0
kaggle380k-004388,uber_eats-00848,0
kaggle380k-008465,uber_eats-06375,0
kaggle380k-007897,uber_eats-03727,0
kaggle380k-005174,uber_eats-08141,0
kaggle380k-006745,uber_eats-05835,0
kaggle380k-006655,uber_eats-05769,0
kaggle380k-009644,uber_eats-05787,0
kaggle380k-000210,uber_eats-02098,0
kaggle380k-001684,uber_eats-04480,0
kaggle380k-002773,uber_eats-06633,0
kaggle380k-007478,uber_eats-09755,0
kaggle380k-002828,uber_eats-05603,0
kaggle380k-009530,uber_eats-03479,0
kaggle380k-000087,uber_eats-04163,0
kaggle380k-002934,uber_eats-09175,0
kaggle380k-005343,uber_eats-02725,0
kaggle380k-007144,uber_eats-08316,0
kaggle380k-004578,uber_eats-01943,0
kaggle380k-008796,uber_eats-01622,0
kaggle380k-001158,uber_eats-03305,0
kaggle380k-002596,uber_eats-09860,0
kaggle380k-004899,uber_eats-04536,0
kaggle380k-006059,uber_eats-06638,0
kaggle380k-001115,uber_eats-02229,0
kaggle380k-009445,uber_eats-06181,0
kaggle380k-002010,uber_eats-09954,0
kaggle380k-000871,uber_eats-01136,0
kaggle380k-008869,uber_eats-01740,0
kaggle380k-004647,uber_eats-02071,0
kaggle380k-000828,uber_eats-09739,0
kaggle380k-003711,uber_eats-04485,0
kaggle380k-000803,uber_eats-00548,0
kaggle380k-003209,uber_eats-08750,0
kaggle380k-001806,uber_eats-02495,0
kaggle380k-006901,uber_eats-08552,0
kaggle380k-006610,uber_eats-08170,0
kaggle380k-004045,uber_eats-08019,0
kaggle380k-009110,uber_eats-01469,0
kaggle380k-004349,uber_eats-08530,0
kaggle380k-008369,uber_eats-08337,0
kaggle380k-002997,uber_eats-05286,0
kaggle380k-009628,uber_eats-00989,0
kaggle380k-001790,uber_eats-09781,0
kaggle380k-001196,uber_eats-05581,0
kaggle380k-006159,uber_eats-05453,0
kaggle380k-004480,uber_eats-02641,0
kaggle380k-005386,uber_eats-04035,0
kaggle380k-009023,uber_eats-08485,0
kaggle380k-000143,uber_eats-06893,0
kaggle380k-003629,uber_eats-03785,0
kaggle380k-004617,uber_eats-07584,0
kaggle380k-009035,uber_eats-06810,0
kaggle380k-000852,uber_eats-01509,0
kaggle380k-008829,uber_eats-02602,0
kaggle380k-007468,uber_eats-01632,0
kaggle380k-007241,uber_eats-06498,0
kaggle380k-003959,uber_eats-08750,0
kaggle380k-001769,uber_eats-08402,0
kaggle380k-005801,uber_eats-08129,0
kaggle380k-009681,uber_eats-00749,0
kaggle380k-005815,uber_eats-06420,0
kaggle380k-002521,uber_eats-02273,0
kaggle380k-002500,uber_eats-09746,0
