id1,id2,label
kaggle380k-005254,yelp-06525,1
kaggle380k-000924,yelp-06350,1
kaggle380k-004361,yelp-06708,1
kaggle380k-008446,yelp-07443,1
kaggle380k-005206,yelp-06407,1
kaggle380k-004417,yelp-06684,1
kaggle380k-005230,yelp-06484,1
kaggle380k-004358,yelp-06628,1
kaggle380k-005219,yelp-06392,1
kaggle380k-005316,yelp-06476,1
kaggle380k-000901,yelp-06344,1
kaggle380k-005270,yelp-06406,1
kaggle380k-005284,yelp-06497,1
kaggle380k-008940,yelp-02360,1
kaggle380k-004337,yelp-06687,1
kaggle380k-005212,yelp-06483,1
kaggle380k-004994,yelp-06475,1
kaggle380k-009032,yelp-01949,1
kaggle380k-004333,yelp-06666,1
kaggle380k-005249,yelp-06481,1
kaggle380k-005267,yelp-06438,1
kaggle380k-004413,yelp-06782,1
kaggle380k-003604,yelp-08178,1
kaggle380k-008991,yelp-02006,1
kaggle380k-003525,yelp-08249,1
kaggle380k-004344,yelp-06622,1
kaggle380k-003527,yelp-08138,1
kaggle380k-005224,yelp-06415,1
kaggle380k-005227,yelp-06538,1
kaggle380k-003548,yelp-08125,1
kaggle380k-000579,yelp-05677,0
kaggle380k-008686,yelp-07137,0
kaggle380k-003249,yelp-07849,0
kaggle380k-005571,yelp-02277,0
kaggle380k-009355,yelp-08596,0
kaggle380k-002407,yelp-03137,0
kaggle380k-005927,yelp-03378,0
kaggle380k-003744,yelp-00254,0
kaggle380k-002971,yelp-00342,0
kaggle380k-004186,yelp-05318,0
kaggle380k-007332,yelp-01111,0
kaggle380k-004061,yelp-05767,0
kaggle380k-001363,yelp-06341,0
kaggle380k-000408,yelp-07263,0
kaggle380k-007094,yelp-05110,0
kaggle380k-008939,yelp-00658,0
kaggle380k-006305,yelp-07759,0
kaggle380k-008088,yelp-05438,0
kaggle380k-004130,yelp-06341,0
kaggle380k-003414,yelp-00360,0
kaggle380k-007668,yelp-07731,0
kaggle380k-005174,yelp-03996,0
kaggle380k-001721,yelp-01511,0
kaggle380k-004811,yelp-02597,0
kaggle380k-003994,yelp-02177,0
kaggle380k-003786,yelp-04374,0
kaggle380k-004608,yelp-02487,0
kaggle380k-002905,yelp-02449,0
kaggle380k-002750,yelp-04236,0
kaggle380k-008231,yelp-04450,0
kaggle380k-009468,yelp-09844,0
kaggle380k-004820,yelp-08576,0
kaggle380k-003142,yelp-00060,0
kaggle380k-006849,yelp-08802,0
kaggle380k-009095,yelp-02654,0
kaggle380k-003533,yelp-00619,0
kaggle380k-003171,yelp-05582,0
kaggle380k-006583,yelp-05175,0
kaggle380k-009087,yelp-03613,0
kaggle380k-003024,yelp-08609,0
kaggle380k-007248,yelp-05414,0
kaggle380k-005308,yelp-01143,0
kaggle380k-008811,yelp-08970,0
kaggle380k-007665,yelp-09777,0
kaggle380k-005689,yelp-01138,0
kaggle380k-005234,yelp-01691,0
kaggle380k-003238,yelp-05820,0
kaggle380k-000627,yelp-02199,0
kaggle380k-003734,yelp-06345,0
kaggle380k-007212,yelp-03806,0
kaggle380k-002613,yelp-00213,0
kaggle380k-007201,yelp-09548,0
kaggle380k-001937,yelp-03690,0
kaggle380k-007142,yelp-01255,0
kaggle380k-004616,yelp-08594,0
kaggle380k-004443,yelp-05196,0
kaggle380k-004844,yelp-05944,0
kaggle380k-004037,yelp-03942,0
kaggle380k-005023,yelp-03521,0
kaggle380k-000493,yelp-04422,0
kaggle380k-007372,yelp-09647,0
kaggle380k-003001,yelp-06303,0
kaggle380k-000886,yelp-08804,0
kaggle380k-000258,yelp-07116,0
kaggle380k-003543,yelp-01589,0
kaggle380k-009581,yelp-00076,0
kaggle380k-009481,yelp-02005,0
kaggle380k-008565,yelp-05758,0
kaggle380k-008543,yelp-04886,0
kaggle380k-001792,yelp-04117,0
