id_a,id_b,label
metacritic_4066,sales_167,1
metacritic_11493,sales_6681,1
metacritic_13769,sales_1391,1
metacritic_3768,sales_7339,1
metacritic_20074,sales_2117,1
metacritic_10046,sales_2473,1
metacritic_2788,sales_2266,1
metacritic_4928,sales_5385,1
metacritic_14066,sales_7027,1
metacritic_2367,sales_7450,1
metacritic_3703,sales_3342,1
metacritic_457,sales_343,1
metacritic_9041,sales_1918,1
metacritic_1571,sales_5237,1
metacritic_5881,sales_414,1
metacritic_9008,sales_3471,1
metacritic_5099,sales_646,1
metacritic_4132,sales_777,1
metacritic_17937,sales_7086,1
metacritic_20180,sales_2477,1
metacritic_2828,sales_3333,1
metacritic_7153,sales_1999,1
metacritic_10187,sales_436,1
metacritic_5476,sales_1391,1
metacritic_4534,sales_3552,1
metacritic_2325,sales_6862,1
metacritic_16462,sales_3972,1
metacritic_7081,sales_3792,1
metacritic_8888,sales_2892,1
metacritic_7653,sales_5714,1
metacritic_5053,sales_3871,1
metacritic_4251,sales_190,1
metacritic_2781,sales_955,1
metacritic_4009,sales_4448,1
metacritic_8207,sales_6691,1
metacritic_11753,sales_2980,1
metacritic_11231,sales_6209,1
metacritic_3723,sales_7761,1
metacritic_4944,sales_4627,1
metacritic_12013,sales_378,1
metacritic_16922,sales_4150,1
metacritic_4713,sales_432,1
metacritic_8144,sales_1062,1
metacritic_3997,sales_631,1
metacritic_19636,sales_4368,1
metacritic_4352,sales_7112,1
metacritic_251,sales_306,1
metacritic_4713,sales_312,1
metacritic_20261,sales_1385,1
metacritic_14185,sales_5372,1
metacritic_15797,sales_1257,1
metacritic_3319,sales_6354,1
metacritic_5795,sales_2878,1
metacritic_20365,sales_3369,1
metacritic_771,sales_7304,1
metacritic_643,sales_7115,1
metacritic_11708,sales_3365,1
metacritic_1582,sales_710,1
metacritic_14178,sales_104,1
metacritic_6365,sales_148,1
metacritic_5111,sales_3433,1
metacritic_4436,sales_1461,1
metacritic_6688,sales_1355,1
metacritic_10046,sales_617,1
metacritic_1157,sales_7574,1
metacritic_7316,sales_1391,1
metacritic_5275,sales_7859,1
metacritic_6724,sales_993,1
metacritic_9960,sales_999,1
metacritic_2086,sales_4926,1
metacritic_11653,sales_3780,1
metacritic_6565,sales_4333,1
metacritic_15942,sales_5562,1
metacritic_13588,sales_1227,1
metacritic_15961,sales_4557,1
metacritic_471,sales_1838,1
metacritic_13841,sales_6942,1
metacritic_3197,sales_2486,1
metacritic_1478,sales_4002,1
metacritic_9302,sales_1402,1
metacritic_4260,sales_6067,1
metacritic_9302,sales_1235,1
metacritic_10839,sales_4289,1
metacritic_422,sales_3333,1
metacritic_9016,sales_6927,1
metacritic_6247,sales_3929,1
metacritic_17465,sales_7334,1
metacritic_9962,sales_5176,1
metacritic_443,sales_7520,1
metacritic_12600,sales_4919,1
metacritic_13863,sales_1330,1
metacritic_109,sales_1365,1
metacritic_12183,sales_5821,1
metacritic_16377,sales_3775,1
metacritic_17802,sales_2241,1
metacritic_11054,sales_390,1
metacritic_18527,sales_6949,1
metacritic_8425,sales_4004,1
metacritic_2528,sales_4701,1
metacritic_2940,sales_851,1
metacritic_17517,sales_6463,1
metacritic_19513,sales_4056,1
metacritic_202,sales_497,1
metacritic_15627,sales_3075,1
metacritic_15638,sales_2249,1
metacritic_13562,sales_7189,1
metacritic_19002,sales_4893,1
metacritic_721,sales_862,1
metacritic_19846,sales_2811,1
metacritic_740,sales_2175,1
metacritic_3743,sales_1038,1
metacritic_4139,sales_6519,1
metacritic_15423,sales_2823,1
metacritic_12814,sales_7187,1
metacritic_17085,sales_5079,1
metacritic_4549,sales_7482,1
metacritic_46,sales_840,1
metacritic_9581,sales_5270,1
metacritic_1595,sales_1605,1
metacritic_17119,sales_4715,1
metacritic_16675,sales_5516,1
metacritic_16434,sales_5877,1
metacritic_19706,sales_7743,1
metacritic_587,sales_7317,1
metacritic_18315,sales_2652,1
metacritic_13801,sales_4336,1
metacritic_2167,sales_3002,1
metacritic_7940,sales_4291,1
metacritic_9126,sales_5236,1
metacritic_6024,sales_5933,1
metacritic_12259,sales_3639,1
metacritic_5904,sales_2359,1
metacritic_3331,sales_6707,1
metacritic_11821,sales_2750,1
metacritic_18712,sales_5839,1
metacritic_9638,sales_6701,1
metacritic_18135,sales_671,1
metacritic_307,sales_7309,1
metacritic_17308,sales_6787,1
metacritic_18122,sales_2733,1
metacritic_20220,sales_6674,1
metacritic_14423,sales_5682,1
metacritic_17770,sales_1611,1
metacritic_13501,sales_7116,1
metacritic_2023,sales_1115,1
metacritic_13144,sales_2433,1
metacritic_20385,sales_6484,1
metacritic_9057,sales_860,1
metacritic_11891,sales_5771,1
metacritic_12583,sales_6224,1
metacritic_17131,sales_4728,0
metacritic_13383,sales_3044,0
metacritic_681,sales_4534,0
metacritic_10885,sales_1305,0
metacritic_1369,sales_2266,0
metacritic_10926,sales_1355,0
metacritic_19406,sales_3025,0
metacritic_13926,sales_3727,0
metacritic_12149,sales_5838,0
metacritic_17888,sales_1695,0
metacritic_8499,sales_2012,0
metacritic_369,sales_187,0
metacritic_3355,sales_5784,0
metacritic_9246,sales_3745,0
metacritic_3071,sales_284,0
metacritic_10673,sales_4859,0
