id_a,id_b,label
discogs_135328,lastFM_17948,1
discogs_140955,lastFM_61907,1
discogs_134099,lastFM_61209,1
discogs_96455,lastFM_43982,1
discogs_37120,lastFM_17651,1
discogs_38119,lastFM_46306,1
discogs_33631,lastFM_16037,1
discogs_22859,lastFM_11073,1
discogs_15857,lastFM_7695,1
discogs_104967,lastFM_47794,1
discogs_30603,lastFM_15337,1
discogs_110906,lastFM_58103,1
discogs_121280,lastFM_54080,1
discogs_76878,lastFM_43969,1
discogs_75291,lastFM_34964,1
discogs_4114,lastFM_2054,1
discogs_111952,lastFM_59063,1
discogs_147670,lastFM_31896,1
discogs_185024,lastFM_29369,1
discogs_3235,lastFM_1656,1
discogs_193643,lastFM_81990,1
discogs_10975,lastFM_5362,1
discogs_175984,lastFM_75327,1
discogs_14672,lastFM_59832,1
discogs_8352,lastFM_14003,1
discogs_9923,lastFM_4874,1
discogs_100378,lastFM_41530,1
discogs_59052,lastFM_9436,1
discogs_68154,lastFM_31833,1
discogs_25495,lastFM_12319,1
discogs_123064,lastFM_1228,1
discogs_178,lastFM_103,1
discogs_3685,lastFM_23621,1
discogs_171014,lastFM_18999,1
discogs_4,lastFM_2,1
discogs_127439,lastFM_56542,1
discogs_121533,lastFM_54506,1
discogs_156436,lastFM_63354,1
discogs_127820,lastFM_58448,1
discogs_149668,lastFM_65255,1
discogs_161237,lastFM_38300,1
discogs_183070,lastFM_72203,1
discogs_102711,lastFM_78444,1
discogs_166803,lastFM_71618,1
discogs_39344,lastFM_75289,1
discogs_8628,lastFM_4206,1
discogs_22924,lastFM_11103,1
discogs_173437,lastFM_74366,1
discogs_16570,lastFM_8050,1
discogs_33461,lastFM_15952,1
discogs_63042,lastFM_74294,1
discogs_55309,lastFM_25972,1
discogs_20083,lastFM_58534,1
discogs_157329,lastFM_68182,1
discogs_94990,lastFM_63354,1
discogs_89005,lastFM_40955,1
discogs_39338,lastFM_7221,1
discogs_73929,lastFM_34359,1
discogs_6285,lastFM_3054,1
discogs_21474,lastFM_10376,1
discogs_4731,lastFM_2315,1
discogs_40693,lastFM_19292,1
discogs_63713,lastFM_29815,1
discogs_123313,lastFM_58440,1
discogs_74033,lastFM_34405,1
discogs_66212,lastFM_30936,1
discogs_61516,lastFM_28822,1
discogs_18877,lastFM_8094,0
discogs_168968,lastFM_31945,0
