label,score,id_a,id_b,name_a,name_b,artist_a,artist_b,release-date_a,release-date_b,release-country_a,release-country_b
1,0.956,discogs_58199,mbrainz_12656,Daydreamer,Daydreamer,Youngteam,Youngteam,2011-03-01,2011-03,UK,United Kingdom of Great Britain and Northern Ireland
1,0.975,discogs_54232,mbrainz_11846,Ghost Stories,Ghost Stories,Silent Civilian,Silent Civilian,2010,2010-05-18,United States of America,United States of America
1,0.988,discogs_9237,mbrainz_2050,Sex And Wildflowers,Sex and Wildflowers,Sieben,Sieben,2003-09-01,2003-09,Germany,Germany
1,1.0,discogs_65548,mbrainz_14076,The Black Metal Flame,The Black Metal Flame,Decayed,Decayed,2008-09-01,2008-09-01,Spain,Spain
1,1.0,discogs_10631,mbrainz_2433,Voodoo Chic,Voodoo Chic,Helicopter Girl,Helicopter Girl,2005-07-26,2005-07-26,United States of America,United States of America
1,1.0,discogs_5,mbrainz_3,The Sign's Alive,The Sign's Alive,Lypid,Lypid,2000-09-05,2000-09-05,United States of America,United States of America
1,0.975,discogs_2706,mbrainz_609,United,United,Phoenix,Phoenix,2000,2000-11-19,United States of America,United States of America
1,1.0,discogs_44619,mbrainz_9908,Hidden Trains Of Pippuri,Hidden Trains of Pippuri,Psilodump,Psilodump,2009-12-08,2009-12-08,Sweden,Sweden
1,0.975,discogs_68513,mbrainz_14605,Happiness,Happiness,Dance Gavin Dance,Dance Gavin Dance,2009,2009-06-09,United States of America,United States of America
1,0.988,discogs_1992,mbrainz_495,Tripped Experiences,Tripped Experiences,Substanz T,Substanz T,2001-02-01,2001-02,Germany,Germany
1,0.975,discogs_48010,mbrainz_10590,J'respire Encore,J'respire encore,Papaz,Papaz,2005,2005-05-17,Canada,Canada
1,0.982,discogs_119605,mbrainz_21122,Hidden Memories,Hidden Memories,Escapist,Escapist,2013,2013-09,Argentina,Argentina
1,1.0,discogs_75325,mbrainz_15301,Fallen Empires,Fallen Empires,Snow Patrol,Snow Patrol,2012-01-10,2012-01-10,United States of America,United States of America
1,0.975,discogs_134445,mbrainz_23393,The Megalomania Puzzle,The Megalomania Puzzle,Mefisto,Mefisto,2014,2014-06-13,Netherlands,Netherlands
1,0.975,discogs_712,mbrainz_237,Happiness,Happiness,Sound De-Zign,Sound De-Zign,2001,2001-01-01,Germany,Germany
1,0.975,discogs_42500,mbrainz_9467,Planetary Empire,Planetary Empire,Absurd Minds,Absurd Minds,1996,1996-01-01,Germany,Germany
1,1.0,discogs_145276,mbrainz_25191,Obscure The Future,Obscure the Future,Somatic Responses,Somatic Responses,2014-09-21,2014-09-21,UK,
1,0.975,discogs_169896,mbrainz_29254,Mezzanines,Mezzanines,Mezzanines,Mezzanines,1996,1996-01-01,United States of America,United States of America
1,1.0,discogs_73117,mbrainz_6853,Beyond The Path,Beyond The Path,Eastenders,Eastenders,2007,,Germany,
1,0.975,discogs_19183,mbrainz_4498,Opiate,Opiate,Superikone,Superikone,2003,2003-01-01,Germany,Germany
1,1.0,discogs_46941,mbrainz_10391,Art Of Life Live,Art of life live,X Japan,X JAPAN,1998-03-18,1998-03-18,Japan,Japan
1,0.975,discogs_26807,mbrainz_6139,Resurrection Day,Resurrection Day,White Zombie,White Zombie,1993,1993-01-01,Italy,Italy
1,1.0,discogs_107434,mbrainz_2754,Monster,Monster,Steppenwolf,Steppenwolf,2013-04-24,2013-04-24,Japan,Japan
1,0.975,discogs_327,mbrainz_147,Disco Damnation,Disco Damnation,Wicked,Wicked,1996,1996-12-09,Netherlands,Netherlands
1,1.0,discogs_15819,mbrainz_3686,State Of Absolution,State of Absolution,Halthan,Halthan,2006-05-23,2006-05-23,Finland,Finland
1,0.975,discogs_110142,mbrainz_19745,The Evocation Of The Unseen,The Evocation of the Unseen,Fear Of Eternity,Fear of Eternity,2013,2013-01-01,Argentina,Argentina
1,1.0,discogs_19556,mbrainz_20423,How The West Was Won,How The West Was Won,No Man,No Man,1991,,United States of America,
1,0.975,discogs_13543,mbrainz_3115,Confessor,Confessor,Confessor,Confessor,1992,1992-06-23,United States of America,United States of America
1,0.975,discogs_29288,mbrainz_6652,Building An Empire,Building an Empire,Demians,Demians,2008,2008-05-16,Germany,Germany
1,0.975,discogs_52197,mbrainz_4061,Troubled Land,Troubled Land,King Loser,King Loser,1996,1996-01-01,New Zealand,New Zealand
1,0.982,discogs_6984,mbrainz_1447,Parallel Lifeforms,Parallel Lifeforms,Neuroactive,Neuroactive,1998,1998-12,United States of America,United States of America
1,0.998,discogs_61057,mbrainz_10944,"Glee: The Music, Volume 3 Showstoppers","Glee: The Music, Volume 3: Showstoppers",Glee Cast,Glee Cast,2010-05-18,2010-05-18,United States of America,United States of America
1,1.0,discogs_18868,mbrainz_1092,Dangerous,Dangerous,Busta Rhymes,Busta Rhymes,,1997-01-01,,
1,0.975,discogs_12636,mbrainz_2916,Singles,Singles,Broder Daniel,Broder Daniel,1999,1999-01-01,Sweden,Sweden
1,0.975,discogs_68472,mbrainz_14600,The Music Of Erich Zann,The Music of Erich Zann,Mekong Delta,Mekong Delta,1988,1988-01-01,United States of America,United States of America
1,1.0,discogs_138,mbrainz_62,The Call Of The Confuciusornis Remixes,The Call of the Confuciusornis Remixes,Sculpturism,Sculpturism,2001-01-01,2001-01-01,Netherlands,Netherlands
1,1.0,discogs_22493,mbrainz_5227,Embrace The Fool,Embrace the Fool,Poets To Their Beloved,Poets to Their Beloved,2007-09-28,2007-09-28,Portugal,Portugal
