id_a,id_b,label
discogs_58199,mbrainz_12656,1
discogs_54232,mbrainz_11846,1
discogs_9237,mbrainz_2050,1
discogs_65548,mbrainz_14076,1
discogs_10631,mbrainz_2433,1
discogs_5,mbrainz_3,1
discogs_2706,mbrainz_609,1
discogs_44619,mbrainz_9908,1
discogs_68513,mbrainz_14605,1
discogs_1992,mbrainz_495,1
discogs_48010,mbrainz_10590,1
discogs_119605,mbrainz_21122,1
discogs_75325,mbrainz_15301,1
discogs_134445,mbrainz_23393,1
discogs_712,mbrainz_237,1
discogs_42500,mbrainz_9467,1
discogs_145276,mbrainz_25191,1
discogs_169896,mbrainz_29254,1
discogs_73117,mbrainz_6853,1
discogs_19183,mbrainz_4498,1
discogs_46941,mbrainz_10391,1
discogs_26807,mbrainz_6139,1
discogs_107434,mbrainz_2754,1
discogs_327,mbrainz_147,1
discogs_15819,mbrainz_3686,1
discogs_110142,mbrainz_19745,1
discogs_19556,mbrainz_20423,1
discogs_13543,mbrainz_3115,1
discogs_29288,mbrainz_6652,1
discogs_52197,mbrainz_4061,1
discogs_6984,mbrainz_1447,1
discogs_61057,mbrainz_10944,1
discogs_18868,mbrainz_1092,1
discogs_12636,mbrainz_2916,1
discogs_68472,mbrainz_14600,1
discogs_138,mbrainz_62,1
discogs_22493,mbrainz_5227,1
discogs_15250,mbrainz_3545,1
discogs_893,mbrainz_295,1
discogs_92633,mbrainz_1952,1
discogs_18489,mbrainz_4330,1
discogs_32283,mbrainz_7217,1
discogs_75826,mbrainz_15750,1
discogs_12233,mbrainz_2035,1
discogs_3465,mbrainz_755,1
discogs_23138,mbrainz_5347,1
discogs_67084,mbrainz_14341,1
discogs_1341,mbrainz_387,1
discogs_82334,mbrainz_16471,1
discogs_5063,mbrainz_1061,1
discogs_165652,mbrainz_24546,1
discogs_10599,mbrainz_2428,1
discogs_13642,mbrainz_3142,1
discogs_1997,mbrainz_498,1
discogs_64298,mbrainz_13866,1
discogs_68443,mbrainz_14594,1
discogs_38514,mbrainz_4382,1
discogs_99,mbrainz_39,1
discogs_41489,mbrainz_9235,1
discogs_41895,mbrainz_9340,1
discogs_168588,mbrainz_29002,1
discogs_23515,mbrainz_5431,1
discogs_163380,mbrainz_28141,1
discogs_47281,mbrainz_10465,1
discogs_26010,mbrainz_5964,1
discogs_36870,mbrainz_2750,1
discogs_75939,mbrainz_11022,1
discogs_106507,mbrainz_16538,1
discogs_5126,mbrainz_1082,1
discogs_2669,mbrainz_604,1
discogs_36672,mbrainz_1593,1
discogs_42882,mbrainz_9538,1
discogs_51791,mbrainz_11353,1
discogs_8151,mbrainz_1725,1
discogs_14081,mbrainz_3245,1
