id_a,id_b,label
metacritic_8970,dbpedia_games_17171,1
metacritic_8116,dbpedia_games_8645,1
metacritic_1282,dbpedia_games_30433,1
metacritic_1333,dbpedia_games_40849,1
metacritic_18390,dbpedia_games_25129,1
metacritic_7685,dbpedia_games_34192,1
metacritic_10894,dbpedia_games_5459,1
metacritic_18338,dbpedia_games_47241,1
metacritic_2669,dbpedia_games_34236,1
metacritic_7887,dbpedia_games_17949,1
metacritic_2555,dbpedia_games_20568,1
metacritic_3908,dbpedia_games_18639,1
metacritic_13560,dbpedia_games_64152,1
metacritic_12997,dbpedia_games_12403,1
metacritic_7633,dbpedia_games_27894,1
metacritic_470,dbpedia_games_51923,1
metacritic_16894,dbpedia_games_26692,1
metacritic_6942,dbpedia_games_37153,1
metacritic_18527,dbpedia_games_48489,1
metacritic_17048,dbpedia_games_42548,1
metacritic_14719,dbpedia_games_61363,1
metacritic_8689,dbpedia_games_25001,1
metacritic_699,dbpedia_games_49678,1
metacritic_5538,dbpedia_games_18496,1
metacritic_17448,dbpedia_games_53064,1
metacritic_3051,dbpedia_games_60407,1
metacritic_15785,dbpedia_games_52884,1
metacritic_19251,dbpedia_games_62015,1
metacritic_514,dbpedia_games_51613,1
metacritic_7650,dbpedia_games_6258,1
metacritic_355,dbpedia_games_15017,1
metacritic_1762,dbpedia_games_51077,1
metacritic_5810,dbpedia_games_15383,1
metacritic_12628,dbpedia_games_44847,1
metacritic_14583,dbpedia_games_7652,1
metacritic_4811,dbpedia_games_11697,1
metacritic_2478,dbpedia_games_32266,1
metacritic_17976,dbpedia_games_49984,1
metacritic_5048,dbpedia_games_47361,1
metacritic_16554,dbpedia_games_34106,1
metacritic_9704,dbpedia_games_49263,1
metacritic_5680,dbpedia_games_48719,0
metacritic_7887,dbpedia_games_17949,0
metacritic_7121,dbpedia_games_14440,0
metacritic_9720,dbpedia_games_61239,0
metacritic_7685,dbpedia_games_34192,0
metacritic_1328,dbpedia_games_3089,0
metacritic_10938,dbpedia_games_17329,0
metacritic_10301,dbpedia_games_56174,0
metacritic_8528,dbpedia_games_28846,0
metacritic_20404,dbpedia_games_12526,0
metacritic_4544,dbpedia_games_7691,0
metacritic_17976,dbpedia_games_47999,0
metacritic_4793,dbpedia_games_63078,0
metacritic_18163,dbpedia_games_7448,0
metacritic_11629,dbpedia_games_54283,0
metacritic_18863,dbpedia_games_30631,0
metacritic_5310,dbpedia_games_58360,0
metacritic_12254,dbpedia_games_16108,0
metacritic_4930,dbpedia_games_38511,0
metacritic_7001,dbpedia_games_14970,0
metacritic_3329,dbpedia_games_36690,0
metacritic_17132,dbpedia_games_59769,0
metacritic_5020,dbpedia_games_35459,0
metacritic_19340,dbpedia_games_39661,0
metacritic_11712,dbpedia_games_11908,0
metacritic_1229,dbpedia_games_32510,0
metacritic_12924,dbpedia_games_23675,0
metacritic_8717,dbpedia_games_59751,0
metacritic_5310,dbpedia_games_3408,0
metacritic_1622,dbpedia_games_37986,0
metacritic_4642,dbpedia_games_54101,0
metacritic_16484,dbpedia_games_32307,0
metacritic_6954,dbpedia_games_14410,0
metacritic_7306,dbpedia_games_43982,0
metacritic_7807,dbpedia_games_46591,0
metacritic_5721,dbpedia_games_55628,0
metacritic_16439,dbpedia_games_33015,0
metacritic_506,dbpedia_games_35423,0
metacritic_4551,dbpedia_games_55838,0
metacritic_5129,dbpedia_games_54021,0
metacritic_15667,dbpedia_games_63432,0
metacritic_9954,dbpedia_games_63296,0
metacritic_15117,dbpedia_games_57495,0
metacritic_2052,dbpedia_games_5942,0
metacritic_4928,dbpedia_games_64481,0
metacritic_2388,dbpedia_games_34372,0
metacritic_17018,dbpedia_games_36582,0
metacritic_9282,dbpedia_games_19252,0
metacritic_13211,dbpedia_games_3264,0
metacritic_11167,dbpedia_games_30762,0
metacritic_3662,dbpedia_games_4265,0
metacritic_9194,dbpedia_games_51114,0
metacritic_2162,dbpedia_games_21611,0
metacritic_2710,dbpedia_games_62176,0
metacritic_7277,dbpedia_games_15467,0
metacritic_8021,dbpedia_games_47387,0
metacritic_1315,dbpedia_games_39321,0
metacritic_17703,dbpedia_games_59496,0
metacritic_3266,dbpedia_games_47252,0
metacritic_3963,dbpedia_games_32174,0
metacritic_1423,dbpedia_games_15854,0
