id_a,id_b,label
sales_6180,metacritic_9720,1
sales_7682,metacritic_1706,1
sales_4046,metacritic_5376,1
sales_1383,metacritic_12894,1
sales_1521,metacritic_9147,1
sales_3421,metacritic_12221,1
sales_6650,metacritic_12869,1
sales_2848,metacritic_5827,1
sales_4479,metacritic_4019,1
sales_3586,metacritic_16865,1
sales_2524,metacritic_97,1
sales_1526,metacritic_5419,1
sales_1808,metacritic_1695,1
sales_899,metacritic_10046,1
sales_4366,metacritic_3580,1
sales_1958,metacritic_6104,1
sales_508,metacritic_490,1
sales_1201,metacritic_825,1
sales_4308,metacritic_2708,1
sales_2917,metacritic_3704,1
sales_668,metacritic_14879,1
sales_3623,metacritic_2587,1
sales_1583,metacritic_11050,1
sales_1154,metacritic_3932,1
sales_342,metacritic_9563,1
sales_4426,metacritic_433,1
sales_6650,metacritic_13593,1
sales_733,metacritic_5538,1
sales_7687,metacritic_11317,1
sales_70,metacritic_1245,1
sales_7704,metacritic_17927,1
sales_936,metacritic_2315,1
sales_620,metacritic_14656,1
sales_6166,metacritic_8324,1
sales_7231,metacritic_20031,1
sales_4844,metacritic_10702,1
sales_1932,metacritic_3580,1
sales_7574,metacritic_10379,1
sales_736,metacritic_510,1
sales_7655,metacritic_10967,1
sales_2740,metacritic_6661,1
sales_2175,metacritic_430,1
sales_564,metacritic_182,1
sales_2102,metacritic_17506,1
sales_6669,metacritic_20326,1
sales_1850,metacritic_5662,1
sales_7584,metacritic_19473,1
sales_2037,metacritic_15438,1
sales_449,metacritic_1869,1
sales_5571,metacritic_7691,1
sales_7330,metacritic_15030,1
sales_5777,metacritic_13310,1
sales_3608,metacritic_12220,1
sales_4429,metacritic_6562,1
sales_7822,metacritic_5466,1
sales_4748,metacritic_1226,1
sales_7724,metacritic_11578,1
sales_4755,metacritic_12896,1
sales_262,metacritic_2738,1
sales_4039,metacritic_1102,1
sales_3835,metacritic_2897,1
sales_1714,metacritic_4012,1
sales_4919,metacritic_12600,1
sales_6227,metacritic_19878,1
sales_1028,metacritic_15650,1
sales_3536,metacritic_19395,1
sales_3201,metacritic_7966,1
sales_517,metacritic_1066,1
sales_2173,metacritic_16278,1
sales_81,metacritic_20411,1
sales_1633,metacritic_3021,1
sales_6552,metacritic_12802,1
sales_2578,metacritic_10520,1
sales_1968,metacritic_15532,1
sales_831,metacritic_1701,1
sales_5148,metacritic_16466,1
sales_6143,metacritic_5155,1
sales_2363,metacritic_691,1
sales_908,metacritic_6782,1
sales_6593,metacritic_11685,1
sales_91,metacritic_1730,1
sales_2908,metacritic_8864,1
sales_815,metacritic_13386,1
sales_1440,metacritic_9892,1
sales_5599,metacritic_20375,1
sales_6751,metacritic_18670,1
sales_2263,metacritic_3019,1
sales_319,metacritic_70,1
sales_7808,metacritic_16329,1
sales_6079,metacritic_1882,1
sales_2688,metacritic_17781,1
sales_7595,metacritic_14477,1
sales_6423,metacritic_17176,1
sales_3731,metacritic_14540,1
sales_1757,metacritic_17379,1
sales_126,metacritic_2132,1
sales_3369,metacritic_20365,1
sales_2946,metacritic_1131,1
sales_3951,metacritic_682,1
sales_140,metacritic_611,1
sales_4168,metacritic_3531,1
sales_3997,metacritic_12227,1
sales_1402,metacritic_6416,1
sales_5015,metacritic_641,1
sales_6777,metacritic_18285,1
sales_4301,metacritic_5965,1
sales_4776,metacritic_17527,1
sales_5333,metacritic_16245,1
sales_306,metacritic_8905,1
sales_72,metacritic_20489,1
sales_4098,metacritic_18617,1
sales_4027,metacritic_19084,1
sales_7466,metacritic_1287,1
sales_7873,metacritic_4391,1
sales_7499,metacritic_9868,1
sales_4913,metacritic_12213,1
sales_3426,metacritic_17264,1
sales_2878,metacritic_5795,1
sales_3816,metacritic_18677,1
sales_7461,metacritic_19018,1
sales_6495,metacritic_18340,1
sales_353,metacritic_140,1
sales_4499,metacritic_13481,1
sales_6010,metacritic_10542,1
sales_6244,metacritic_4543,1
sales_696,metacritic_15359,1
sales_3169,metacritic_17587,1
sales_3897,metacritic_19597,1
sales_5531,metacritic_13304,1
