id_a,id_b,label
mbrainz_6602,lastFM_13952,1
mbrainz_6751,lastFM_14259,1
mbrainz_3459,lastFM_7246,1
mbrainz_15088,lastFM_33176,1
mbrainz_5089,lastFM_10579,1
mbrainz_13837,lastFM_30023,1
mbrainz_14823,lastFM_32511,1
mbrainz_9216,lastFM_19599,1
mbrainz_17829,lastFM_42817,1
mbrainz_8419,lastFM_17996,1
mbrainz_17763,lastFM_42390,1
mbrainz_3408,lastFM_7150,1
mbrainz_1856,lastFM_4164,1
mbrainz_1358,lastFM_3162,1
mbrainz_13383,lastFM_28926,1
mbrainz_18315,lastFM_44379,1
mbrainz_919,lastFM_2137,1
mbrainz_5250,lastFM_10951,1
mbrainz_3746,lastFM_7807,1
mbrainz_10066,lastFM_21441,1
mbrainz_9006,lastFM_19184,1
mbrainz_10391,lastFM_22174,1
mbrainz_2603,lastFM_5535,1
mbrainz_13330,lastFM_28795,1
mbrainz_32383,lastFM_80463,1
mbrainz_21629,lastFM_54797,1
mbrainz_3047,lastFM_6435,1
mbrainz_1286,lastFM_2978,1
mbrainz_8709,lastFM_18559,1
mbrainz_9881,lastFM_21063,1
mbrainz_11399,lastFM_24445,1
mbrainz_13786,lastFM_29901,1
mbrainz_14360,lastFM_31398,1
mbrainz_23284,lastFM_59073,1
mbrainz_8110,lastFM_17337,1
mbrainz_14187,lastFM_30936,1
mbrainz_10077,lastFM_21459,1
mbrainz_24503,lastFM_61997,1
mbrainz_16682,lastFM_38629,1
mbrainz_5301,lastFM_11073,1
mbrainz_14136,lastFM_30795,1
mbrainz_20660,lastFM_52073,1
mbrainz_5596,lastFM_11781,1
mbrainz_5072,lastFM_10538,1
mbrainz_26890,lastFM_67390,1
mbrainz_14036,lastFM_30509,1
mbrainz_150,lastFM_201,1
mbrainz_18855,lastFM_46216,1
mbrainz_6334,lastFM_13371,1
mbrainz_4279,lastFM_8853,1
mbrainz_1101,lastFM_2540,1
mbrainz_2891,lastFM_6119,1
mbrainz_4548,lastFM_9374,1
mbrainz_5149,lastFM_10714,1
mbrainz_13341,lastFM_28822,1
mbrainz_3001,lastFM_6350,1
mbrainz_27090,lastFM_67842,1
mbrainz_2139,lastFM_4650,1
mbrainz_13464,lastFM_29112,1
mbrainz_23850,lastFM_60429,1
mbrainz_1271,lastFM_2946,1
mbrainz_3337,lastFM_6998,1
mbrainz_10080,lastFM_21469,1
mbrainz_21601,lastFM_54718,1
mbrainz_24245,lastFM_61385,1
mbrainz_20268,lastFM_51055,1
mbrainz_13146,lastFM_28351,1
mbrainz_7572,lastFM_16163,1
mbrainz_11647,lastFM_24976,1
mbrainz_16291,lastFM_37371,1
mbrainz_244,lastFM_421,1
mbrainz_16001,lastFM_35907,1
mbrainz_13939,lastFM_30275,1
mbrainz_8227,lastFM_17605,1
mbrainz_3779,lastFM_7857,1
mbrainz_2169,lastFM_4709,1
mbrainz_5998,lastFM_12629,1
mbrainz_127,lastFM_164,1
mbrainz_25027,lastFM_63199,1
mbrainz_27835,lastFM_69727,1
mbrainz_23681,lastFM_60033,1
mbrainz_4029,lastFM_8373,1
mbrainz_6466,lastFM_13642,1
mbrainz_31392,lastFM_78143,1
mbrainz_22096,lastFM_56062,1
mbrainz_1082,lastFM_2495,1
mbrainz_14630,lastFM_32033,1
mbrainz_13725,lastFM_29755,1
mbrainz_17127,lastFM_40079,1
mbrainz_3068,lastFM_6487,1
mbrainz_29214,lastFM_72861,1
mbrainz_16327,lastFM_37535,1
mbrainz_24381,lastFM_58003,1
mbrainz_344,lastFM_637,1
mbrainz_469,lastFM_988,1
mbrainz_26680,lastFM_66876,1
mbrainz_15556,lastFM_34250,1
mbrainz_592,lastFM_1342,1
mbrainz_5715,lastFM_12057,1
mbrainz_24101,lastFM_61032,1
mbrainz_7257,lastFM_15486,1
mbrainz_6990,lastFM_14832,1
mbrainz_9087,lastFM_19350,1
mbrainz_17696,lastFM_42159,1
mbrainz_2155,lastFM_4681,1
mbrainz_757,lastFM_1777,1
mbrainz_5387,lastFM_11274,1
mbrainz_5002,lastFM_10376,1
mbrainz_13703,lastFM_70995,1
mbrainz_1172,lastFM_2711,1
mbrainz_1163,lastFM_2679,1
mbrainz_18368,lastFM_44518,1
mbrainz_14091,lastFM_30678,1
mbrainz_28566,lastFM_71414,1
mbrainz_3241,lastFM_6832,1
mbrainz_23957,lastFM_60676,1
mbrainz_23963,lastFM_60690,1
mbrainz_3504,lastFM_7331,1
mbrainz_18301,lastFM_44336,1
mbrainz_8680,lastFM_18500,1
mbrainz_21027,lastFM_53101,1
mbrainz_10351,lastFM_22079,1
mbrainz_22929,lastFM_58179,1
mbrainz_505,lastFM_1110,1
mbrainz_6704,lastFM_14157,1
mbrainz_12746,lastFM_27447,1
mbrainz_604,lastFM_1375,1
mbrainz_164,lastFM_236,1
mbrainz_7672,lastFM_16380,1
mbrainz_46,lastFM_62,1
mbrainz_18526,lastFM_45074,1
mbrainz_359,lastFM_666,1
mbrainz_175,lastFM_278,1
mbrainz_2907,lastFM_6144,1
mbrainz_1935,lastFM_4291,1
mbrainz_5422,lastFM_11359,1
mbrainz_29530,lastFM_73644,1
mbrainz_719,lastFM_1683,1
mbrainz_7556,lastFM_16125,1
mbrainz_17639,lastFM_41959,1
mbrainz_47,lastFM_65,1
mbrainz_6799,lastFM_14373,1
mbrainz_9890,lastFM_21088,1
mbrainz_16310,lastFM_37463,1
mbrainz_8972,lastFM_19099,1
mbrainz_14594,lastFM_31957,1
mbrainz_29624,lastFM_73899,1
mbrainz_11467,lastFM_24575,1
mbrainz_33542,lastFM_82952,1
mbrainz_2864,lastFM_6073,1
mbrainz_18947,lastFM_46526,0
mbrainz_8653,lastFM_18438,0
mbrainz_11547,lastFM_16159,0
mbrainz_31275,lastFM_38696,0
mbrainz_5511,lastFM_11590,0
mbrainz_426,lastFM_879,0
mbrainz_1724,lastFM_83398,0
mbrainz_1092,lastFM_39426,0
mbrainz_25801,lastFM_71120,0
mbrainz_18501,lastFM_44997,0
mbrainz_17547,lastFM_66885,0
mbrainz_11264,lastFM_24155,0
mbrainz_9768,lastFM_20795,0
mbrainz_15041,lastFM_11345,0
mbrainz_5511,lastFM_52586,0
mbrainz_21265,lastFM_16898,0
mbrainz_5219,lastFM_10885,0
mbrainz_4139,lastFM_52305,0
mbrainz_22176,lastFM_56290,0
mbrainz_26985,lastFM_10307,0
mbrainz_4700,lastFM_74815,0
mbrainz_15910,lastFM_13701,0
mbrainz_19268,lastFM_4403,0
mbrainz_10369,lastFM_41254,0
mbrainz_2926,lastFM_59922,0
mbrainz_498,lastFM_1074,0
mbrainz_2393,lastFM_53163,0
mbrainz_28858,lastFM_72083,0
mbrainz_853,lastFM_36369,0
mbrainz_1274,lastFM_1156,0
mbrainz_2945,lastFM_31015,0
mbrainz_11888,lastFM_25564,0
mbrainz_17077,lastFM_39952,0
mbrainz_14837,lastFM_20132,0
mbrainz_23963,lastFM_11922,0
mbrainz_23436,lastFM_67915,0
mbrainz_16285,lastFM_18811,0
mbrainz_23071,lastFM_57581,0
mbrainz_20054,lastFM_78843,0
mbrainz_19124,lastFM_34990,0
mbrainz_978,lastFM_2271,0
mbrainz_15122,lastFM_33265,0
mbrainz_162,lastFM_171,0
mbrainz_31563,lastFM_18369,0
mbrainz_3154,lastFM_22977,0
mbrainz_32790,lastFM_64254,0
mbrainz_28159,lastFM_58492,0
mbrainz_5415,lastFM_34641,0
mbrainz_19124,lastFM_64052,0
mbrainz_9062,lastFM_29297,0
mbrainz_6390,lastFM_13478,0
mbrainz_19488,lastFM_3075,0
mbrainz_11852,lastFM_5776,0
mbrainz_8737,lastFM_18612,0
mbrainz_15365,lastFM_11713,0
mbrainz_1054,lastFM_2442,0
mbrainz_20943,lastFM_12207,0
mbrainz_12781,lastFM_38837,0
mbrainz_9944,lastFM_76109,0
mbrainz_25918,lastFM_36720,0
mbrainz_28630,lastFM_58127,0
mbrainz_14665,lastFM_32123,0
mbrainz_4599,lastFM_77880,0
mbrainz_14588,lastFM_71867,0
mbrainz_13199,lastFM_73644,0
mbrainz_17547,lastFM_35554,0
mbrainz_30379,lastFM_75824,0
mbrainz_15438,lastFM_15025,0
mbrainz_13200,lastFM_31398,0
mbrainz_15704,lastFM_32536,0
mbrainz_20354,lastFM_52866,0
mbrainz_4818,lastFM_2033,0
mbrainz_7282,lastFM_72,0
mbrainz_31275,lastFM_26283,0
mbrainz_30962,lastFM_55559,0
mbrainz_33466,lastFM_75136,0
mbrainz_11548,lastFM_69872,0
mbrainz_21621,lastFM_54774,0
mbrainz_17474,lastFM_41354,0
mbrainz_2419,lastFM_70323,0
mbrainz_10944,lastFM_70995,0
mbrainz_9538,lastFM_20286,0
mbrainz_1274,lastFM_45212,0
