id_a,id_b,label
fullcontact_1685,http://dbpedia.org/resource/Sears_Israel,1
fullcontact_976,http://dbpedia.org/resource/Lithium_Technologies,1
fullcontact_1373,http://dbpedia.org/resource/Telehouse_Europe,1
fullcontact_795,http://dbpedia.org/resource/VimpelCom_Ltd.,1
fullcontact_1041,http://dbpedia.org/resource/Nordeus,1
fullcontact_96,http://dbpedia.org/resource/Andritz_AG,1
fullcontact_1155,http://dbpedia.org/resource/Living_Oceans_Society,1
fullcontact_1910,http://dbpedia.org/resource/Synology_Inc.,1
fullcontact_324,http://dbpedia.org/resource/FMC_Corporation,1
fullcontact_583,http://dbpedia.org/resource/Petro_Rabigh,1
fullcontact_291,http://dbpedia.org/resource/Enel,1
fullcontact_1798,http://dbpedia.org/resource/Interislander,1
fullcontact_432,http://dbpedia.org/resource/Israel_Corporation,1
fullcontact_1729,http://dbpedia.org/resource/Dubai_World,0
fullcontact_1515,http://dbpedia.org/resource/Italdesign_Giugiaro,1
fullcontact_1104,http://dbpedia.org/resource/TradeGecko,1
fullcontact_1220,http://dbpedia.org/resource/Holland_&_Holland,1
fullcontact_852,http://dbpedia.org/resource/Bank_of_Beijing,0
fullcontact_464,http://dbpedia.org/resource/Kotak_Mahindra_Bank,1
fullcontact_1445,http://dbpedia.org/resource/Ansaldo_STS,1
fullcontact_1633,http://dbpedia.org/resource/Kerala_State_Road_Transport_Corporation,1
fullcontact_991,http://dbpedia.org/resource/WellPet,1
fullcontact_1318,http://dbpedia.org/resource/Ambit_Energy,0
fullcontact_1109,http://dbpedia.org/resource/Beacon_Power,1
fullcontact_1398,http://dbpedia.org/resource/LEVEL_Studios,0
fullcontact_1458,http://dbpedia.org/resource/S&P_Capital_IQ,0
fullcontact_1274,http://dbpedia.org/resource/Northern_Racing,0
fullcontact_432,http://dbpedia.org/resource/First_International_Bank_of_Israel,0
fullcontact_1195,http://dbpedia.org/resource/Ameriprise_Financial,1
fullcontact_823,http://dbpedia.org/resource/Wistron_Corporation,1
fullcontact_852,http://dbpedia.org/resource/China_Power_International_Development,0
fullcontact_1550,http://dbpedia.org/resource/Hamilton_(company),1
fullcontact_987,http://dbpedia.org/resource/CentraCare_Health_System,1
fullcontact_918,http://dbpedia.org/resource/Convergys,0
fullcontact_752,http://dbpedia.org/resource/Pakistan_State_Oil,0
fullcontact_1868,http://dbpedia.org/resource/Essar_Group,0
fullcontact_852,http://dbpedia.org/resource/China_Communications_Construction,0
fullcontact_486,http://dbpedia.org/resource/Manpower_Inc.,1
fullcontact_1681,http://dbpedia.org/resource/Lundin_Mining,1
fullcontact_1221,http://dbpedia.org/resource/Japan_Post_Service,0
fullcontact_208,http://dbpedia.org/resource/China_Construction_Bank,0
fullcontact_1536,http://dbpedia.org/resource/Eon_Productions,0
fullcontact_246,http://dbpedia.org/resource/Bayer_Corporation,0
fullcontact_1777,http://dbpedia.org/resource/Elina_Networks,0
fullcontact_246,http://dbpedia.org/resource/Dana_Corporation,0
fullcontact_1558,http://dbpedia.org/resource/112dB,1
fullcontact_1120,http://dbpedia.org/resource/Somtel,1
fullcontact_537,http://dbpedia.org/resource/Atlas_Media_Corp.,0
fullcontact_100,http://dbpedia.org/resource/Esso_Australia,0
fullcontact_1348,http://dbpedia.org/resource/AMResorts,1
fullcontact_1753,http://dbpedia.org/resource/Continental_Engineering_Corporation,0
fullcontact_225,http://dbpedia.org/resource/Zions_Bank,0
fullcontact_551,http://dbpedia.org/resource/Sky_Cable_Corporation,0
fullcontact_618,http://dbpedia.org/resource/Envision_Financial,0
fullcontact_1877,http://dbpedia.org/resource/Richard_Shepherd_Software,0
fullcontact_753,http://dbpedia.org/resource/Fauji_Fertilizer_Company_Limited,0
fullcontact_1415,http://dbpedia.org/resource/Food_Corporation_of_India,0
fullcontact_1255,http://dbpedia.org/resource/Keep-it_Technologies,0
fullcontact_676,http://dbpedia.org/resource/Three_Six_Zero_Group,0
fullcontact_1203,http://dbpedia.org/resource/Oshkosh_Corporation,0
fullcontact_1645,http://dbpedia.org/resource/C._Crane_Company,0
fullcontact_604,http://dbpedia.org/resource/FMC_Corporation,0
fullcontact_694,http://dbpedia.org/resource/British_Tanker_Company,0
fullcontact_358,http://dbpedia.org/resource/Premier_Motor_Manufacturing_Company,0
fullcontact_1645,http://dbpedia.org/resource/Ganz_(toy_company),0
fullcontact_1641,http://dbpedia.org/resource/Calico_(company),0
fullcontact_244,http://dbpedia.org/resource/China_Power_Investment_Corporation,0
fullcontact_900,http://dbpedia.org/resource/Meritage_Homes_Corporation,0
fullcontact_908,http://dbpedia.org/resource/Kingdom_Holding_Company,0
fullcontact_1084,http://dbpedia.org/resource/Reliance_Anil_Dhirubhai_Ambani_Group,0
fullcontact_497,http://dbpedia.org/resource/Food_Corporation_of_India,0
fullcontact_1608,http://dbpedia.org/resource/Food_Corporation_of_India,0
fullcontact_1621,http://dbpedia.org/resource/China_Water_Affairs_Group,0
fullcontact_538,http://dbpedia.org/resource/Petroleum_&_Resources_Corporation,0
fullcontact_510,http://dbpedia.org/resource/Resource_Software_International_Ltd.,0
fullcontact_1193,http://dbpedia.org/resource/Xi'an_Aircraft_Industrial_Corporation,0
fullcontact_1345,http://dbpedia.org/resource/Dai-Ichi_Kangyo_Bank,0
fullcontact_1771,http://dbpedia.org/resource/Soyo_Group,0
fullcontact_73,http://dbpedia.org/resource/Nidec-Shimpo_America_Corporation,0
fullcontact_545,http://dbpedia.org/resource/China_National_Materials_Group_Corporation,0
fullcontact_1753,http://dbpedia.org/resource/Southern_Media_Corporation,0
fullcontact_1201,http://dbpedia.org/resource/%C5%A0koda_Auto_India_Private_Limited,0
fullcontact_1293,http://dbpedia.org/resource/Znanie_(publishing_company),0
fullcontact_537,http://dbpedia.org/resource/Educational_Media_Foundation,0
fullcontact_1463,http://dbpedia.org/resource/Coors_Brewing_Company,0
fullcontact_748,http://dbpedia.org/resource/China_Datang_Corporation,0
fullcontact_904,http://dbpedia.org/resource/Guangzhou_Automobile_Group_Bus,0
fullcontact_669,http://dbpedia.org/resource/Shaanxi_Automobile_Group,0
