id_a,id_b,label
fullcontact_738,http://www.forbes.com/companies/tata-motors/,0
fullcontact_255,http://www.forbes.com/companies/cme-group/,0
fullcontact_205,http://www.forbes.com/companies/centurylink/,1
fullcontact_405,http://www.forbes.com/companies/hyundai-glovis/,0
fullcontact_115,http://www.forbes.com/companies/td-bank-group/,0
fullcontact_208,http://www.forbes.com/companies/china-citic-bank/,0
fullcontact_1007,http://www.forbes.com/companies/origin-energy/,1
fullcontact_93,http://www.forbes.com/companies/amgen/,1
fullcontact_6,http://www.forbes.com/companies/exxon-mobil/,1
fullcontact_342,http://www.forbes.com/companies/gazprom/,1
fullcontact_186,http://www.forbes.com/companies/corporation-bank/,0
fullcontact_606,http://www.forbes.com/companies/prudential-financial/,1
fullcontact_1122,http://www.forbes.com/companies/axa-group/,0
fullcontact_705,http://www.forbes.com/companies/stryker/,1
fullcontact_308,http://www.forbes.com/companies/experian/,0
fullcontact_900,http://www.forbes.com/companies/starbucks/,1
fullcontact_464,http://www.forbes.com/companies/punjab-national-bank/,0
fullcontact_1771,http://www.forbes.com/companies/savola-group/,0
fullcontact_47,http://www.forbes.com/companies/american-airlines-group/,0
fullcontact_507,http://www.forbes.com/companies/weir-group/,0
fullcontact_267,http://www.forbes.com/companies/compass-group/,0
fullcontact_773,http://www.forbes.com/companies/baloise-group/,0
fullcontact_1747,http://www.forbes.com/companies/unicredit-group/,0
fullcontact_253,http://www.forbes.com/companies/higo-bank/,0
fullcontact_815,http://www.forbes.com/companies/unicredit-group/,0
fullcontact_118,http://www.forbes.com/companies/indian-bank/,0
fullcontact_1129,http://www.forbes.com/companies/philip-morris-international/,0
fullcontact_1524,http://www.forbes.com/companies/xl-group/,0
fullcontact_1324,http://www.forbes.com/companies/signature-bank/,0
fullcontact_315,http://www.forbes.com/companies/union-bank-of-india/,0
fullcontact_1524,http://www.forbes.com/companies/altria-group/,0
fullcontact_35,http://www.forbes.com/companies/thomson-reuters/,1
fullcontact_1419,http://www.forbes.com/companies/xl-group/,0
fullcontact_22,http://www.forbes.com/companies/first-gulf-bank/,0
fullcontact_664,http://www.forbes.com/companies/american-tower/,0
fullcontact_1615,http://www.forbes.com/companies/simon-property-group/,0
fullcontact_1367,http://www.forbes.com/companies/cez-group/,0
fullcontact_1386,http://www.forbes.com/companies/sumitomo-mitsui-trust/,0
fullcontact_226,http://www.forbes.com/companies/higo-bank/,0
fullcontact_878,http://www.forbes.com/companies/generali-group/,0
fullcontact_1458,http://www.forbes.com/companies/capital-one-financial/,0
fullcontact_352,http://www.forbes.com/companies/general-dynamics/,0
fullcontact_1528,http://www.forbes.com/companies/interactive-brokers-group/,0
fullcontact_608,http://www.forbes.com/companies/avis-budget-group/,0
fullcontact_1101,http://www.forbes.com/companies/andhra-bank/,0
fullcontact_1367,http://www.forbes.com/companies/altria-group/,0
fullcontact_1544,http://www.forbes.com/companies/american-equity-investment/,0
fullcontact_866,http://www.forbes.com/companies/corporation-bank/,0
fullcontact_47,http://www.forbes.com/companies/kraft-foods-group/,0
fullcontact_1383,http://www.forbes.com/companies/asm-international-nv/,0
fullcontact_1867,http://www.forbes.com/companies/legal-general-group/,0
fullcontact_436,http://www.forbes.com/companies/svb-financial-group/,0
fullcontact_1009,http://www.forbes.com/companies/capital-one-financial/,0
fullcontact_434,http://www.forbes.com/companies/essilor-international/,0
fullcontact_253,http://www.forbes.com/companies/guaranty-trust-bank/,0
fullcontact_135,http://www.forbes.com/companies/gail-india/,0
fullcontact_1235,http://www.forbes.com/companies/cf-industries-holdings/,0
fullcontact_274,http://www.forbes.com/companies/hokkaido-electric-power/,0
fullcontact_951,http://www.forbes.com/companies/china-railway-construction/,0
fullcontact_658,http://www.forbes.com/companies/kb-financial-group/,0
fullcontact_618,http://www.forbes.com/companies/fubon-financial/,0
fullcontact_1868,http://www.forbes.com/companies/alliance-global-group/,0
fullcontact_173,http://www.forbes.com/companies/news-corp/,0
fullcontact_1327,http://www.forbes.com/companies/axiata-group/,0
fullcontact_803,http://www.forbes.com/companies/american-capital-agency/,0
