id_a,id_b,label
dbpedia_games_51838,metacritic_12099,1
dbpedia_games_58351,metacritic_1682,1
dbpedia_games_53224,metacritic_13887,1
dbpedia_games_40453,metacritic_19971,1
dbpedia_games_46539,metacritic_3783,1
dbpedia_games_15565,metacritic_15947,1
dbpedia_games_22642,metacritic_17126,1
dbpedia_games_45478,metacritic_19632,1
dbpedia_games_57671,metacritic_2669,0
dbpedia_games_35437,metacritic_142,1
dbpedia_games_12473,metacritic_1957,0
dbpedia_games_44481,metacritic_482,1
dbpedia_games_47944,metacritic_2920,0
dbpedia_games_32079,metacritic_1275,1
dbpedia_games_13017,metacritic_1817,1
dbpedia_games_23004,metacritic_3905,1
dbpedia_games_63643,metacritic_715,1
dbpedia_games_42857,metacritic_4792,1
dbpedia_games_52847,metacritic_3466,1
dbpedia_games_34689,metacritic_1307,1
dbpedia_games_12974,metacritic_17112,0
dbpedia_games_5597,metacritic_11916,1
dbpedia_games_34241,metacritic_4936,0
dbpedia_games_53764,metacritic_9551,0
dbpedia_games_54380,metacritic_9567,0
dbpedia_games_11774,metacritic_9225,0
dbpedia_games_41683,metacritic_7353,0
dbpedia_games_60179,metacritic_1186,0
dbpedia_games_47233,metacritic_15163,1
dbpedia_games_19376,metacritic_7011,0
dbpedia_games_60181,metacritic_16243,0
dbpedia_games_5374,metacritic_16766,1
dbpedia_games_30359,metacritic_11705,0
dbpedia_games_42560,metacritic_19807,0
dbpedia_games_34857,metacritic_4595,1
dbpedia_games_14925,metacritic_15245,1
dbpedia_games_20340,metacritic_4329,0
dbpedia_games_2989,metacritic_12061,0
dbpedia_games_29205,metacritic_12247,1
dbpedia_games_32580,metacritic_14500,0
dbpedia_games_59317,metacritic_14288,1
dbpedia_games_41104,metacritic_6329,1
dbpedia_games_46093,metacritic_10152,1
dbpedia_games_9363,metacritic_9221,0
dbpedia_games_13896,metacritic_5258,0
dbpedia_games_2921,metacritic_9579,0
dbpedia_games_26641,metacritic_3821,0
dbpedia_games_49480,metacritic_6034,0
dbpedia_games_63244,metacritic_16265,0
dbpedia_games_49383,metacritic_1451,0
dbpedia_games_35906,metacritic_20325,0
dbpedia_games_11613,metacritic_560,0
dbpedia_games_8806,metacritic_14843,0
dbpedia_games_2893,metacritic_20264,0
dbpedia_games_4118,metacritic_146,0
dbpedia_games_38411,metacritic_20250,0
dbpedia_games_56549,metacritic_8337,0
dbpedia_games_64860,metacritic_641,0
dbpedia_games_30315,metacritic_14434,0
dbpedia_games_49764,metacritic_3775,0
dbpedia_games_27337,metacritic_18484,0
dbpedia_games_10487,metacritic_13695,0
dbpedia_games_42904,metacritic_5491,0
dbpedia_games_19488,metacritic_9663,0
dbpedia_games_39425,metacritic_17635,0
dbpedia_games_60354,metacritic_11231,0
dbpedia_games_51620,metacritic_7430,0
dbpedia_games_26432,metacritic_16851,0
dbpedia_games_28503,metacritic_11827,0
dbpedia_games_10889,metacritic_2682,0
dbpedia_games_11580,metacritic_13782,0
dbpedia_games_3509,metacritic_10519,0
dbpedia_games_45791,metacritic_14258,0
dbpedia_games_38,metacritic_18854,0
dbpedia_games_57117,metacritic_20250,0
dbpedia_games_36686,metacritic_836,0
dbpedia_games_11613,metacritic_15734,0
dbpedia_games_223,metacritic_1483,0
dbpedia_games_63093,metacritic_15506,0
dbpedia_games_8391,metacritic_9843,0
dbpedia_games_32914,metacritic_15239,0
dbpedia_games_62284,metacritic_18753,0
dbpedia_games_20728,metacritic_2583,0
dbpedia_games_43417,metacritic_19884,0
dbpedia_games_33610,metacritic_4449,0
dbpedia_games_3571,metacritic_14249,0
dbpedia_games_19277,metacritic_8883,0
dbpedia_games_22538,metacritic_17970,0
dbpedia_games_38837,metacritic_2854,0
dbpedia_games_9293,metacritic_14255,0
dbpedia_games_8843,metacritic_16479,0
dbpedia_games_57401,metacritic_18436,0
dbpedia_games_14990,metacritic_9520,0
dbpedia_games_57085,metacritic_10358,0
dbpedia_games_24089,metacritic_11647,0
dbpedia_games_30015,metacritic_16243,0
dbpedia_games_47631,metacritic_18957,0
dbpedia_games_10332,metacritic_4038,0
dbpedia_games_28495,metacritic_18327,0
dbpedia_games_33420,metacritic_13389,0
