id_a,id_b,label
discogs_6995,lastFM_3367,0
discogs_25293,lastFM_12608,0
discogs_131304,lastFM_20291,1
discogs_123395,lastFM_54946,1
discogs_38119,lastFM_46306,1
discogs_121533,lastFM_72296,1
discogs_20928,lastFM_72296,1
discogs_110938,lastFM_40849,1
discogs_157426,lastFM_82394,1
discogs_48032,lastFM_6375,0
discogs_154298,lastFM_6134,0
discogs_30432,lastFM_12729,0
discogs_149578,lastFM_65219,1
discogs_154099,lastFM_13427,1
discogs_77873,lastFM_71701,1
discogs_11311,lastFM_5517,1
discogs_76197,lastFM_67057,0
discogs_104474,lastFM_47263,1
discogs_101939,lastFM_23489,1
discogs_64178,lastFM_46876,0
discogs_68114,lastFM_70650,0
discogs_19604,lastFM_9475,1
discogs_109972,lastFM_49493,1
discogs_157329,lastFM_68182,1
discogs_50248,lastFM_23616,1
discogs_137259,lastFM_11312,0
discogs_160745,lastFM_68632,1
discogs_121049,lastFM_78907,1
discogs_155238,lastFM_26881,1
discogs_18669,lastFM_47196,0
discogs_22267,lastFM_25774,0
discogs_78954,lastFM_39878,0
discogs_45550,lastFM_15614,0
discogs_98537,lastFM_5278,0
discogs_37624,lastFM_47244,0
discogs_42200,lastFM_54681,0
discogs_33542,lastFM_14638,0
discogs_49983,lastFM_5278,0
discogs_112686,lastFM_2217,0
discogs_29927,lastFM_71015,0
discogs_95255,lastFM_79293,0
discogs_59240,lastFM_2071,0
discogs_142020,lastFM_26970,0
discogs_153494,lastFM_19192,0
discogs_72191,lastFM_52111,0
discogs_99208,lastFM_46572,0
discogs_83807,lastFM_53522,0
discogs_190812,lastFM_57365,0
discogs_179542,lastFM_45177,0
discogs_157334,lastFM_55159,0
discogs_135668,lastFM_12718,0
discogs_6905,lastFM_44146,0
discogs_22030,lastFM_41677,0
discogs_151640,lastFM_15806,0
discogs_191210,lastFM_50524,0
discogs_63048,lastFM_22569,0
discogs_151865,lastFM_36701,0
discogs_48540,lastFM_83591,0
discogs_33516,lastFM_42707,0
discogs_130970,lastFM_1041,0
discogs_10255,lastFM_19594,0
discogs_82414,lastFM_20794,0
discogs_60758,lastFM_9687,0
discogs_137061,lastFM_80284,0
discogs_49021,lastFM_37350,0
discogs_157442,lastFM_43954,0
discogs_51000,lastFM_79547,0
discogs_135351,lastFM_80697,0
discogs_139737,lastFM_39355,0
discogs_107892,lastFM_67599,0
discogs_69036,lastFM_2250,0
discogs_195762,lastFM_30210,0
discogs_62594,lastFM_25621,0
discogs_164451,lastFM_58203,0
discogs_115460,lastFM_45814,0
discogs_44024,lastFM_80463,0
discogs_148535,lastFM_81155,0
discogs_105339,lastFM_24713,0
discogs_157670,lastFM_71026,0
discogs_109523,lastFM_60932,0
discogs_25906,lastFM_59873,0
discogs_7513,lastFM_18420,0
discogs_48413,lastFM_33401,0
discogs_56991,lastFM_20277,0
discogs_185834,lastFM_58595,0
discogs_83422,lastFM_7651,0
discogs_172646,lastFM_12741,0
discogs_82489,lastFM_46667,0
discogs_43115,lastFM_4479,0
discogs_100378,lastFM_36273,0
discogs_178943,lastFM_41254,0
discogs_85904,lastFM_14633,0
discogs_45247,lastFM_34019,0
discogs_65399,lastFM_14768,0
discogs_113872,lastFM_15937,0
discogs_44952,lastFM_34679,0
discogs_100195,lastFM_45539,0
discogs_63803,lastFM_24609,0
discogs_137183,lastFM_12330,0
discogs_156656,lastFM_69910,0
