id_a,id_b,label
discogs_189,mbrainz_92,0
discogs_32804,mbrainz_33262,1
discogs_55624,mbrainz_4245,1
discogs_37120,mbrainz_8254,1
discogs_93166,mbrainz_18827,1
discogs_77277,mbrainz_634,1
discogs_67,mbrainz_27,1
discogs_108012,mbrainz_1695,1
discogs_147751,mbrainz_1867,0
discogs_42153,mbrainz_9394,1
discogs_11976,mbrainz_2744,1
discogs_641,mbrainz_11488,1
discogs_16269,mbrainz_3801,1
discogs_59265,mbrainz_12895,1
discogs_65649,mbrainz_14091,1
discogs_44616,mbrainz_337,1
discogs_40736,mbrainz_9062,1
discogs_2310,mbrainz_557,1
discogs_7329,mbrainz_1511,1
discogs_101993,mbrainz_4,0
discogs_48571,mbrainz_2675,1
discogs_13102,mbrainz_3023,1
discogs_23125,mbrainz_4154,0
discogs_71952,mbrainz_15220,1
discogs_190816,mbrainz_3258,0
discogs_198097,mbrainz_15494,0
discogs_72338,mbrainz_8708,0
discogs_197607,mbrainz_22396,0
discogs_179884,mbrainz_13875,0
discogs_170958,mbrainz_21622,0
discogs_31369,mbrainz_18647,0
discogs_89510,mbrainz_31275,0
discogs_111805,mbrainz_4779,0
discogs_77634,mbrainz_20209,0
discogs_123846,mbrainz_14852,0
discogs_29199,mbrainz_532,0
discogs_152712,mbrainz_2444,0
discogs_68185,mbrainz_27071,0
discogs_178065,mbrainz_15790,0
discogs_146199,mbrainz_16103,0
discogs_23467,mbrainz_14630,0
discogs_117601,mbrainz_12743,0
discogs_176560,mbrainz_12822,0
discogs_2332,mbrainz_11196,0
discogs_12204,mbrainz_25231,0
discogs_94821,mbrainz_6620,0
discogs_39822,mbrainz_3677,0
discogs_144169,mbrainz_12959,0
discogs_35358,mbrainz_8387,0
discogs_163143,mbrainz_24155,0
discogs_181662,mbrainz_3780,0
discogs_41562,mbrainz_25108,0
discogs_192691,mbrainz_14813,0
discogs_187409,mbrainz_2383,0
discogs_24523,mbrainz_14200,0
discogs_60735,mbrainz_18997,0
discogs_137598,mbrainz_2511,0
discogs_104476,mbrainz_25404,0
discogs_75821,mbrainz_25722,0
discogs_183288,mbrainz_18301,0
discogs_100562,mbrainz_671,0
discogs_194876,mbrainz_12182,0
discogs_131927,mbrainz_1884,0
discogs_56142,mbrainz_17995,0
discogs_131398,mbrainz_7481,0
discogs_107748,mbrainz_118,0
discogs_42538,mbrainz_27071,0
discogs_188262,mbrainz_3594,0
discogs_99563,mbrainz_21213,0
discogs_167507,mbrainz_2165,0
discogs_37077,mbrainz_3782,0
discogs_56956,mbrainz_386,0
discogs_91858,mbrainz_29773,0
discogs_87421,mbrainz_1935,0
discogs_25906,mbrainz_29437,0
discogs_7513,mbrainz_11986,0
discogs_48413,mbrainz_31206,0
discogs_56991,mbrainz_13604,0
discogs_185834,mbrainz_9716,0
discogs_106162,mbrainz_15472,0
discogs_100223,mbrainz_3782,0
discogs_172646,mbrainz_7369,0
discogs_82489,mbrainz_2034,0
discogs_100378,mbrainz_19618,0
discogs_113493,mbrainz_6157,0
discogs_185024,mbrainz_26302,0
discogs_39782,mbrainz_11272,0
discogs_83647,mbrainz_8699,0
discogs_45247,mbrainz_32512,0
discogs_65399,mbrainz_14271,0
discogs_158091,mbrainz_4126,0
discogs_113872,mbrainz_10658,0
discogs_44952,mbrainz_7048,0
discogs_34603,mbrainz_24101,0
discogs_61079,mbrainz_12553,0
discogs_162194,mbrainz_18448,0
discogs_133667,mbrainz_13202,0
discogs_132341,mbrainz_23760,0
discogs_162830,mbrainz_23383,0
discogs_117131,mbrainz_1627,0
