id_a,id_b,label
yelp-06469,kaggle380k-005278,1
yelp-06617,kaggle380k-004350,1
yelp-02114,kaggle380k-008945,1
yelp-06484,kaggle380k-005230,1
yelp-06475,kaggle380k-004994,1
yelp-06656,kaggle380k-004406,1
yelp-06428,kaggle380k-005253,1
yelp-06344,kaggle380k-000901,1
yelp-05095,kaggle380k-005040,1
yelp-06479,kaggle380k-005207,1
yelp-06663,kaggle380k-009841,1
yelp-06538,kaggle380k-005227,1
yelp-06647,kaggle380k-004450,1
yelp-08116,kaggle380k-003569,1
yelp-02004,kaggle380k-008975,1
yelp-06395,kaggle380k-005252,1
yelp-06517,kaggle380k-005414,1
yelp-06704,kaggle380k-004365,1
yelp-08156,kaggle380k-003558,1
yelp-06775,kaggle380k-004370,1
yelp-06376,kaggle380k-000982,1
yelp-06394,kaggle380k-005232,1
yelp-06396,kaggle380k-005004,1
yelp-06499,kaggle380k-005202,1
yelp-06605,kaggle380k-004404,1
yelp-06618,kaggle380k-009858,1
yelp-06695,kaggle380k-004353,0
yelp-06715,kaggle380k-004380,1
yelp-06717,kaggle380k-004355,1
yelp-06763,kaggle380k-004419,1
yelp-06777,kaggle380k-004385,1
yelp-08158,kaggle380k-003609,1
yelp-08181,kaggle380k-003542,1
yelp-08218,kaggle380k-003581,1
yelp-08250,kaggle380k-003550,1
yelp-06764,kaggle380k-004368,0
yelp-02004,kaggle380k-008935,0
yelp-06434,kaggle380k-005241,0
yelp-07334,kaggle380k-008497,0
yelp-06596,kaggle380k-004337,0
yelp-06749,kaggle380k-004347,0
yelp-07307,kaggle380k-008455,0
yelp-06700,kaggle380k-004434,0
yelp-02019,kaggle380k-008923,0
yelp-02101,kaggle380k-009037,0
yelp-06739,kaggle380k-004410,0
yelp-08124,kaggle380k-003520,0
yelp-08156,kaggle380k-003545,0
yelp-08123,kaggle380k-003545,0
yelp-06643,kaggle380k-004337,0
yelp-06399,kaggle380k-005285,0
yelp-06781,kaggle380k-004332,0
yelp-02032,kaggle380k-009028,0
yelp-06472,kaggle380k-005262,1
yelp-02091,kaggle380k-008958,0
yelp-08167,kaggle380k-003618,0
yelp-02076,kaggle380k-008930,0
yelp-06603,kaggle380k-004409,0
yelp-06673,kaggle380k-004423,0
yelp-02114,kaggle380k-008961,0
yelp-06612,kaggle380k-004348,0
yelp-08247,kaggle380k-003576,0
yelp-08218,kaggle380k-003586,0
yelp-02019,kaggle380k-008934,0
yelp-06699,kaggle380k-004391,0
yelp-06746,kaggle380k-004368,0
yelp-06478,kaggle380k-005281,0
yelp-06663,kaggle380k-009960,0
yelp-07428,kaggle380k-008543,0
yelp-08137,kaggle380k-003564,0
yelp-02091,kaggle380k-008974,0
yelp-06453,kaggle380k-005471,0
yelp-02074,kaggle380k-008970,0
yelp-06422,kaggle380k-005292,0
yelp-06643,kaggle380k-004368,0
yelp-06777,kaggle380k-004433,0
yelp-06732,kaggle380k-004423,0
yelp-08188,kaggle380k-003603,0
yelp-06740,kaggle380k-009849,0
yelp-02344,kaggle380k-008661,0
yelp-06395,kaggle380k-005238,0
yelp-02069,kaggle380k-009008,0
yelp-06397,kaggle380k-005259,0
yelp-07334,kaggle380k-008537,0
yelp-07307,kaggle380k-008448,0
yelp-08178,kaggle380k-003604,0
yelp-06619,kaggle380k-004379,0
yelp-06432,kaggle380k-005294,1
yelp-06428,kaggle380k-005246,0
yelp-08137,kaggle380k-003630,0
yelp-02021,kaggle380k-008993,0
yelp-02368,kaggle380k-008930,0
yelp-08190,kaggle380k-003637,0
yelp-08222,kaggle380k-003548,0
yelp-06446,kaggle380k-005205,1
yelp-06596,kaggle380k-004368,1
yelp-06719,kaggle380k-004398,0
yelp-06370,kaggle380k-000960,0
yelp-06735,kaggle380k-004407,1
yelp-08138,kaggle380k-003527,1
