id_a,id_b,label
yelp-01206,uber_eats-07749,1
yelp-01214,uber_eats-07769,1
yelp-01257,uber_eats-07859,1
yelp-01258,uber_eats-08632,1
yelp-01259,uber_eats-08929,1
yelp-01261,uber_eats-08774,1
yelp-01273,uber_eats-08742,1
yelp-01278,uber_eats-08682,1
yelp-01286,uber_eats-07897,1
yelp-01306,uber_eats-08779,1
yelp-01324,uber_eats-07710,1
yelp-01325,uber_eats-08713,1
yelp-01348,uber_eats-07961,1
yelp-01349,uber_eats-08843,1
yelp-01367,uber_eats-07862,1
yelp-01380,uber_eats-08678,1
yelp-04538,uber_eats-08132,1
yelp-06935,uber_eats-08748,1
yelp-01208,uber_eats-07744,1
yelp-01302,uber_eats-08396,1
yelp-01342,uber_eats-08480,1
yelp-04575,uber_eats-07730,0
yelp-06915,uber_eats-08751,1
yelp-04612,uber_eats-08123,0
yelp-04573,uber_eats-08143,0
yelp-01378,uber_eats-08760,0
yelp-04517,uber_eats-08529,0
yelp-04562,uber_eats-08123,0
yelp-04552,uber_eats-08319,0
yelp-01274,uber_eats-08878,0
yelp-01249,uber_eats-07756,0
yelp-04517,uber_eats-07687,0
yelp-01319,uber_eats-07910,0
yelp-01395,uber_eats-08399,0
yelp-01312,uber_eats-08400,0
yelp-01275,uber_eats-08396,0
yelp-01286,uber_eats-08410,0
yelp-01268,uber_eats-08870,0
yelp-01233,uber_eats-08521,0
yelp-01395,uber_eats-08410,0
yelp-01300,uber_eats-08015,0
yelp-01260,uber_eats-08480,0
yelp-04609,uber_eats-08084,0
yelp-04552,uber_eats-08123,0
yelp-06904,uber_eats-07697,0
yelp-04524,uber_eats-07735,0
yelp-01266,uber_eats-08895,0
yelp-01307,uber_eats-08053,0
yelp-01274,uber_eats-08722,0
yelp-01393,uber_eats-08499,0
yelp-01254,uber_eats-08294,0
yelp-01249,uber_eats-08024,0
yelp-01346,uber_eats-08157,0
yelp-01268,uber_eats-08682,0
yelp-01249,uber_eats-08972,0
yelp-01245,uber_eats-08225,0
yelp-01319,uber_eats-08424,0
yelp-02499,uber_eats-07697,0
yelp-02500,uber_eats-08830,0
yelp-04565,uber_eats-08766,0
yelp-06890,uber_eats-08937,0
yelp-01274,uber_eats-08594,0
yelp-04544,uber_eats-07692,0
yelp-01380,uber_eats-07799,0
yelp-01325,uber_eats-07859,0
yelp-04603,uber_eats-07687,0
yelp-01218,uber_eats-08154,0
yelp-01365,uber_eats-08232,0
yelp-04606,uber_eats-08621,0
yelp-04622,uber_eats-08529,0
yelp-01344,uber_eats-08271,0
yelp-01390,uber_eats-08787,0
yelp-01262,uber_eats-08870,0
yelp-01266,uber_eats-07788,0
yelp-01313,uber_eats-07720,0
yelp-01293,uber_eats-08244,0
yelp-01380,uber_eats-07778,0
yelp-01346,uber_eats-07732,0
yelp-04511,uber_eats-08766,0
yelp-01349,uber_eats-08612,0
yelp-06931,uber_eats-07758,0
yelp-04524,uber_eats-08621,0
yelp-01221,uber_eats-08621,0
yelp-01274,uber_eats-08717,0
yelp-06894,uber_eats-08499,0
yelp-01315,uber_eats-08869,0
yelp-04527,uber_eats-08319,0
yelp-01266,uber_eats-08252,0
yelp-01380,uber_eats-08705,0
yelp-01245,uber_eats-08483,0
yelp-04562,uber_eats-08319,0
yelp-01247,uber_eats-08403,0
yelp-06888,uber_eats-08742,0
yelp-01333,uber_eats-08662,0
yelp-01389,uber_eats-08590,0
yelp-01204,uber_eats-08487,0
yelp-01274,uber_eats-08716,0
yelp-01278,uber_eats-08870,0
yelp-01363,uber_eats-08896,0
yelp-01249,uber_eats-08780,0
