id1,id2,is_true_match,classification
mbrainz_1,lastFM_1,,
mbrainz_1,lastFM_28992,,
mbrainz_1,lastFM_11396,,
mbrainz_1,lastFM_66597,,
mbrainz_1,lastFM_3875,,
mbrainz_1,lastFM_33629,,
mbrainz_1,lastFM_45196,,
mbrainz_1,lastFM_71216,,
mbrainz_1,lastFM_1557,,
mbrainz_1,lastFM_4874,,
mbrainz_1,lastFM_9348,,
mbrainz_1,lastFM_36371,,
mbrainz_1,lastFM_39294,,
mbrainz_1,lastFM_2667,,
mbrainz_1,lastFM_49908,,
mbrainz_1,lastFM_33809,,
mbrainz_1,lastFM_78755,,
mbrainz_1,lastFM_4721,,
mbrainz_1,lastFM_74193,,
mbrainz_1,lastFM_4128,,
mbrainz_2,lastFM_2,,
mbrainz_2,lastFM_53612,,
mbrainz_2,lastFM_5395,,
mbrainz_2,lastFM_55435,,
mbrainz_2,lastFM_1110,,
mbrainz_2,lastFM_10885,,
mbrainz_2,lastFM_45341,,
mbrainz_2,lastFM_9613,,
mbrainz_2,lastFM_11860,,
mbrainz_2,lastFM_30568,,
mbrainz_2,lastFM_37764,,
mbrainz_2,lastFM_42549,,
mbrainz_2,lastFM_8335,,
mbrainz_2,lastFM_12829,,
mbrainz_2,lastFM_4874,,
mbrainz_2,lastFM_51265,,
mbrainz_2,lastFM_43933,,
mbrainz_2,lastFM_36371,,
mbrainz_2,lastFM_70315,,
mbrainz_2,lastFM_51898,,
mbrainz_3,lastFM_75752,,
mbrainz_3,lastFM_3500,,
mbrainz_3,lastFM_15908,,
mbrainz_3,lastFM_9374,,
mbrainz_3,lastFM_60876,,
mbrainz_3,lastFM_43953,,
mbrainz_3,lastFM_47916,,
mbrainz_3,lastFM_997,,
mbrainz_3,lastFM_57771,,
mbrainz_3,lastFM_5678,,
mbrainz_3,lastFM_23338,,
mbrainz_3,lastFM_6924,,
mbrainz_3,lastFM_148,,
mbrainz_3,lastFM_30462,,
mbrainz_3,lastFM_10625,,
mbrainz_3,lastFM_72056,,
mbrainz_3,lastFM_170,,
mbrainz_3,lastFM_16784,,
mbrainz_3,lastFM_12608,,
mbrainz_3,lastFM_12402,,
mbrainz_4,lastFM_4,,
mbrainz_4,lastFM_80967,,
mbrainz_4,lastFM_38969,,
mbrainz_4,lastFM_24575,,
mbrainz_4,lastFM_93,,
mbrainz_4,lastFM_17968,,
mbrainz_4,lastFM_13962,,
mbrainz_4,lastFM_17891,,
mbrainz_4,lastFM_39161,,
mbrainz_4,lastFM_51979,,
mbrainz_4,lastFM_4615,,
mbrainz_4,lastFM_67548,,
mbrainz_4,lastFM_53144,,
mbrainz_4,lastFM_30111,,
mbrainz_4,lastFM_69405,,
mbrainz_4,lastFM_3613,,
mbrainz_4,lastFM_997,,
mbrainz_4,lastFM_2927,,
mbrainz_4,lastFM_75630,,
mbrainz_4,lastFM_58192,,
mbrainz_6,lastFM_18371,,
mbrainz_6,lastFM_19099,,
mbrainz_6,lastFM_75342,,
mbrainz_6,lastFM_75346,,
mbrainz_6,lastFM_36334,,
mbrainz_6,lastFM_54841,,
mbrainz_6,lastFM_17117,,
mbrainz_6,lastFM_51265,,
mbrainz_6,lastFM_43864,,
mbrainz_6,lastFM_59538,,
mbrainz_6,lastFM_3288,,
mbrainz_6,lastFM_12507,,
mbrainz_6,lastFM_26323,,
mbrainz_6,lastFM_46774,,
mbrainz_6,lastFM_12718,,
mbrainz_6,lastFM_11727,,
mbrainz_6,lastFM_57210,,
mbrainz_6,lastFM_106,,
mbrainz_6,lastFM_47678,,
mbrainz_6,lastFM_65829,,
mbrainz_7,lastFM_8,,
mbrainz_7,lastFM_817,,
mbrainz_7,lastFM_67504,,
mbrainz_7,lastFM_82858,,
mbrainz_7,lastFM_53609,,
mbrainz_7,lastFM_77739,,
mbrainz_7,lastFM_200,,
mbrainz_7,lastFM_6947,,
mbrainz_7,lastFM_23532,,
mbrainz_7,lastFM_79293,,
mbrainz_7,lastFM_17191,,
mbrainz_7,lastFM_31996,,
mbrainz_7,lastFM_6727,,
mbrainz_7,lastFM_38696,,
mbrainz_7,lastFM_7473,,
mbrainz_7,lastFM_22383,,
mbrainz_7,lastFM_34083,,
mbrainz_7,lastFM_66150,,
mbrainz_7,lastFM_60224,,
mbrainz_7,lastFM_26233,,
mbrainz_8,lastFM_23040,,
mbrainz_8,lastFM_50269,,
mbrainz_8,lastFM_6146,,
mbrainz_8,lastFM_38015,,
mbrainz_8,lastFM_26362,,
mbrainz_8,lastFM_25256,,
mbrainz_8,lastFM_3046,,
mbrainz_8,lastFM_3571,,
mbrainz_8,lastFM_71098,,
mbrainz_8,lastFM_3990,,
mbrainz_8,lastFM_8086,,
mbrainz_8,lastFM_4560,,
mbrainz_8,lastFM_30378,,
mbrainz_8,lastFM_14010,,
mbrainz_8,lastFM_22659,,
mbrainz_8,lastFM_4539,,
mbrainz_8,lastFM_12226,,
mbrainz_8,lastFM_4742,,
mbrainz_8,lastFM_11561,,
mbrainz_8,lastFM_34521,,
mbrainz_9,lastFM_11,,
mbrainz_9,lastFM_53301,,
mbrainz_9,lastFM_3537,,
mbrainz_9,lastFM_8582,,
mbrainz_9,lastFM_43448,,
mbrainz_9,lastFM_70942,,
mbrainz_9,lastFM_60796,,
mbrainz_9,lastFM_63731,,
mbrainz_9,lastFM_66866,,
mbrainz_9,lastFM_54976,,
mbrainz_9,lastFM_5959,,
mbrainz_9,lastFM_9763,,
mbrainz_9,lastFM_23532,,
mbrainz_9,lastFM_66032,,
mbrainz_9,lastFM_47467,,
mbrainz_9,lastFM_3589,,
mbrainz_9,lastFM_34075,,
mbrainz_9,lastFM_70816,,
mbrainz_9,lastFM_28351,,
mbrainz_9,lastFM_36994,,
mbrainz_10,lastFM_38950,,
mbrainz_10,lastFM_64318,,
mbrainz_10,lastFM_4538,,
mbrainz_10,lastFM_8655,,
mbrainz_10,lastFM_78572,,
mbrainz_10,lastFM_20803,,
mbrainz_10,lastFM_72058,,
mbrainz_10,lastFM_48055,,
mbrainz_10,lastFM_73860,,
mbrainz_10,lastFM_5832,,
mbrainz_10,lastFM_9267,,
mbrainz_10,lastFM_49186,,
mbrainz_10,lastFM_67390,,
mbrainz_10,lastFM_9959,,
mbrainz_10,lastFM_22411,,
mbrainz_10,lastFM_42483,,
mbrainz_10,lastFM_43531,,
mbrainz_10,lastFM_79,,
mbrainz_10,lastFM_49332,,
mbrainz_10,lastFM_12402,,
mbrainz_11,lastFM_16795,,
mbrainz_11,lastFM_31123,,
mbrainz_11,lastFM_80178,,
mbrainz_11,lastFM_73320,,
mbrainz_11,lastFM_83530,,
mbrainz_11,lastFM_67994,,
mbrainz_11,lastFM_22155,,
mbrainz_11,lastFM_34604,,
mbrainz_11,lastFM_38659,,
mbrainz_11,lastFM_24279,,
mbrainz_11,lastFM_18818,,
mbrainz_11,lastFM_10488,,
mbrainz_11,lastFM_1603,,
mbrainz_11,lastFM_7524,,
mbrainz_11,lastFM_53,,
mbrainz_11,lastFM_156,,
mbrainz_11,lastFM_74742,,
mbrainz_11,lastFM_2540,,
mbrainz_11,lastFM_12507,,
mbrainz_11,lastFM_30838,,
mbrainz_12,lastFM_16,,
mbrainz_12,lastFM_55299,,
mbrainz_12,lastFM_28793,,
mbrainz_12,lastFM_54475,,
mbrainz_12,lastFM_14920,,
mbrainz_12,lastFM_28548,,
mbrainz_12,lastFM_14986,,
mbrainz_12,lastFM_33492,,
mbrainz_12,lastFM_77126,,
mbrainz_12,lastFM_30614,,
mbrainz_12,lastFM_75950,,
mbrainz_12,lastFM_18007,,
mbrainz_12,lastFM_6620,,
mbrainz_12,lastFM_5789,,
mbrainz_12,lastFM_58944,,
mbrainz_12,lastFM_6260,,
mbrainz_12,lastFM_11060,,
mbrainz_12,lastFM_76040,,
mbrainz_12,lastFM_72640,,
mbrainz_12,lastFM_38739,,
mbrainz_13,lastFM_45104,,
mbrainz_13,lastFM_4538,,
mbrainz_13,lastFM_3456,,
mbrainz_13,lastFM_54306,,
mbrainz_13,lastFM_57846,,
mbrainz_13,lastFM_28381,,
mbrainz_13,lastFM_49493,,
mbrainz_13,lastFM_48946,,
mbrainz_13,lastFM_83169,,
mbrainz_13,lastFM_12402,,
