Blocking Key Value,Frequency
kasparov||the black empire||2011-06-15,3
groove coverage||riot on the dancefloor||2012-03-30,3
g.o.l.||man out of time ep||2000-01-01,2
spooky||belong||2002-07-08,2
echo||falling / out of time (calyx remix)||2005-03-07,2
doves||some cities||2005-03-01,2
fort minor||the rising tied||2005-11-22,2
neikka rpm||the gemini prophecies||2004-04-05,2
goreghast||nightmares||2006-04-10,2
deerhunter||cryptograms||2007-01-29,2
freelance whales||weathervanes||2010-04-13,2
sinexoid||contrast||2011-05-11,2
soft metals||soft metals||2011-07-19,2
august burns red||god rest ye merry gentlemen||2011-11-08,2
snow patrol||fallen empires||2012-01-10,2
father john misty||fear fun||2012-05-01,2
big boi||vicious lies and dangerous rumors||2012-12-11,2
buckcherry||confessions||2013-02-15,2
fall out boy||save rock and roll||2013-04-12,2
mayday parade||monsters in the closet||2013-10-08,2
benighted||carnivore sublime||2014-02-14,2
in death it ends||shrines||2014-02-21,2
pixies||indie cindy||2014-04-29,2
this will destroy you||another language||2014-09-16,2
john b||fermats theorem / sight beyond||1996-01-01,1
lypid||the sign's alive||2000-09-05,1
petalpusher||surrender||1999-04-27,1
st. vitus dance||come of age||1994-01-01,1
surgeon||electronically tested||1995-01-01,1
tribal man||natural voodoo||2000-01-01,1
gh-106||on and on||1997-01-01,1
john b||up all night / take control||2001-06-25,1
rhythim is rhythim||beyond the dance||1989-01-01,1
s.i.n.e. w.a.v.e.||soundtracks for broken video games||2000-01-01,1
bougie soliterre||simple things||2000-01-01,1
seek||surrender||2000-12-05,1
aubrey||beyond the ozone ep||1998-01-01,1
surgeon||learning||1997-01-01,1
sculpturism||the call of the confuciusornis remixes||2001-01-01,1
amongst myselves||still life||2001-06-01,1
mojolators||to the music||2000-01-01,1
deep blue||momentum / immersion||2001-01-01,1
ten city||classics 2||2001-01-01,1
kraken||final warning / connections||1997-01-01,1
cause 4 concern||angel dust / nerve||2000-06-21,1
simon v||broken promise / pulse code||1998-08-01,1
ten city||classics 1||2001-01-01,1
