Blocking Key Value,Frequency
brothers,3320
orchestra,506
project,434
quartet,252
johnny,240
empire,207
system,180
robert,161
purple,156
future,143
prince,135
richard,128
michael,126
williams,119
jackson,116
depeche,99
thomas,96
broken,91
machine,84
martin,72
circle,70
andrew,70
gordon,66
stones,60
johnson,56
experience,54
electric,54
mariah,52
rolling,50
stevens,50
silence,49
chemical,48
taylor,45
kennedy,42
spirit,39
madonna,39
monster,36
summer,36
eternal,35
little,35
wilson,33
garbage,33
collective,32
syndicate,32
barbara,32
thompson,30
golden,30
voodoo,30
echoes,30
daniel,30
brother,28
metallica,28
stewart,28
spirits,28
street,28
prodigy,27
russell,27
quintet,27
trouble,26
police,26
alicia,25
against,25
romance,25
ancient,25
funeral,25
miller,24
unlimited,24
santana,24
theater,24
beyond,24
burial,24
people,24
nelson,24
alexander,22
trance,21
walker,21
benjamin,20
foundation,20
tangerine,20
justin,20
teenage,20
international,20
beatles,20
american,18
spooky,18
carter,18
franklin,18
ghosts,18
william,18
christopher,18
christian,16
nirvana,16
shadow,16
watson,16
frozen,16
gentle,16
elevators,16
vision,16
wright,16
bridge,16
captain,16
radiohead,16
willie,15
control,15
silver,15
universe,15
murphy,15
george,15
forest,15
turner,15
burning,15
curtis,15
fallen,15
charlie,15
united,14
killer,14
frankie,14
griffin,12
joseph,12
nothing,12
distortion,12
stereo,12
division,12
clarke,12
spencer,12
league,12
inside,12
attack,12
country,12
elephant,12
double,12
screaming,12
stanley,12
nightmare,12
brotherhood,12
daylight,12
planet,12
artists,12
things,12
allman,12
angels,12
mighty,12
murder,12
simpson,12
presley,12
carroll,12
springsteen,12
groove,12
church,12
matell,12
charles,12
billie,12
francis,10
maiden,10
shadows,10
cosmic,10
ensemble,10
monsters,10
philharmonic,10
gibson,10
goblin,10
crystal,10
diamond,9
doobie,9
marilyn,9
modules,9
infinity,9
fusion,9
nation,9
counterstrike,9
mcdonald,9
babies,9
social,9
angelo,9
tongues,9
parsons,9
mountain,9
wonder,9
lightfoot,9
goodall,9
celebrity,9
trinity,9
zeppelin,9
greene,8
christ,8
anderson,8
lights,8
indian,8
gainsbourg,8
placebo,8
mother,8
megadeth,8
emperor,8
sister,8
montreal,8
perfect,8
monica,8
studio,8
riders,8
lovers,8
michelle,8
majesty,8
medway,8
dimension,8
rejects,8
concrete,8
singers,8
mortal,8
cowboys,8
marshall,8
celestial,8
legion,8
angeles,8
modern,8
chopin,7
mikael,6
prophecies,6
primitive,6
paradox,6
fatboy,6
electronic,6
responses,6
richards,6
fabrice,6
ellington,6
justice,6
current,6
leblanc,6
massive,6
coldplay,6
dynamite,6
deluxe,6
goldfrapp,6
samantha,6
spiritual,6
manson,6
laidback,6
icicle,6
culture,6
ferdinand,6
outside,6
divine,6
colour,6
charlatans,6
distance,6
animal,6
scorpions,6
vanilli,6
buffalo,6
discharge,6
lonnie,6
oliver,6
sanchez,6
brecker,6
valentine,6
machines,6
catherine,6
lightning,6
aerosmith,6
primitives,6
process,6
design,6
liquid,6
prayer,6
reynolds,6
porcupine,6
phantom,6
action,6
fiasco,6
jezebel,6
rammstein,6
giants,6
gentlemen,6
douglas,6
deerhunter,6
yoshida,6
fossils,6
plastic,6
freeman,6
endless,6
preachers,6
religion,6
parker,6
bluetones,6
bianco,6
bright,6
rabbit,6
midnight,6
suicidal,6
rachel,6
statler,6
california,6
buster,6
oldfield,6
examination,6
flaming,6
productions,6
players,6
daydream,6
children,6
eulberg,6
dominik,6
foster,6
sunrise,6
chrome,6
turtles,6
newton,6
carlos,6
talking,6
freddie,6
maurice,6
natalie,5
psychic,5
junior,5
mister,5
silent,5
survivor,5
arthur,5
prophet,5
mitchell,5
society,5
digital,5
righteous,5
louvin,5
kingdom,5
priest,5
claude,5
roberts,5
damnation,5
voodooamt,4
legend,4
murray,4
animals,4
squarepusher,4
etnica,4
sandoz,4
electronicat,4
vector,4
basement,4
vampire,4
doctor,4
impact,4
fujiwara,4
hiroshi,4
larvae,4
enrico,4
lawrence,4
cotton,4
soundsystem,4
aleksi,4
thrill,4
steven,4
numina,4
temple,4
melvins,4
agalloch,4
middleton,4
golightly,4
experimental,4
orbison,4
sufjan,4
nowhere,4
mephisto,4
rhodes,4
stranger,4
underground,4
dahlia,4
edward,4
recovery,4
dissecting,4
mercury,4
laughter,4
dinner,4
madlib,4
residual,4
supersuckers,4
twitty,4
conway,4
outcasts,4
ritual,4
valerio,4
palmer,4
offspring,4
fairmont,4
winter,4
durrett,4
evenings,4
suicide,4
impressions,4
movetron,4
zombie,4
matthew,4
memory,4
supergrass,4
paperboys,4
kristus,4
