Blocking Key Value,Frequency
us||wa||seattle||98107,4292
us||wa||seattle||98103,2520
us||wa||seattle||98122,990
us||wa||seattle||98109,608
us||wa||seattle||98101,360
us||wa||bellevue||98004,348
us||wa||seattle||98121,315
us||wa||seattle||98199,312
us||wa||seattle||98115,288
us||wa||seattle||98104,200
us||wa||seattle||98117,198
us||wa||seattle||98112,148
us||wa||seattle||98119,144
us||wa||seattle||98133,102
us||wa||seattle||98144,96
us||wa||seattle||98102,78
us||wa||seattle||98125,68
us||wa||mercer island||98040,45
us||wa||seattle||98134,6
