Blocking Key Value,Frequency
music,156745
beyond,95892
classics,71071
singles,61614
spirit,55575
broken,52380
greatest,42922
future,33276
trouble,19904
collection,17780
brothers,15600
album,14872
california,14310
experience,13090
nowhere,12711
world,12240
empire,11403
electronic,10764
echoes,10540
outside,9828
monster,9699
purple,8844
visions,8632
dance,8586
voodoo,7965
black,7098
sunrise,6825
butterfly,6660
fallen,6300
remixes,5280
nightmare,4935
united,4928
dangerous,4900
happiness,4872
warning,4323
spiritual,4284
volume,4268
surrender,3864
encore,3690
spirits,3596
unplugged,3465
funeral,3456
colors,3332
belong,3276
songs,3150
resurrection,3069
hidden,2928
dreams,2912
night,2772
monsters,2700
remix,2505
crisis,2322
original,2145
ready,2016
shelter,1932
tragedy,1932
sound,1818
elephant,1600
mercury,1584
blues,1520
coming,1460
where,1440
learning,1406
complete,1330
devotion,1261
blackout,1180
light,1170
damnation,1160
every,1144
confessions,1024
angel,1020
rising,1008
dream,992
blood,986
never,979
judgement,936
casino,936
angeles,930
liberation,912
millennium,876
traveller,867
trilogy,854
still,780
death,770
dreamland,765
eternal,760
chrome,756
girlfriend,756
nightmares,752
great,730
absence,720
people,710
things,705
woods,704
christmas,682
primitive,671
daydream,660
story,658
puzzle,630
earth,624
tennessee,615
country,600
ascension,598
these,585
second,572
metal,572
inside,560
spaces,546
years,520
casanova,516
gentlemen,496
house,495
psychic,494
spooky,492
sessions,480
frequencies,462
elevator,462
release,462
discovery,460
promise,455
gemini,455
fearless,455
heartbreaker,432
contra,429
plays,429
machine,420
supernatural,418
little,414
white,414
golden,408
truth,405
return,400
welcome,396
sampler,380
morning,372
edition,372
nocturne,368
concert,366
against,363
party,360
heritage,360
under,344
street,336
times,336
garbage,333
summer,333
american,330
burial,312
sweet,304
recordings,301
electronica,300
troubles,295
dancefloor,294
steady,294
believe,294
stories,290
sounds,288
early,288
troubled,282
presents,276
clarity,276
space,272
bring,270
version,270
behaviour,264
elephants,264
alive,260
forever,256
drums,252
simple,252
remedy,252
enchanted,246
wings,242
tempest,240
mixes,240
another,240
everything,240
sublime,240
gordon,240
about,240
there,234
soundtrack,234
endless,234
modern,231
analogue,225
escape,224
continuum,220
crazy,220
floor,216
tapes,216
submarine,210
grand,210
living,210
encores,210
afterglow,207
moment,207
anxiety,204
comes,200
nothing,198
belongs,185
going,185
honeymoon,185
contrast,184
double,182
after,180
beautiful,180
spirituals,180
motion,177
ghost,176
homesick,176
sehnsucht,175
drones,174
lemonade,171
epitaph,171
indestructible,171
through,168
midnight,168
recovery,168
silence,161
spaceship,161
adrenaline,156
behind,154
relapse,153
water,152
empires,152
control,150
heart,146
protection,144
state,140
erotica,140
renegades,140
garden,138
tomorrow,138
blackbird,138
worlds,133
tracks,132
chronicles,132
middle,132
vessel,130
angels,130
journey,130
present,126
darkness,126
musical,126
island,126
electric,125
hypnotized,124
picture,122
apart,120
chill,120
waking,120
lives,119
together,117
first,117
tears,117
underground,116
tales,115
deluxe,115
memories,114
brave,112
souls,110
americana,110
issues,108
records,108
always,108
absolution,105
conditions,105
guitar,104
reverence,102
fantasies,102
seven,102
radio,102
settle,100
without,100
series,99
obscura,99
faith,99
replicant,96
daydreaming,96
human,96
platform,95
aerial,95
diary,95
paradise,92
tyranny,92
undertow,91
leisure,90
currents,90
reveal,90
looking,88
mountain,88
girls,87
other,86
halcyon,85
mother,85
songbird,85
beats,84
details,84
immersion,84
theme,84
noise,84
daydreams,84
friends,84
battle,84
bridge,84
festival,84
disco,82
money,81
classic,81
leviathan,80
perfect,80
stone,80
thought,80
revealed,80
magic,78
stars,78
three,78
diversity,78
groove,76
orchestra,76
pieces,75
remixed,75
planet,75
around,75
colour,75
futures,75
again,74
painful,72
sisters,72
better,72
invincible,72
alone,72
bonus,72
their,72
power,72
breakaway,72
goblin,72
sunset,72
vision,70
score,68
dynamo,68
above,68
right,66
dancing,66
instrumentals,66
hypnotize,66
southern,66
enchantment,65
leave,64
unseen,63
ultimate,63
walking,63
brown,62
republic,62
rhythm,60
beach,60
mutter,60
bones,60
suite,60
voice,60
within,60
loveless,60
camino,60
dreamin,58
hotel,58
alligator,58
track,57
phobia,57
before,57
symphony,57
inner,56
african,56
special,56
valley,56
cross,56
thank,56
