Blocking Key Value,Frequency
china construction bank,1
berkshire hathaway,1
wells fargo,1
bank of china,1
bp,1
volkswagen group,1
china mobile,1
petrobras,1
microsoft,1
rosneft,1
eni,1
telefónica,1
enel,1
hewlett-packard,1
lukoil,1
china merchants bank,1
banco do brasil,1
schlumberger,1
standard chartered,1
ecopetrol,1
china citic bank,1
reliance industries,1
hitachi,1
qualcomm,1
pnc financial services,1
duke energy,1
saic motor,1
china pacific insurance,1
brookfield asset management,1
exelon,1
hyundai mobis,1
marathon petroleum,1
nextera energy,1
china communications construction,1
kroger,1
inditex,1
ameriprise financial,1
united overseas bank,1
toshiba,1
richemont,1
marathon oil,1
sistema,1
macy's,1
huaneng power international,1
garanti bank,1
swisscom,1
coal india,1
bank of beijing,1
prudential financial,1
edison international,1
ppg industries,1
tenaga nasional,1
united continental holdings,1
h&m,1
sempra energy,1
novatek,1
akbank,1
micron technology,1
larsen & toubro,1
piraeus bank,1
poly real estate,1
fortum,1
norilsk nickel,1
dish network,1
china resources land,1
kubota,1
siam commercial bank,1
vivendi,1
kasikornbank,1
xcel energy,1
tenaris,1
western digital,1
tokyo gas,1
woodside petroleum,1
alpha bank,1
sime darby,1
sodexo,1
unibail-rodamco,1
siam cement,1
nokia,1
dollar general,1
bancolombia,1
bouygues,1
centurylink,1
seagate technology,1
new world development,1
bangkok bank,1
westfield group,1
infosys,1
american airlines group,1
fujitsu,1
dentsu,1
citic securities,1
best buy,1
citic pacific,1
hyundai steel,1
noble energy,1
barrick gold,1
l-3 communications,1
lg display,1
china yangtze power,1
capgemini,1
krung thai bank,1
abu dhabi commercial bank,1
hollyfrontier,1
kone,1
alcatel-lucent,1
hanwha life insurance,1
symantec,1
wipro,1
sherwin-williams,1
naspers,1
sandisk,1
bharat heavy electricals,1
rushydro,1
jiangxi copper,1
areva,1
nordstrom,1
cemig,1
nec,1
news corp,1
tesoro,1
huadian power international,1
haitong securities,1
oneok,1
turkcell,1
cgi group,1
china oilfield services,1
bank of yokohama,1
weichai power,1
grupo bimbo,1
neste oil,1
sumitomo chemical,1
assurant,1
intact financial,1
china resources enterprise,1
prada,1
quest diagnostics,1
pkn orlen,1
brenntag,1
bank of ningbo,1
general growth properties,1
netapp,1
suning appliance,1
bank leumi,1
e-mart,1
dai nippon printing,1
delta electronics,1
cpfl energia,1
hyundai glovis,1
encana,1
beijing enterprises,1
want want china,1
pegatron,1
nintendo,1
cincinnati financial,1
cp all,1
clorox,1
amphenol,1
kotak mahindra bank,1
dubai islamic bank,1
otp bank,1
bbmg,1
china merchants property,1
seiko epson,1
nitto denko,1
keurig green mountain,1
inter rao,1
maxis,1
coloplast,1
petro rabigh,1
travis perkins,1
pioneer natural resources,1
bta bank,1
taqa,1
renesas electronics,1
zenith bank,1
yamada denki,1
union national bank,1
foot locker,1
pembina pipeline,1
smiths group,1
mechel,1
dongfang electric,1
sino land,1
chang hwa bank,1
metso,1
jarden,1
stmicroelectronics,1
weir group,1
lanxess,1
masco,1
aareal bank,1
israel discount bank,1
a2a,1
almarai,1
nanto bank,1
baywa,1
alinma bank,1
jabil circuit,1
abu dhabi islamic bank,1
verisign,1
hellenic petroleum,1
monster beverage,1
lg uplus,1
herbalife,1
tokyo electron,1
tauron group,1
citrix systems,1
aurubis,1
cabot oil & gas,1
grupo argos,1
"workday, inc.",1
inventec,1
b/e aerospace,1
guangdong investment,1
tsingtao brewery,1
shiseido,1
first pacific,1
integrys energy group,1
silver wheaton,1
hanjin shipping,1
frontier communications,1
tongling nonferrous metals,1
gpt group,1
western refining,1
shui on land,1
tripadvisor,1
grasim industries,1
clariant,1
meiji holdings,1
pakistan state oil,1
cameco,1
