fused_id,source_id,source_dataset,source___id,source__Continent,source__Market Value,source__Profits,source__Rank,source__Sales,source__Sector,source__assets,source__city,source__country,source__founded,source__id,source__industry,source__keypeople_name,source__name,fused___id,fused__Continent,fused__Market Value,fused__Profits,fused__Rank,fused__Sales,fused__Sector,fused__assets,fused__city,fused__country,fused__founded,fused__id,fused__industry,fused__keypeople_name,fused__name
fullcontact_812,fullcontact_812,fullcontact,,,,,,,,,Grafton,United States,1852-01-01,fullcontact_812,,,Wells Fargo,fullcontact_812,North America,261.4,21.9,8.0,83780000000.0,Financials,1527000000000.0,Grafton,United States,1852-01-01,fullcontact_812,Financial services,"['Henry Wells', 'William Fargo']",Wells Fargo
fullcontact_852,fullcontact_852,fullcontact,,,,,,,,,Beijing,China,,fullcontact_852,,,Bank of China,fullcontact_852,Asia,67.5,13.8,219.0,105.1,Financials,2291.8,Beijing,China,1996-01-01,fullcontact_852,Regional Banks,,Bank of China
fullcontact_215,fullcontact_215,fullcontact,,,,,,,,,New York,United States,1812-01-01,fullcontact_215,,,Citigroup,fullcontact_215,North America,145.1,13.4,16.0,94.1,Financials,1883.4,New York,United States,1812-01-01,fullcontact_215,Major Banks,,Citigroup
fullcontact_802,fullcontact_802,fullcontact,,,,,,,,,Wolfsburg,Germany,1937-01-01,fullcontact_802,,,Volkswagen Group,fullcontact_802,Europe,119.0,12.0,19.0,197000000000.0,Consumer Discretionary,323400000000.0,Wolfsburg,Germany,1937-01-01,fullcontact_802,Auto & Truck Manufacturers,,Volkswagen Group
fullcontact_117,fullcontact_117,fullcontact,,,,,,,,,Dallas,United States,1876-01-01,fullcontact_117,,,AT&T,fullcontact_117,North America,182.7,18.2,23.0,128.8,Telecommunication Services,277.8,Dallas,United States,1876-01-01,fullcontact_117,Telecommunications services,,AT&T
fullcontact_749,fullcontact_749,fullcontact,,,,,,,,,Paris,France,1924-01-01,fullcontact_749,,,Total,fullcontact_749,Europe,149.8,11.2,25.0,227.9,Energy,239.1,Paris,France,1924-01-01,fullcontact_749,Oil & Gas Operations,,Total
fullcontact_582,fullcontact_582,fullcontact,,,,,,,,,Rio de Janeiro,Brazil,1970-01-01,fullcontact_582,,,Petroleo Brasileiro S.A.- Petrobras,fullcontact_582,South America,86.8,10.9,30.0,130000000000.0,Energy,319.2,Rio de Janeiro,Brazil,1970-01-01,fullcontact_582,Oil & Gas Operations,,Petrobras
fullcontact_512,fullcontact_512,fullcontact,,,,,,,,,Redmond,United States,1982-01-01,fullcontact_512,,,Microsoft,fullcontact_512,North America,343.8,22.8,32.0,77850000000.0,Information Technology,142430000000.0,Redmond,United States,1982-01-01,fullcontact_512,Software & Programming,"['Paul Allen', 'Bill Gates']",Microsoft
fullcontact_407,fullcontact_407,fullcontact,,,,,,,,,Armonk,United States,1911-01-01,fullcontact_407,,,IBM,fullcontact_407,North America,202.5,16.5,35.0,99.8,Information Technology,126.2,Armonk,United States,1911-01-01,fullcontact_407,Computer Services,,IBM
fullcontact_800,fullcontact_800,fullcontact,,,,,,,,,,United Kingdom,,fullcontact_800,,,Vodafone,fullcontact_800,Europe,96.9,31.8,38.0,65.1,Telecommunication Services,235.6,,United Kingdom,,fullcontact_800,Telecommunications services,,Vodafone
