id,title,author,rating,numratings,language,genres,bookformat,edition,page_count,publisher,publish_year,price,isbn_clean
goodreads_56,Water for Elephants,Sara Gruen (Goodreads Author),4.09,1379584,English,"Fiction, Historical Fiction, Romance, Historical, Adult, Adult Fiction, Contemporary, Book Club, Novels, Animals",Paperback,nan,335,Algonquin Books,2007,3.4600000381469727,1565125606
goodreads_110,The Master and Margarita,"Mikhail Bulgakov, Katherine Tiernan O'Connor (Translator), Ellendea Proffer (Annotations and Afterword), Diana Lewis Burgin (Translator)",4.29,242684,English,"Classics, Fiction, Russia, Fantasy, Russian Literature, Magical Realism, Literature, Novels, Historical Fiction, 20th Century",Paperback,First Vintage International Edition (US / CAN),335,Vintage International,1996,13.5600004196167,0679760806
goodreads_111,The Name of the Wind,Patrick Rothfuss (Goodreads Author),4.53,715936,English,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Magic, Science Fiction Fantasy, Adult, Adventure, Audiobook, Epic",Hardcover,nan,662,Penguin Group DAW,2007,9.359999656677246,075640407X
goodreads_141,Watchmen,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)",4.36,487212,English,"Graphic Novels, Comics, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Comic Book, Classics, Superheroes, Dystopia",Paperback,nan,416,DC Comics,2005,4.849999904632568,0930289234
goodreads_198,A Farewell to Arms,Ernest Hemingway,3.81,263216,English,"Classics, Fiction, Historical Fiction, War, Literature, Novels, American, Romance, Classic Literature, School",Paperback,nan,293,Arrow Books,2004,0.9100000262260437,0099910101
goodreads_206,A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)",4.2,271682,English,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical, Literature, Juvenile, Novels",Paperback,Penguin Classics,242,Penguin Books,2002,2.869999885559082,0142437018
goodreads_214,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)",3.93,219296,English,"Fantasy, Fiction, Classics, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Mythology, Literature, Novels, Adventure",Hardcover,nan,386,Houghton Mifflin Company,2004,17.06999969482422,0618391118
goodreads_229,Cat's Cradle,Kurt Vonnegut Jr.,4.16,338863,English,"Fiction, Classics, Science Fiction, Humor, Literature, Novels, Dystopia, American, Fantasy, 20th Century",Paperback,nan,179,Penguin,1999,5.690000057220459,0140285601
goodreads_285,The Complete Sherlock Holmes,Arthur Conan Doyle,4.48,174295,English,"Classics, Mystery, Fiction, Crime, Short Stories, Detective, Literature, Mystery Thriller, Historical Fiction, Thriller",Paperback,nan,1796,Bantam Classics,1986,11.239999771118164,0553328255
goodreads_317,Dead Until Dark,Charlaine Harris (Goodreads Author),3.96,495821,English,"Fantasy, Vampires, Paranormal, Urban Fantasy, Romance, Fiction, Mystery, Paranormal Romance, Supernatural, Horror",Mass Market Paperback,nan,292,Ace Books,2001,3.1600000858306885,0441008534
goodreads_354,The Witches,"Roald Dahl, Quentin Blake (Illustrator)",4.17,313894,English,"Fantasy, Childrens, Fiction, Classics, Young Adult, Middle Grade, Witches, Magic, Humor, Juvenile",Paperback,nan,208,Scholastic Inc.,1997,3.8399999141693115,0590032496
goodreads_412,A Fine Balance,Rohinton Mistry,4.35,129262,English,"Fiction, India, Historical Fiction, Canada, Indian Literature, Asia, Literary Fiction, Novels, Literature, Historical",Paperback,nan,603,Vintage,2001,7.309999942779541,140003065X
goodreads_475,I Know Why the Caged Bird Sings,Maya Angelou,4.24,409104,English,"Nonfiction, Classics, Memoir, Biography, Autobiography, Poetry, Feminism, African American, Biography Memoir, Race",Paperback,nan,289,Bantam Books,1993,4.639999866485596,0553279378
goodreads_476,"I, Robot",Isaac Asimov,4.2,275620,English,"Science Fiction, Fiction, Classics, Short Stories, Science Fiction Fantasy, Robots, Fantasy, Audiobook, Novels, Speculative Fiction",Hardcover,Bantam hardcover edition (US/CAN),224,Bantam Books,2004,8.989999771118164,0553803700
