id,title,author,publish_year,publisher,isbn_clean
amazon_292,Angels &amp; Insects : Two Novellas,A.S. Byatt,1994,Vintage,0679751343
amazon_513,The Saints of Big Harbour: A Novel,Lynn Coady,2002,Houghton Mifflin Company,0618119760
amazon_581,Night Tales,Nora Roberts,2000,Silhouette,0373484100
amazon_587,The Straw Men,Michael Marshall,2002,Jove Books,0515134279
amazon_598,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket,0743412621
amazon_609,"The Vampire Lestat (Vampire Chronicles, Book II)",Anne Rice,1986,Ballantine Books,0345313860
amazon_617,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993,Hyperion Books,1562827049
amazon_700,I And Thou,Martin Buber,1971,Free Press,0684717255
amazon_834,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,0316776963
amazon_1307,The Color of Water: A Black Man's Tribute to His White Mother,James Mcbride,1997,Riverhead Books,1573225789
amazon_1492,Angel Falls,Kristin Hannah,2001,Ballantine Books,0449006344
amazon_1494,The Fountainhead,Ayn Rand,1996,New American Library,0451191153
amazon_1497,Good in Bed,Jennifer Weiner,2002,Washington Square Press,0743418174
amazon_1528,Midnight Runner,Jack Higgins,2003,Berkley Publishing Group,0425189414
amazon_1670,And the Sea Will Tell,Vincent Bugliosi,1991,W W Norton &amp; Co Inc,0393029190
amazon_1846,The Collected Stories of Isaac Bashevis Singer,Isaac Bashevis Singer,1983,Farrar Straus Giroux,0374517886
amazon_2003,EVERYTHING SHE EVER WANTED,Ann Rule,1993,Pocket,067169071X
amazon_2068,Tracks RI,Louise Erdrich,2004,Perennial,0060972459
amazon_2373,The Berenstain Bears and Too Much Vacation (First Time Books),Stan Berenstain,1989,Random House Children's Books,0394830148
amazon_2376,The Berlin Stories: The Last of Mr. Norris and  Goodbye to Berlin (New Directions Book),Christopher Isherwood,1963,J. Laughlin,0811200701
amazon_2402,Wings,Terry Pratchett,1991,Random House Childrens Books,0385304366
amazon_2480,Don't Fall Off the Mountain,Shirley Maclaine,1985,Bantam Books,0553274384
amazon_2509,The Flight of the Seventh Moon: The Teaching of the Shields,Lynn Andrews,1985,HarperCollins Publishers,0062500287
amazon_2615,Ancient Shores,Jack Mcdevitt,1996,Eos,0061054267
amazon_2644,Peace Like a River,Leif Enger,2002,Grove Press,0802139256
amazon_2646,Cry Wolf,Tami Hoag,1993,Bantam,055356160X
amazon_2657,"The Invasion (Animorphs, No 1)",K. A. Applegate,1996,Scholastic,0590629778
amazon_2767,Carolina Moon,Nora Roberts,2001,Jove Books,0515130389
amazon_2819,Witch,Fiona Horne,2001,Thorsons Publishers,0007103999
amazon_2963,The Lions of Lucerne,Brad Thor,2002,Pocket Star,0743436741
amazon_2982,A Hope in the Unseen : An American Odyssey from the Inner City to the Ivy League,Ron Suskind,1999,Broadway,0767901266
amazon_3019,Pursuit of God,Aiden W. Tozer,1982,Christian Publications,0875093663
amazon_3036,The Experiment,John Darnton,1999,Penguin USA,0525945172
amazon_3093,"Technobabel (Shadowrun , No 31)",Stephen Kenson,1998,Roc,0451456998
amazon_3257,"Gone, Baby, Gone: A Novel",Dennis Lehane,1999,HarperTorch,0380730359
amazon_3300,Without Remorse,Tom Clancy,2004,Berkley Publishing Group,0425143325
amazon_3326,"Orion Arm: The Rampart Worlds: Book 2 (May, Julian. Rampart Worlds, Bk. 2.)",Julian May,2000,Del Rey Books,0345395190
amazon_3420,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,1998,HCI Teens,1558746161
amazon_3530,My Favorite Bride,Christina Dodd,2002,Avon,0060092645
amazon_3539,Today I Will Indulge My Inner Glutton: Health-Free Affirmations for Cynics,Ann Thornhill,1999,Prima Lifestyles,0761521097
amazon_3776,BLACK THRONE,Roger Zelazny,1990,Baen,0671720139
amazon_3798,Wicca: A Guide for the Solitary Practitioner,Scott Cunningham,1988,Llewellyn Publications,0875421180
amazon_3815,The Boys of My Youth,Jo Ann Beard,1999,Back Bay Books,0316085251
amazon_4058,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,0425116840
amazon_4067,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,Andrews McMeel Publishing,0836218221
amazon_4182,Confessions of a Failed Southern Lady,Florence King,1990,St. Martin's Press,0312050631
amazon_4201,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,2000,Tyndale House Publishers,0842329277
amazon_4282,Coma: A Novel,Robin Cook,1977,Little Brown &amp; Co,0316155101
amazon_4301,Perdido Street Station,China Mieville,2001,Del Rey Books,0345443020
amazon_4430,Random Acts of Kindness,Conari Press,1993,Conari Press,0943233437
amazon_4465,Whitsun Weddings,Philip Larkin,1964,Faber &amp; Faber,0571097103
amazon_4532,The Summer of My Greek Taverna : A Memoir,Tom Stone,2002,Simon &amp; Schuster,0743205413
amazon_4548,Murder Under Blue Skies,Willard Scott,2002,Onyx Books,0451192974
amazon_4668,Fantastic Archaeology: The Wild Side of North American Prehistory,Stephen Williams,1991,University of Pennsylvania Press,0812213122
amazon_4859,Sword of Shannara,Terry Brooks,1995,Del Rey Books,0345314255
amazon_4862,Firestarter,Stephen King,1984,Signet Book,0451132343
amazon_5224,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nat Philbrick,2001,Penguin Books,0141001828
amazon_5258,The Fig Eater : A Novel,Jody Shields,2001,Back Bay Books,0316785261
amazon_5307,"Summer Knight (The Dresden Files, Book 4)",Jim Butcher,2002,Roc,0451458923
amazon_5588,Brokenclaw,John E. Gardner,1990,Putnam Pub Group,0399135413
amazon_5874,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks,0312966091
amazon_5888,Two for the Dough,Janet Evanovich,1996,Pocket,0671001795
amazon_5913,Animal Farm,George Orwell,1990,New Amer Library Classics,0451524667
amazon_6079,The Book of Shadows,James Reese,2002,HarperTorch,0061031844
amazon_6083,Living Wicca: A Further Guide for the Solitary Practitioner (Llewellyn's Practical Magick),Scott Cunningham,1993,Llewellyn Publications,0875421849
amazon_6091,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket,0671723650
amazon_6197,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks,0312983271
amazon_6283,"Lady in Gil (Gil trilogy, Book 1)",Rebecca Bradley,2000,Ace Books,0441007090
