id,title,author,rating,numratings,language,genres,publisher,page_count,price,publish_year,isbn_clean
metabooks_538,Are You Somebody?: The Accidental Memoir of a Dublin Woman,Nuala O'Faolain,4.3,225,English,"Biographies, Memoirs, Professionals, Academics",Henry Holt And Co.,224.0,15.93,,0805056637
metabooks_2037,John Green Box Set,John Green,4.8,1978,English,"Teen, Young Adult, Literature, Fiction",Dutton Books For Young Readers,,44.19,,0525426094
metabooks_2061,Haunted House Tales,Corinne Denan,3.3,2,English,Children's Books,Troll Communications Llc,44.0,25.0,1980.0,0893753351
metabooks_2446,Under Milk Wood: A Play for Voices,Dylan Thomas,4.5,115,English,"Humor, Entertainment, Movies",New Directions,107.0,5.33,,0811202097
metabooks_2938,Nighthawk (Futuristic Romance),Kristen Kyle,4.4,10,English,"Romance, Contemporary",Leisure Books,320.0,1.99,1997.0,0505521849
metabooks_3853,Cast in Peril (Chronicles of Elantra),Michelle Sagara,4.6,866,English,"Literature, Fiction, Action, Adventure",Luna,544.0,19.99,,0373803508
metabooks_3923,The Letters of Vita Sackville-West and Virginia Woolf,V. Sackville-West,4.7,42,English,"Literature, Fiction, Essays, Correspondence",Cleis Press,480.0,19.99,,1573441961
metabooks_4740,City of Ships (Stravaganza),Mary Hoffman,4.7,114,English,"Teen, Young Adult",Bloomsbury Publishing Plc,,18.19,2010.0,0747592535
metabooks_4993,The Calusari (The X-Files 1),Garth Nix,3.1,7,English,"Teen, Young Adult, Literature, Fiction",Harperentertainment,112.0,6.21,,0064471713
metabooks_5340,"Growing a Spiritually Strong Family (The Family First series, book one)",Dennis Rainey,4.9,14,English,"Self-Help, Relationships",Multnomah,96.0,9.1,2002.0,1576737780
metabooks_5646,Close to Home: A Novel (A DI Adam Fawley Novel),Cara Hunter,4.1,42944,English,"Mystery, Thriller, Suspense, Thrillers",Penguin Books,320.0,7.26,2018.0,0143131052
metabooks_5671,The Collected Poems,Sylvia Plath,4.7,1281,English,,Harper & Row,351.0,22.85,,0060133694
metabooks_5775,50 Philosophy Ideas You Really Need to Know,Ben Dupré,4.3,226,English,"Politics, Social Sciences, Government",Quercus,208.0,7.51,2008.0,1847240062
metabooks_6346,Tesla: Man Out of Time,Margaret Cheney,4.5,671,English,"Biographies, Memoirs, Historical",Touchstone,416.0,10.79,,0743215362
metabooks_6428,Such a Fun Age,Kiley Reid,4.1,46148,English,"Literature, Fiction, Genre Fiction",G.P. Putnam'S Sons,320.0,6.77,,052554190X
metabooks_6715,What They Didn't Know,Carrie Thigpen,4.5,5,English,"Literature, Fiction, United States",Urban Soul,288.0,3.49,2008.0,159983037X
metabooks_7091,"Storms of Fate (Battletech, No. 54)",Loren L. Coleman,4.7,24,English,"Science Fiction, Fantasy",Ace,288.0,17.99,2002.0,0451458761
metabooks_7140,In Patagonia,Bruce Chatwin,4.0,1406,English,Travel,Summit Books,205.0,9.99,,0671400452
metabooks_7309,How to Be an American Housewife,Margaret Dilloway,4.1,510,English,"Literature, Fiction, Genre Fiction",G.P. Putnam'S Sons,288.0,19.7,,0399156372
metabooks_7589,Pinktoes,Chester Himes,4.2,15,English,"Literature, Fiction, United States",Dell Putnam,219.0,3.95,1966.0,0878058877
metabooks_7702,Stardust Dreams (Dreamspun),Marilyn Campbell,3.8,2,English,"Literature, Fiction, Genre Fiction",Topaz,384.0,3.09,1993.0,0451404130
metabooks_7988,This Bridge Called My Back: Writings by Radical Women of Color,Gloria Anzaldua,4.6,58,English,"Literature, Fiction, Essays, Correspondence",Kitchen Table/Women Of Color Press,261.0,48.99,,091317503X
metabooks_8239,Rebel,Heather Graham,4.7,173,English,Romance,Topaz,384.0,9.98,,0451406893
metabooks_8271,Bitter Sugar: A Lupe Solano Mystery,Carolina Garcia-Aguilera,4.2,36,English,"Mystery, Thriller, Suspense, Mystery",Avon,336.0,7.5,,0380807416
metabooks_8343,The Long Road Home,Danielle Steel,4.5,1874,English,"Literature, Fiction, Genre Fiction",Delacorte Press,408.0,12.81,,0385319568
metabooks_8822,The Mummy or Ramses the Damned: A Novel,Anne Rice,4.6,2137,English,"Literature, Fiction, Genre Fiction",Ballantine Books,416.0,8.99,,0345369947
metabooks_9053,Project Princess,Meg Cabot,4.6,85,English,"Teen, Young Adult, Literature, Fiction",Harperteen,58.0,12.95,,0060571314
metabooks_9571,Dark Winter,William Dietrich,3.9,70,English,"Literature, Fiction",Grand Central Publishing,480.0,5.97,2002.0,0446611972
metabooks_9923,Devil's Daughter (Devil's Duology),Catherine Coulter,4.3,246,English,"Mystery, Thriller, Suspense, Mystery",Berkley,416.0,8.99,,0451158636
metabooks_11721,A Mirror for Observers,Edgar Pangborn,4.0,19,English,"Science Fiction, Fantasy",Bluejay Books,229.0,5.2,1983.0,0312943059
metabooks_12029,The Experiment,John Darnton,4.0,49,English,"Literature, Fiction, Genre Fiction",Dutton : Penguin Group,421.0,11.28,,0525945172
metabooks_12075,The Power and the Glory,Graham Greene,4.2,2709,English,"Mystery, Thriller, Suspense, Thrillers",Penguin Books,224.0,1.35,1977.0,0140017917
metabooks_12723,Bobby Fischer Goes to War : How the Soviets Lost the Most Extraordinary Chess Match of All Time,David Edmonds,4.3,406,English,"Biographies, Memoirs, Historical",Ecco,368.0,7.7,,0060510242
metabooks_13099,The Ruby Raven,Michael Dahl,4.9,9,English,"Teen, Young Adult, Literature, Fiction",Simon Pulse,192.0,11.96,1999.0,0671032712
metabooks_13108,"Oh, the Places You'll Go! (Classic Seuss)",Dr. Seuss,4.9,46328,English,"Children's Books, Literature, Fiction",Random House Books For Young Readers,56.0,12.99,1990.0,0679905278
metabooks_13283,The Flight of Icarus: Novel (New Directions Books),Raymond Queneau,4.6,16,English,"Literature, Fiction, History, Criticism",New Directions,191.0,13.01,,0811204839
metabooks_13492,Black Beauty,Anna Sewell,4.6,5955,English,"Children's Books, Animals",Yearling,224.0,11.0,,0440403553
metabooks_13527,Lie Down In Roses,Shannon Drake,4.2,12,English,"Mystery, Thriller, Suspense, Mystery",Zebra,507.0,,1994.0,0821747940
metabooks_13595,Twist of Fate (Love Spectrum Romance),Beverly Clark,4.2,37,English,"Literature, Fiction, United States",Genesis Press,192.0,7.12,2003.0,1585710849
metabooks_13598,Dark Justice,William Bernhardt,4.4,358,English,"Mystery, Thriller, Suspense, Thrillers",Ballantine Books,389.0,29.1,,0345407385
metabooks_14028,The Inferno,Dante,4.5,2191,English,"Literature, Fiction, Poetry",Signet,,1.3,1954.0,0451627091
metabooks_14068,Eternal on the Water,Joseph Monninger,4.5,253,English,"Literature, Fiction, Literary",Gallery Books,368.0,10.28,,1439168334
metabooks_14197,Places by the Sea (Martha's Vineyard),Jean Stone,4.4,68,English,"Literature, Fiction, Women's Fiction",Fanfare,384.0,7.99,,0553574248
metabooks_14661,Hannibal,Thomas Harris,4.4,4971,English,"Literature, Fiction, Genre Fiction",Delacorte Press,688.0,31.95,1999.0,0385334877
