id,source,name,name_norm,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
uber_eats-00000,uber_eats,PJ Fresh (224 Daniel Payne Drive),pj fresh 224 daniel payne drive,224 Daniel Payne Drive,,Daniel Payne Drive,224,Birmingham,AL,35207,US,33.5623653,-86.8307025,"['Burgers', 'American', 'Sandwiches']",,
uber_eats-00001,uber_eats,J' ti`'z Smoothie-N-Coffee Bar,j ti z smoothie n coffee bar,1521 Pinson Valley Parkway,,Pinson Valley Parkway,1521,Birmingham,AL,35217,US,33.58364,-86.77333,"['Coffee and Tea', 'Breakfast and Brunch', 'Bubble Tea']",,
uber_eats-00002,uber_eats,Philly Fresh Cheesesteaks (541-B Graymont Ave),philly fresh cheesesteaks 541 b graymont ave,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.5098,-86.85464,"['American', 'Cheesesteak', 'Sandwiches', 'Alcohol']",,
uber_eats-00003,uber_eats,Papa Murphy's (1580 Montgomery Highway),papa murphy s 1580 montgomery highway,1580 Montgomery Highway,,Montgomery Highway,1580,Hoover,AL,35226,US,33.4044388,-86.8066142,['Pizza'],,
uber_eats-00004,uber_eats,Nelson Brothers Cafe (17th St N),nelson brothers cafe 17th st n,314 17th St N,,17th St N,314,Birmingham,AL,35203,US,33.51473,-86.8117,"['Breakfast and Brunch', 'Burgers', 'Sandwiches']",4.7,22.0
uber_eats-00005,uber_eats,Ocean Restaurant,ocean restaurant,1218 20th Street South,,20th Street South,1218,Birmingham,AL,35205,US,33.49863,-86.79574,"['Seafood', 'Sushi', 'Steak']",,
uber_eats-00006,uber_eats,Jinsei Sushi,jinsei sushi,1830 29th Ave S,,29th Ave S,1830,Birmingham,AL,35209,US,33.48044,-86.79044,"['Sushi', 'Asian', 'Japanese']",4.7,63.0
uber_eats-00007,uber_eats,Little India,little india,2236 Highland Ave,,Highland Ave,2236,Birmingham,AL,35205,US,33.5022592,-86.7902983,"['Vegetarian', 'Asian', 'Asian Fusion', 'Chinese', 'Indian', 'Healthy']",,
uber_eats-00008,uber_eats,Captain D's (1284 Decatur Hwy),captain d s 1284 decatur hwy,1284 Decatur Hwy,,Decatur Hwy,1284,Gardendale,AL,35071,US,33.6571,-86.81197,"['Seafood', 'Fast Food', 'Fish and Chips', 'American']",,
uber_eats-00009,uber_eats,Cajun Bistro Express,cajun bistro express,1515 Pearson Ave SW,,Pearson Ave SW,1515,Birmingham,AL,35211,US,33.48684,-86.8563,"['Desserts', 'Vegetarian', 'Coffee and Tea']",,
uber_eats-00010,uber_eats,The Ice Cream Shop,the ice cream shop,26600 Highway 31,,Highway 31,26600,Jamison,AL,35085,US,33.5207,-86.8025,"['Desserts', 'Ice Cream + Frozen Yogurt']",,
uber_eats-00011,uber_eats,The Ice Cream Shop,the ice cream shop,4414 4th Ave,5,4th Ave,4414,Birmingham,AL,35222,US,33.52642,-86.76615,"['Ice Cream &amp', 'Frozen Yogurt', 'Comfort Food', 'Desserts']",,
uber_eats-00012,uber_eats,Bunrise Burgers,bunrise burgers,1100 Forestdale Boulevard,,Forestdale Boulevard,1100,Birmingham,AL,35214,US,33.55741,-86.8903,"['Burgers', 'Fast Food', 'American', 'Comfort Food', 'Diner', 'Chicken']",,
uber_eats-00013,uber_eats,Panera (521 Fieldstown Road),panera 521 fieldstown road,521 Fieldstown Road,,Fieldstown Road,521,Gardendale,AL,35071,US,33.6514066,-86.8192467,"['Breakfast and Brunch', 'salad', 'Sandwich', 'Family Meals', 'Pizza', 'Healthy', 'American', 'Chicken']",4.6,44.0
uber_eats-00014,uber_eats,The Imperial Indian,the imperial indian,1024 20th Street South,Unit 101,20th Street South,1024,Birmingham,AL,35205,US,33.5009,-86.7969,"['Indian', 'Vegetarian', 'Pakistani', 'Chicken', 'Indian Curry']",,
uber_eats-00015,uber_eats,Jeni's Splendid Ice Cream (Pepper Place),jeni s splendid ice cream pepper place,219 29th St S,,29th St S,219,Birmingham,AL,35233,US,33.5166,-86.78995,"['Ice Cream &amp', 'Frozen Yogurt', 'Comfort Food', 'Desserts']",5.0,20.0
uber_eats-00016,uber_eats,Exotic Wings &amp; Things,exotic wings amp things,208 Green Springs Avenue South,,Green Springs Avenue South,208,Birmingham,AL,35205,US,33.484584,-86.823947,"['Halal', 'Chicken', 'Wings']",,
uber_eats-00017,uber_eats,Papa Murphy's (1031 Montgomery Highway),papa murphy s 1031 montgomery highway,1031 Montgomery Highway,Suite 123,Montgomery Highway,1031,Vestavia Hills,AL,35216,US,33.4391227,-86.7883352,['Pizza'],,
uber_eats-00018,uber_eats,Falafel Cafe,falafel cafe,401 19th St S,,19th St S,401,Birmingham,AL,35233,US,33.5083529,-86.8031703,"['Middle Eastern', 'Mediterranean', 'Vegetarian', 'Greek', 'Healthy']",4.9,48.0
uber_eats-00019,uber_eats,MrBeast Burger (838 Odum Road),mrbeast burger 838 odum road,838 Odum Road,,Odum Road,838,Gardendale,AL,35071,US,33.64548,-86.82626,"['American', 'Burgers', 'Sandwich']",3.7,19.0
uber_eats-00020,uber_eats,Magic City Nutrition,magic city nutrition,2201 2nd Ave S,,2nd Ave S,2201,Birmingham,AL,35233,US,33.51211,-86.79992,"['Juice and Smoothies', 'Bubble Tea', 'Healthy', 'Fruit']",,
uber_eats-00021,uber_eats,Miami Fusion Cafe,miami fusion cafe,2015 5th Ave N,,5th Ave N,2015,Birmingham,AL,35203,US,33.5181892,-86.8073174,"['Caribbean', 'Cuban', 'Coffee and Tea', 'Breakfast and Brunch']",,
uber_eats-00022,uber_eats,Golden Temple Vegetarian Cafe,golden temple vegetarian cafe,1901 11th Ave S,,11th Ave S,1901,Birmingham,AL,35205,US,33.49984,-86.79708,"['Juice and Smoothies', 'Drinks', 'Comfort Food']",,
uber_eats-00023,uber_eats,Cinnabon baked at Flying J (224 Daniel Payne Drive),cinnabon baked at flying j 224 daniel payne drive,224 Daniel Payne Drive,,Daniel Payne Drive,224,Birmingham,AL,35207,US,33.56226,-86.83071,"['Bakery', 'Desserts']",,
uber_eats-00024,uber_eats,Rjt Rae'z Wings &amp;Thiings Bbq,rjt rae z wings amp thiings bbq,100 3rd Avenue North,,3rd Avenue North,100,Birmingham,AL,35204,US,33.50711,-86.8344,"['Wings', 'Burgers', 'Sandwiches']",,
uber_eats-00025,uber_eats,Five Point Public House Oyster Bar,five point public house oyster bar,1210 20th St S,,20th St S,1210,Birmingham,AL,35205,US,33.49906,-86.79597,"['Seafood', 'Sushi', 'Steak']",,
uber_eats-00026,uber_eats,Ruscelli's Food Truck at Mojo Pub,ruscelli s food truck at mojo pub,2801 7th Ave S,,7th Ave S,2801,Birmingham,AL,35233,US,33.5111302,-86.7883882,"['Italian', 'Exclusive to Eats']",4.7,100.0
uber_eats-00027,uber_eats,Sunny &amp; Fine's Breakfast Burritos (541-B Graymont Ave),sunny amp fine s breakfast burritos 541 b graymont ave,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.5098,-86.85464,"['Mexican', 'Breakfast and Brunch', 'Burritos']",,
uber_eats-00028,uber_eats,Hollywood Grill Food Truck #1,hollywood grill food truck 1,5951 Warrior River Road,,Warrior River Road,5951,Bessemer,AL,35023,US,33.46968,-87.03905,"['Wings', 'Burgers', 'BBQ']",,
uber_eats-00029,uber_eats,Grilled Gold (541-B Graymont Ave),grilled gold 541 b graymont ave,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.51104,-86.82711,"['American', 'Comfort Food']",,
uber_eats-00030,uber_eats,Hollywood Grill #2,hollywood grill 2,811 Illinios Rd,,Illinios Rd,811,Birmingham,AL,35221,US,33.4404105,-86.9068596,"['Black-owned', 'Burgers', 'Comfort Food', 'Wings', 'Exclusive to Eats']",,
uber_eats-00031,uber_eats,Allstar Diner,allstar diner,5704 Birmingport Rd,,Birmingport Rd,5704,Sylvan Springs,AL,35118,US,33.508498,-87.030447,"['Ice Cream &amp', 'Frozen Yogurt', 'Comfort Food', 'Desserts', 'Exclusive to Eats']",,
uber_eats-00032,uber_eats,Wings R King Express,wings r king express,1137 Arkadelphia Road,,Arkadelphia Road,1137,Birmingham,AL,35204,US,33.52272,-86.84984,"['Salads', 'Sandwich', 'Wings', 'Burgers', 'Seafood', 'Healthy', 'Black-owned']",,
uber_eats-00033,uber_eats,Gus's Hot Dogs,gus s hot dogs,14 Rex Ln,,Rex Ln,14,Adamsville,AL,35005,US,33.58787,-86.9364,['Hot Dog'],,
