id,source,name,name_norm,map_url,phone_raw,phone_e164,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
yelp-00000,yelp,The Quimby,the quimby,https://www.yelp.com/biz/the-quimby-queens?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13475666233.0,13475666233.0,135-25 142nd St,,142nd St,135-25,Queens,NY,11436,US,40.66735,-73.79692,['breakfast'],4.2,21.0
yelp-00001,yelp,Don Peppe,don peppe,https://www.yelp.com/biz/don-peppe-south-ozone-park-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17188457587.0,17188457587.0,135-58 Lefferts Blvd,,Lefferts Blvd,135-58,South Ozone Park,NY,11420,US,40.6689814908178,-73.8216334221041,"['italian', 'seafood']",4.1,790.0
yelp-00002,yelp,Bruno Ristorante,bruno ristorante,https://www.yelp.com/biz/bruno-ristorante-howard-beach?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17183227866.0,17183227866.0,158-22A Crossbay Blvd,,Crossbay Blvd,158-22A,Howard Beach,NY,11414,US,40.6601543540561,-73.84040060400214,['italian'],4.4,378.0
yelp-00003,yelp,Nanking,nanking,https://www.yelp.com/biz/nanking-south-ozone-park-6?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17183233555.0,17183233555.0,134-07 Rockaway Blvd,,Rockaway Blvd,134-07,South Ozone Park,NY,11420,US,40.67484,-73.80398,"['chinese', 'thai']",3.8,411.0
yelp-00004,yelp,La Sala by Tu Casa,la sala by tu casa,https://www.yelp.com/biz/la-sala-by-tu-casa-kew-gardens-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17184873990.0,17184873990.0,11635 Metropolitan Ave,,Metropolitan Ave,11635,Kew Gardens,NY,11418,US,40.707369,-73.835057,['spanish'],4.4,125.0
yelp-00005,yelp,Beijing Dumpling House,beijing dumpling house,https://www.yelp.com/biz/beijing-dumpling-house-jamaica?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17182972935.0,17182972935.0,88-38 Sutphin Blvd,,Sutphin Blvd,88-38,Jamaica,NY,11435,US,40.70398827151357,-73.8090467468766,['chinese'],4.4,426.0
yelp-00006,yelp,The Local Press,the local press,https://www.yelp.com/biz/the-local-press-ozone-park?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17183238800.0,17183238800.0,92-15 Rockaway Blvd,,Rockaway Blvd,92-15,Ozone Park,NY,11417,US,40.68148235856385,-73.84694375767234,"['burgers', 'sandwiches']",4.4,279.0
yelp-00007,yelp,Bloom Botanical Bistro,bloom botanical bistro,https://www.yelp.com/biz/bloom-botanical-bistro-queens?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17188802872.0,17188802872.0,103-19 Metropolitan Ave,,Metropolitan Ave,103-19,Queens,NY,11375,US,40.71038,-73.84909,['vegetarian'],4.3,177.0
yelp-00008,yelp,Soul City,soul city,https://www.yelp.com/biz/soul-city-jamaica?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,19173006051.0,19173006051.0,114-64 Merrick Blvd,,Merrick Blvd,114-64,Jamaica,NY,11434,US,40.689935,-73.7782722,[],4.4,116.0
yelp-00009,yelp,The Garden Grill & Bar,the garden grill bar,https://www.yelp.com/biz/the-garden-grill-and-bar-jamaica?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,,,148-18-148-98 134th St,,134th St,148-18-148-98,Jamaica,NY,11430,US,40.6657617238536,-73.8061385875692,[],3.7,9.0
yelp-00010,yelp,Lucky Boy Restaurant,lucky boy restaurant,https://www.yelp.com/biz/lucky-boy-restaurant-lawrence?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,15162399352.0,15162399352.0,636 Rockaway Tpke,,Rockaway Tpke,636,Lawrence,NY,11559,US,40.63221108691864,-73.73855847977735,"['greek', 'mediterranean']",4.5,208.0
yelp-00011,yelp,A-Churrasqueira Restaurant & Bar,a churrasqueira restaurant bar,https://www.yelp.com/biz/a-churrasqueira-restaurant-and-bar-jamaica?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17185235293.0,17185235293.0,9529 Sutphin Blvd,,Sutphin Blvd,9529,Jamaica,NY,11435,US,40.697755,-73.805755,[],4.1,123.0
yelp-00012,yelp,Green Leaf Bistro NYC,green leaf bistro nyc,https://www.yelp.com/biz/green-leaf-bistro-nyc-new-york?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17185702781.0,17185702781.0,127-17 Liberty Ave,,Liberty Ave,127-17,New York,NY,11419,US,40.6891,-73.81737,[],4.6,11.0
yelp-00013,yelp,Peppas Jerk,peppas jerk,https://www.yelp.com/biz/peppas-jerk-queens?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,19177804161.0,19177804161.0,147-10 Rockaway Blvd,,Rockaway Blvd,147-10,Queens,NY,11436,US,40.673175,-73.790438,[],3.9,31.0
yelp-00014,yelp,Nosh!,nosh,https://www.yelp.com/biz/nosh-queens-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,,,145-11 N Conduit Ave,,N Conduit Ave,145-11,Queens,NY,11436,US,40.667226,-73.794222,['sandwiches'],3.5,2.0
yelp-00015,yelp,Chew The Fat,chew the fat,https://www.yelp.com/biz/chew-the-fat-new-york?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13479609588.0,13479609588.0,146-14 Rockaway Blvd,,Rockaway Blvd,146-14,New York,NY,11436,US,40.673179,-73.791195,[],4.0,13.0
yelp-00016,yelp,Dragon King Chinese Food Restaurant,dragon king chinese food restaurant,https://www.yelp.com/biz/dragon-king-chinese-food-restaurant-queens?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17188802880.0,17188802880.0,131-23 Rockaway Blvd,,Rockaway Blvd,131-23,Queens,NY,11420,US,40.6749869052348,-73.80650179657906,['chinese'],3.5,4.0
yelp-00017,yelp,O Lavrador,o lavrador,https://www.yelp.com/biz/o-lavrador-jamaica-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17185261526.0,17185261526.0,13840 101st Ave,,101st Ave,13840,Jamaica,NY,11435,US,40.694454,-73.809419,[],4.1,331.0
yelp-00018,yelp,Devine Bickles,devine bickles,https://www.yelp.com/biz/devine-bickles-jamaica?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17189490099.0,17189490099.0,157-21 Rockaway Blvd,,Rockaway Blvd,157-21,Jamaica,NY,11434,US,40.66592,-73.77874,[],4.6,22.0
yelp-00019,yelp,Vetro Restaurant & Lounge,vetro restaurant lounge,https://www.yelp.com/biz/vetro-restaurant-and-lounge-howard-beach-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17188438387.0,17188438387.0,164-49 Crossbay Blvd,,Crossbay Blvd,164-49,Howard Beach,NY,11414,US,40.64936822098861,-73.83715061308001,['italian'],4.3,465.0
yelp-00020,yelp,El Campeon De Los Pollos,el campeon de los pollos,https://www.yelp.com/biz/el-campeon-de-los-pollos-south-ozone-park-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17187385361.0,17187385361.0,111-06A Lefferts Blvd,,Lefferts Blvd,111-06A,South Ozone Park,NY,11420,US,40.68023378018268,-73.82139020326173,['latin'],4.0,146.0
