id,name,artist,release-date,release-country,duration,tracks_track_name,tracks_track_duration,tracks_track_position
mbrainz_1,Fermats Theorem / Sight Beyond,John B,1996-01-01,United Kingdom,1055,"['Fermats Theorem', 'Sight Beyond']","['558', '497']","['1', '2']"
mbrainz_2,Tempest / Inner Sense,Psychosis,1998-12-14,United Kingdom,724,"['Tempest', 'Inner Sense']","['364', '360']","['1', '2']"
mbrainz_3,The Sign's Alive,Lypid,2000-09-05,United States,2384,"[""The Sign's Alive (original mix)"", ""The Sign's Alive (radio edit)"", ""The Sign's Alive (File Brazillia dub)"", ""The Sign's Alive (Fila Brazillia vocal)"", ""The Sign's Alive (Pako & Frederik mix)"", 'Compressed']","['366', '284', '331', '655', '417']","['1', '2', '3', '4', '5', '6']"
mbrainz_4,Surrender,Petalpusher,1999-04-27,United States,1626,"['Surrender (Petalpusher original)', ""Surrender (Mig's Naked Seduction dub)"", 'Surrender (Attaboy remix)', ""Surrender (Mig's Naked Seduction vocal)""]","['405', '411', '420', '390']","['1', '2', '3', '4']"
mbrainz_6,Unreasonable Behaviour,"Garnier, Laurent",2000-07-24,France,"['4145', '1671']","['The Warning', 'City Sphere', 'Forgotten Thoughts', 'The Sound of the Big Babou', 'Unreasonable Behaviour', ""Cycles d'oppositions"", 'The Man With the Red Face', 'Communications From the Lab', 'Greed, Part 1 + 2', 'Dangerous Drive', 'Downfall', 'Last Tribute From the 20th Century', 'Acid Eiffel', 'Smart Move', 'Madness']","['98', '373', '402', '439', '79', '301', '550', '315', '405', '529', '336', '318', '413', '338', '199', '412', '309']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']"
mbrainz_7,In the Spirit,"Trent, Ron",1999-01-01,United Kingdom,1291,"['In the Spirit (The Full Experience)', 'In the Spirit (Kada)', 'In the Spirit (Guitar Alchemy)']","['477', '343', '471']","['1', '2', '3']"
mbrainz_8,The Dance,"Gallery Collective, The",1996-01-01,United States,1869,"['The Dance (The Full Gallery mix)', 'The Dance (Saxxy instrumental mix)', 'The Dance (Sleezy dub mix)']","['794', '532', '543']","['1', '2', '3']"
mbrainz_9,Come of Age,St. Vitus Dance,1994-01-01,United Kingdom,1463,"['Bliss', 'Tunnel Vision', 'Catch the Sun', 'Mystic Vibrations']","['347', '411', '335', '370']","['1', '2', '3', '4']"
mbrainz_10,Contrax / All Mighty,Decorum,1999-01-01,United Kingdom,779,"['Contrax', 'All Mighty']","['417', '362']","['1', '2']"
mbrainz_11,Electronically Tested,Surgeon,1995-01-01,United Kingdom,1613,"['Barrier Method', 'Pork Machine', 'Language Barrier', 'Machine Language']","['333', '404', '458', '418']","['1', '2', '3', '4']"
mbrainz_12,Devotional,"Alvarado, David",2000-01-01,United Kingdom,942,"['Devotional', 'Sunstone']","['465', '477']","['1', '2']"
mbrainz_13,Natural Voodoo,Tribal Man,2000-01-01,France,1008,"['Natural Voodoo', 'Janeiro Vibe', 'African Loops']","['376', '309', '323']","['1', '2', '3']"
mbrainz_14,Bang the Drums / Remnants (release),Tayla,1993-12,United Kingdom,915,"['Bang the Drums', 'Remnants']","['463', '452']","['1', '2']"
mbrainz_15,The Return / Back to the Future,Alpha Omega,2000-09,United Kingdom,839,"['The Return', 'Back to the Future']","['366', '473']","['1', '2']"
mbrainz_16,Open Spaces / Science Fusion,Spirit,1996-01-01,United Kingdom,913,"['Open Spaces', 'Science Fusion']","['418', '495']","['1', '2']"
mbrainz_17,The Music in Me,"Johnson, Paul",1994-01-01,United States,0,"['The Music in Me', 'Slinky', ""Y'all Stole Them Dances"", 'Life in the Jungle', 'Soft Spot']",[],"['1', '2', '3', '4', '5']"
mbrainz_18,The Slippery Track,Mood II Swing,2000-08,Canada,0,"['The Slippery Track (Wink remix)', 'The Slippery Track (original mix)', 'The Slippery Track (Funk 198 remix)']",[],"['1', '2', '3']"
mbrainz_19,On and On,GH-106,1997-01-01,United Kingdom,0,"['XJ6', 'Fantasy', 'On and On']",[],"['1', '2', '3']"
mbrainz_20,Subtle Frequencies,"Jackson, Chris",1999-05-15,United States,0,"['Check Our Beats', 'Teleport', 'Back in the Realm', 'Body Control']",[],"['1', '2', '3', '4']"
mbrainz_21,Second Area / Think Tank,"Kennedy, Inigo",2001-01,United Kingdom,0,"['Second Area', 'Think Tank']",[],"['1', '2']"
mbrainz_22,U.F.Orb,"Orb, The",1992-11-03,United States,4437,"['O.O.B.E.', 'U.F.Orb', 'Blue Room', 'Towers of Dub', 'Close Encounters', 'Majestic', 'Sticky End']","['771', '369', '1054', '900', '627', '666', '50']","['1', '2', '3', '4', '5', '6', '7']"
mbrainz_23,Psychic Driving,Feral,2000-03,United States,1595,"['Psychic Driving (Wamdue remix)', 'TSK', 'Psychic Driving', 'Borderlands']","['451', '338', '394', '412']","['1', '2', '3', '4']"
mbrainz_25,Purple Eggs,Subcode,2000-01-01,United States,"['806', '825']","['Purple Eggs', 'Blunt Figure', 'Blue Sneakers', 'A Machine']","['407', '399', '405', '420']","['1', '2']"
mbrainz_26,Spiritual Insurrection Mixes,"Claussell, Joe",2000-01-01,United States,0,"['Spiritual Insurrection (Party version)', 'Spiritual Insurrection (Afro Joe)', 'Je Ka Jo (Wild Horn dub)', 'Spiritual Insurrection (Innerchild)']",[],"['1', '2', '3', '4']"
mbrainz_27,The Travellers' Dream (release),Aedena Cycle,1994-01-01,Belgium,1822,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']","['593', '490', '331', '408']","['1', '2', '3', '4']"
mbrainz_30,Ascensionism,"Bone, Richard",2000-08-15,United States,2677,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', 'Ariel Dane & The Seraphim Swing', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley"", 'The Continuing Adventures of Jet Swami', '[untitled]']","['336', '349', '200', '318', '367', '263', '278', '279', '287']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']"
mbrainz_31,Let Go / Deception,Teebee,2000-01-01,United Kingdom,0,"['Let Go', 'Deception']",[],"['1', '2']"
mbrainz_32,Up All Night / Take Control,John B,2001-06-25,United Kingdom,0,"['Up All Night', 'Take Control']",[],"['1', '2']"
mbrainz_33,Take California and Party,Propellerheads,1999-01-01,United Kingdom,805,"['Take California and Party', 'Take California']","['339', '466']","['1', '2']"
mbrainz_35,Psyence Fiction,UNKLE,1998-08-24,United Kingdom,"['540', '637']","['Guns Blazing (Drums of Death, Part 1)', 'UNKLE Main Theme', 'Bloodstain', 'Unreal', 'Lonely Soul', 'Getting Ahead in the Lucrative Field of Artist Management', 'Nursery Rhyme', 'Breather', 'Celestial Annihilation', 'The Knock (Drums of Death, Part 2)', 'Chaos', 'Rabbit in Your Headlights', 'Outro (Mandatory)']","['540', '253', '384']","['1', '2', '3', '4', '5', '6', '7']"
mbrainz_37,Beyond the Dance,Rhythim Is Rhythim,1989-01-01,United States,0,"['Beyond the Dance (Cult mix)', 'Beyond the Dance (Bizzarro mix)', 'Sinister (Trolley mix)']",[],"['1', '2', '3']"
mbrainz_38,Tribal Liberation,"Duke, DJ",1999-01-01,United States,0,"['Tribal Journey (The Sun mix)', 'Tribal Journey (The Earth mix)', 'Tribal Journey (The Moon Beats)']",[],"['1', '2', '3']"
mbrainz_39,Soundtracks for Broken Video Games,S.I.N.E. W.A.V.E.,2000-01-01,United States,0,"['Telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']",[],"['1', '2', '3', '4', '5']"
mbrainz_40,Simple Things,Bougie Soliterre,2000-01-01,United Kingdom,"['0', '0']","['Common Thread (main horn mix)', 'Superficial', 'Got the Bug', 'Something (main vocal mix)', 'Besides You (main vocal mix)', 'Magical Moments (Audio Rogue mix)', ""Bougez (Bougie's main horn mix)"", 'Miles Away (People People main mix)']",[],"['1', '2', '3', '4']"
mbrainz_41,In the Painful Quest of Beauty,"Keyprocessor, The",1994-05,Netherlands,0,"['In the Painful Quest of Beauty', 'Feary Tales', 'Dirt', 'Cabs']",[],"['1', '2', '3', '4']"
mbrainz_42,Surrender,Seek,2000-12-05,United States,0,"['Surrender', 'Surrender (Ron Trent remix)', 'Ever After', 'Ever After (Afterlife remix)']",[],"['1', '2', '3', '4']"
mbrainz_43,Do It to the Music,Raw Silk,2000-01-01,United States,709,"['Do It to the Music (vocal)', 'Do It to the Music (dub mix)']","['397', '312']","['1', '2']"
mbrainz_44,Millennium / Future's Live,Big Bud,1996-01-01,United Kingdom,0,"['Millennium', ""Future's Live""]",[],"['1', '2']"
mbrainz_45,The Fallen / State of Mind,Corellian,2000-01-01,United Kingdom,0,"['The Fallen', 'State of Mind']",[],"['1', '2']"
mbrainz_46,We Are the Future 3,Future 3,1995-01-01,Denmark,4104,"['Future 3', 'Silver M', 'Renaldo', 'B.O.Y.D.', 'Fumble', 'Dawn', 'Bubbles at Dawn', 'D.A.W.N. at 6', '46843516846516']","['484', '458', '447', '364', '372', '714', '363', '530']","['1', '2', '3', '4', '5', '6', '7', '8', '9']"
mbrainz_47,Beyond the Ozone EP,Aubrey,1998-01-01,United Kingdom,0,"['Ginger Biscuit', 'Blue Lights', 'Beyond the Ozone', 'The Skipper']",[],"['1', '2', '3', '4']"
mbrainz_48,Resurrection EP (album),Mampi Swift,2001-04-01,United Kingdom,"['0', '0']","['Resurrection', 'Jaws 2', 'Illusions', 'Trippin']",[],"['1', '2']"
mbrainz_49,Halcyon Days,"Delta, Mikael",2001-07-01,United Kingdom,4220,"['Postcards From You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']","['228', '341', '215', '350', '320', '345', '336', '284', '240', '302', '309', '321', '270', '359']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']"
mbrainz_50,Cobalt Nightmare Mixes,"Gruber, Arty",1999-01-01,United Kingdom,0,"['Inflatable Hands', 'Stimulus', 'Dutch Funk']",[],"['1', '2', '3']"
mbrainz_52,Trippin' on Broken Beats,Omni Trio,1996-01-01,United Kingdom,804,"[""Trippin' on Broken Beats"", 'Soul of Darkness (Promenade 96 Rollout)']","['449', '355']","['1', '2']"
mbrainz_53,The Future Is on Fire,"Morgenstern, Christian",2000-02-28,Germany,0,"['The Future Is on Fire, Part 1', 'The Future Is on Fire, Part 2', 'The Future Is on Fire, Part 3', 'The Future Is on Fire, Part 4']",[],"['1', '2', '3', '4']"
mbrainz_54,Prevention Beyond Cause,"Ruskin, James",1999-06-04,United Kingdom,0,['[untitled]'],[],"['1', '2', '3', '4', '5']"
mbrainz_55,Learning,Surgeon,1997-01-01,United Kingdom,1026,['[untitled]'],"['200', '309', '262', '255']","['1', '2', '3', '4']"
mbrainz_56,Minute Details,"Funker, Herman, III",1997-10-31,United Kingdom,0,"['Minute Details', 'Joint Elephant', 'Speaking in Tongues', 'Evidence']",[],"['1', '2', '3', '4']"
