fused_id,test_id,attribute,fused_value,test_value,is_match
metacritic_5860,metacritic_5860,_id,dbpedia_1248,,False
metacritic_5860,metacritic_5860,ESRB,T,T,True
metacritic_5860,metacritic_5860,criticScore,78.0,78,False
metacritic_5860,metacritic_5860,developer,Omega Force,Omega Force,True
metacritic_5860,metacritic_5860,id,dbpedia_1248,metacritic_5860,False
metacritic_5860,metacritic_5860,name,Dynasty Warriors 6,Dynasty Warriors 3,False
metacritic_5860,metacritic_5860,platform,PS3,PS2,False
metacritic_5860,metacritic_5860,releaseYear,2000-01-01,2001-01-01,False
metacritic_5860,metacritic_5860,series,Dynasty Warriors,,False
metacritic_5860,metacritic_5860,userScore,8.8,7.8,False
metacritic_5860,metacritic_5860,globalSales,1.0,,False
metacritic_5860,metacritic_5860,publisher,Tecmo Koei,Koei,False
metacritic_5860,metacritic_5860,eval_id,metacritic_5860,,False
metacritic_17161,metacritic_17161,_id,dbpedia_12891,,False
metacritic_17161,metacritic_17161,ESRB,T,T,True
metacritic_17161,metacritic_17161,criticScore,59.0,59,False
metacritic_17161,metacritic_17161,developer,Airtight Games,Airtight Games,True
metacritic_17161,metacritic_17161,id,dbpedia_12891,metacritic_17161,False
metacritic_17161,metacritic_17161,name,Dark Void,Dark Void,True
metacritic_17161,metacritic_17161,platform,PS3,PS3,True
metacritic_17161,metacritic_17161,releaseYear,2010-01-01,2010-01-01,True
metacritic_17161,metacritic_17161,series,Darksiders,,False
metacritic_17161,metacritic_17161,userScore,5.9,5.0,False
metacritic_17161,metacritic_17161,globalSales,0.0,,False
metacritic_17161,metacritic_17161,publisher,Capcom,Capcom,True
metacritic_17161,metacritic_17161,eval_id,metacritic_17161,,False
metacritic_17606,metacritic_17606,_id,dbpedia_19683,,False
metacritic_17606,metacritic_17606,ESRB,M,AO,False
metacritic_17606,metacritic_17606,criticScore,58.0,58,False
metacritic_17606,metacritic_17606,developer,Visceral Games,Visceral Games,True
metacritic_17606,metacritic_17606,id,dbpedia_19683,metacritic_17606,False
metacritic_17606,metacritic_17606,name,Army of Two: The Devil's Cartel,Army of Two: The Devil's Cartel,True
metacritic_17606,metacritic_17606,platform,PS3,PS3,True
metacritic_17606,metacritic_17606,releaseYear,2013-01-01,2013-01-01,True
metacritic_17606,metacritic_17606,series,Army of Two (series),,False
metacritic_17606,metacritic_17606,userScore,6.8,6.2,False
metacritic_17606,metacritic_17606,globalSales,0.0,,False
metacritic_17606,metacritic_17606,publisher,Electronic Arts,Electronic Arts,True
metacritic_17606,metacritic_17606,eval_id,metacritic_17606,,False
metacritic_19481,metacritic_19481,_id,dbpedia_22016,,False
