source_dataset,source_column,target_dataset,target_column,score,notes
kaggle_small,id,yelp_small,id,0.95,llm_based_matching
kaggle_small,source,yelp_small,source,0.95,llm_based_matching
kaggle_small,name,yelp_small,name,0.95,llm_based_matching
kaggle_small,name_norm,yelp_small,name_norm,0.95,llm_based_matching
kaggle_small,map_url,yelp_small,map_url,0.95,llm_based_matching
kaggle_small,phone_raw,yelp_small,phone_raw,0.95,llm_based_matching
kaggle_small,phone_e164,yelp_small,phone_e164,0.95,llm_based_matching
kaggle_small,address_line1,yelp_small,address_line1,0.95,llm_based_matching
kaggle_small,address_line2,yelp_small,address_line2,0.95,llm_based_matching
kaggle_small,street,yelp_small,street,0.95,llm_based_matching
kaggle_small,house_number,yelp_small,house_number,0.95,llm_based_matching
kaggle_small,city,yelp_small,city,0.95,llm_based_matching
kaggle_small,state,yelp_small,state,0.95,llm_based_matching
kaggle_small,postal_code,yelp_small,postal_code,0.95,llm_based_matching
kaggle_small,country,yelp_small,country,0.95,llm_based_matching
kaggle_small,latitude,yelp_small,latitude,0.95,llm_based_matching
kaggle_small,longitude,yelp_small,longitude,0.95,llm_based_matching
kaggle_small,categories,yelp_small,categories,0.95,llm_based_matching
kaggle_small,rating,yelp_small,rating,0.95,llm_based_matching
