cluster_size,frequency,percentage
2,5743,81.96089624661053
3,823,11.745397459683174
4,212,3.0255458826887396
5,85,1.2130726416440702
6,50,0.7135721421435707
7,25,0.35678607107178534
8,9,0.12844298558584272
9,7,0.0999000999000999
10,12,0.17125731411445697
11,5,0.07135721421435706
12,5,0.07135721421435706
13,3,0.04281432852861424
14,4,0.057085771371485655
15,6,0.08562865705722848
16,4,0.057085771371485655
17,1,0.014271442842871414
18,1,0.014271442842871414
20,1,0.014271442842871414
21,1,0.014271442842871414
22,2,0.028542885685742828
23,2,0.028542885685742828
24,2,0.028542885685742828
27,1,0.014271442842871414
39,1,0.014271442842871414
40,1,0.014271442842871414
79,1,0.014271442842871414
