id1,id2
metabooks_8,amazon_262817
metabooks_8,amazon_249205
metabooks_28,amazon_875
metabooks_28,amazon_83693
metabooks_54,amazon_128678
metabooks_54,amazon_191484
metabooks_61,amazon_88723
metabooks_61,amazon_158482
metabooks_70,amazon_57196
metabooks_70,amazon_93648
metabooks_73,amazon_102791
metabooks_73,amazon_39634
metabooks_87,amazon_153712
metabooks_87,amazon_254437
metabooks_98,amazon_107797
metabooks_98,amazon_20041
metabooks_100,amazon_35946
metabooks_100,amazon_234224
metabooks_121,amazon_230851
metabooks_121,amazon_85531
metabooks_122,amazon_29769
metabooks_122,amazon_219137
metabooks_127,amazon_96104
metabooks_127,amazon_141813
metabooks_133,amazon_170160
metabooks_133,amazon_169902
metabooks_139,amazon_63386
metabooks_139,amazon_95317
metabooks_187,amazon_245952
metabooks_187,amazon_276
metabooks_201,amazon_5021
metabooks_201,amazon_47233
metabooks_238,amazon_45255
metabooks_238,amazon_3222
metabooks_243,amazon_222991
metabooks_243,amazon_101940
metabooks_244,amazon_65009
metabooks_244,amazon_226359
metabooks_246,amazon_155998
metabooks_246,amazon_167374
metabooks_254,amazon_59002
metabooks_254,amazon_16249
metabooks_273,amazon_176350
metabooks_273,amazon_77300
metabooks_287,amazon_202181
metabooks_287,amazon_43097
metabooks_347,amazon_60904
metabooks_347,amazon_18518
metabooks_349,amazon_215498
metabooks_349,amazon_57472
metabooks_350,amazon_84987
metabooks_350,amazon_39807
metabooks_364,amazon_247878
metabooks_364,amazon_75451
metabooks_378,amazon_4089
metabooks_378,amazon_92472
metabooks_432,amazon_36621
metabooks_432,amazon_92735
metabooks_440,amazon_214327
metabooks_440,amazon_120654
metabooks_441,amazon_199220
metabooks_441,amazon_209261
metabooks_464,amazon_113485
metabooks_464,amazon_123984
metabooks_483,amazon_174023
metabooks_483,amazon_194564
metabooks_512,amazon_133813
metabooks_512,amazon_18542
metabooks_538,amazon_14041
metabooks_538,amazon_10366
metabooks_546,amazon_57085
metabooks_546,amazon_41432
metabooks_551,amazon_79980
metabooks_551,amazon_40366
metabooks_598,amazon_199558
metabooks_598,amazon_14209
metabooks_641,amazon_20644
metabooks_641,amazon_58278
metabooks_652,amazon_73309
metabooks_652,amazon_263319
metabooks_671,amazon_107703
metabooks_671,amazon_149510
metabooks_682,amazon_99816
metabooks_682,amazon_71363
metabooks_687,amazon_225733
metabooks_687,amazon_254262
metabooks_695,amazon_24515
metabooks_695,amazon_188609
metabooks_704,amazon_113804
metabooks_704,amazon_107952
metabooks_716,amazon_77447
metabooks_716,amazon_28211
metabooks_776,amazon_131522
metabooks_776,amazon_197438
metabooks_788,amazon_30760
metabooks_788,amazon_239997
metabooks_799,amazon_72777
metabooks_799,amazon_18463
metabooks_812,amazon_147227
metabooks_812,amazon_44992
metabooks_834,amazon_11665
metabooks_834,amazon_90211
metabooks_839,amazon_170220
metabooks_839,amazon_97612
metabooks_866,amazon_59449
metabooks_866,amazon_215630
metabooks_873,amazon_27831
metabooks_873,amazon_20515
metabooks_887,amazon_21708
metabooks_887,amazon_205276
metabooks_895,amazon_183829
metabooks_895,amazon_203402
metabooks_899,amazon_62124
metabooks_899,amazon_30661
metabooks_941,amazon_93199
metabooks_941,amazon_257362
metabooks_942,amazon_127838
metabooks_942,amazon_1381
metabooks_951,amazon_164894
metabooks_951,amazon_142187
metabooks_956,amazon_118149
metabooks_956,amazon_37137
metabooks_965,amazon_41740
metabooks_965,amazon_263235
metabooks_1025,amazon_234519
metabooks_1025,amazon_69810
metabooks_1044,amazon_3007
metabooks_1044,amazon_14920
metabooks_1054,amazon_91849
metabooks_1054,amazon_199555
metabooks_1082,amazon_43303
metabooks_1082,amazon_222811
metabooks_1087,amazon_211470
metabooks_1087,amazon_167242
metabooks_1088,amazon_260860
metabooks_1088,amazon_20111
metabooks_1090,amazon_160647
metabooks_1090,amazon_103323
metabooks_1091,amazon_113640
metabooks_1091,amazon_122955
metabooks_1098,amazon_11915
metabooks_1098,amazon_70403
metabooks_1131,amazon_2011
metabooks_1131,amazon_25826
metabooks_1134,amazon_132401
metabooks_1134,amazon_2982
metabooks_1143,amazon_174346
metabooks_1143,amazon_224746
metabooks_1177,amazon_58576
metabooks_1177,amazon_52957
metabooks_1193,amazon_77125
metabooks_1193,amazon_79629
metabooks_1203,amazon_191815
metabooks_1203,amazon_69158
metabooks_1212,amazon_227464
metabooks_1212,amazon_232314
metabooks_1214,amazon_201667
metabooks_1214,amazon_256068
metabooks_1244,amazon_174155
metabooks_1244,amazon_158631
metabooks_1316,amazon_37895
metabooks_1316,amazon_21159
metabooks_1319,amazon_4287
metabooks_1319,amazon_3534
metabooks_1324,amazon_81359
metabooks_1324,amazon_189279
metabooks_1330,amazon_222073
metabooks_1330,amazon_128336
metabooks_1385,amazon_21610
metabooks_1385,amazon_99838
metabooks_1425,amazon_228157
metabooks_1425,amazon_66344
metabooks_1442,amazon_29138
metabooks_1442,amazon_23262
metabooks_1450,amazon_31016
metabooks_1450,amazon_38158
metabooks_1484,amazon_93873
metabooks_1484,amazon_9184
metabooks_1530,amazon_167085
metabooks_1530,amazon_82524
metabooks_1533,amazon_146730
metabooks_1533,amazon_68020
metabooks_1580,amazon_28055
metabooks_1580,amazon_16429
metabooks_1585,amazon_16935
metabooks_1585,amazon_100817
metabooks_1586,amazon_717
metabooks_1586,amazon_136778
metabooks_1588,amazon_91566
metabooks_1588,amazon_158589
metabooks_1589,amazon_34018
metabooks_1589,amazon_182730
metabooks_1590,amazon_43305
metabooks_1590,amazon_203004
metabooks_1616,amazon_221365
metabooks_1616,amazon_251751
metabooks_1636,amazon_16848
metabooks_1636,amazon_232303
metabooks_1682,amazon_222793
metabooks_1682,amazon_267703
metabooks_1725,amazon_150412
metabooks_1725,amazon_56629
metabooks_1738,amazon_73649
metabooks_1738,amazon_183715
metabooks_1757,amazon_237465
metabooks_1757,amazon_224769
metabooks_1818,amazon_125187
metabooks_1818,amazon_187534
metabooks_1858,amazon_2385
metabooks_1858,amazon_22527
metabooks_1864,amazon_6734
metabooks_1864,amazon_158177
metabooks_1879,amazon_151086
metabooks_1879,amazon_205593
metabooks_1901,amazon_105795
metabooks_1901,amazon_128805
metabooks_1922,amazon_112737
metabooks_1922,amazon_250193
metabooks_1940,amazon_96645
metabooks_1940,amazon_125649
metabooks_1946,amazon_189050
metabooks_1946,amazon_214690
metabooks_1951,amazon_236405
metabooks_1951,amazon_29581
metabooks_1990,amazon_163892
metabooks_1990,amazon_145462
metabooks_2013,amazon_148695
metabooks_2013,amazon_127611
metabooks_2024,amazon_56586
metabooks_2024,amazon_46607
metabooks_2037,amazon_97662
metabooks_2037,amazon_13445
metabooks_2041,amazon_102350
metabooks_2041,amazon_32172
metabooks_2061,amazon_258151
metabooks_2061,amazon_198529
metabooks_2136,amazon_46593
metabooks_2136,amazon_42314
metabooks_2160,amazon_252125
metabooks_2160,amazon_192191
metabooks_2203,amazon_207724
metabooks_2203,amazon_73908
metabooks_2210,amazon_249478
metabooks_2210,amazon_59752
metabooks_2211,amazon_109511
metabooks_2211,amazon_22243
metabooks_2219,amazon_157534
metabooks_2219,amazon_136460
metabooks_2223,amazon_106881
metabooks_2223,amazon_182124
metabooks_2225,amazon_192390
metabooks_2225,amazon_109260
metabooks_2244,amazon_159396
metabooks_2244,amazon_7535
metabooks_2246,amazon_85755
metabooks_2246,amazon_261
metabooks_2248,amazon_164969
metabooks_2248,amazon_89073
metabooks_2267,amazon_120135
metabooks_2267,amazon_9427
metabooks_2326,amazon_25743
metabooks_2326,amazon_147293
metabooks_2404,amazon_37876
metabooks_2404,amazon_226750
metabooks_2413,amazon_175307
metabooks_2413,amazon_263981
metabooks_2439,amazon_73116
metabooks_2439,amazon_102166
metabooks_2446,amazon_107533
metabooks_2446,amazon_180836
metabooks_2449,amazon_213594
metabooks_2449,amazon_73595
metabooks_2450,amazon_7407
metabooks_2450,amazon_27854
metabooks_2478,amazon_153450
metabooks_2478,amazon_65077
metabooks_2494,amazon_115147
metabooks_2494,amazon_256782
metabooks_2510,amazon_177256
metabooks_2510,amazon_184765
metabooks_2520,amazon_209933
metabooks_2520,amazon_4978
metabooks_2535,amazon_32717
metabooks_2535,amazon_3007
metabooks_2544,amazon_153505
metabooks_2544,amazon_113130
metabooks_2547,amazon_178912
metabooks_2547,amazon_137806
metabooks_2584,amazon_151525
metabooks_2584,amazon_226006
metabooks_2592,amazon_56342
metabooks_2592,amazon_82318
metabooks_2612,amazon_244464
metabooks_2612,amazon_18481
metabooks_2622,amazon_119320
metabooks_2622,amazon_188795
metabooks_2633,amazon_77940
metabooks_2633,amazon_186537
metabooks_2635,amazon_7507
metabooks_2635,amazon_112587
metabooks_2646,amazon_209227
metabooks_2646,amazon_32483
metabooks_2648,amazon_17614
metabooks_2648,amazon_60758
metabooks_2674,amazon_187586
metabooks_2674,amazon_8020
metabooks_2686,amazon_34740
metabooks_2686,amazon_190595
metabooks_2687,amazon_153022
metabooks_2687,amazon_128236
metabooks_2689,amazon_125960
metabooks_2689,amazon_209854
metabooks_2699,amazon_94943
metabooks_2699,amazon_118479
metabooks_2705,amazon_69473
metabooks_2705,amazon_6826
metabooks_2759,amazon_6626
metabooks_2759,amazon_34314
metabooks_2760,amazon_66461
metabooks_2760,amazon_87971
metabooks_2768,amazon_96497
metabooks_2768,amazon_228352
metabooks_2801,amazon_173928
metabooks_2801,amazon_252099
metabooks_2820,amazon_66578
metabooks_2820,amazon_26484
metabooks_2821,amazon_6984
metabooks_2821,amazon_20178
metabooks_2879,amazon_110211
metabooks_2879,amazon_33929
metabooks_2900,amazon_89665
metabooks_2900,amazon_5916
metabooks_2917,amazon_41342
metabooks_2917,amazon_20989
metabooks_2933,amazon_235575
metabooks_2933,amazon_196510
metabooks_2937,amazon_2714
metabooks_2937,amazon_257256
metabooks_2938,amazon_144808
metabooks_2938,amazon_150063
metabooks_2944,amazon_16084
metabooks_2944,amazon_33009
metabooks_2951,amazon_143063
metabooks_2951,amazon_22498
metabooks_2971,amazon_239056
metabooks_2971,amazon_36727
metabooks_2972,amazon_269673
metabooks_2972,amazon_32524
metabooks_2980,amazon_138601
metabooks_2980,amazon_169493
metabooks_2989,amazon_11830
metabooks_2989,amazon_46452
metabooks_3016,amazon_10325
metabooks_3016,amazon_3829
metabooks_3054,amazon_193060
metabooks_3054,amazon_244271
metabooks_3077,amazon_193722
metabooks_3077,amazon_265520
metabooks_3088,amazon_156805
metabooks_3088,amazon_102975
metabooks_3099,amazon_155889
metabooks_3099,amazon_54566
metabooks_3108,amazon_136587
metabooks_3108,amazon_150052
metabooks_3129,amazon_17442
metabooks_3129,amazon_141463
metabooks_3131,amazon_113486
metabooks_3131,amazon_81384
metabooks_3136,amazon_11736
metabooks_3136,amazon_70180
metabooks_3146,amazon_34503
metabooks_3146,amazon_26223
metabooks_3154,amazon_10616
metabooks_3154,amazon_1107
metabooks_3155,amazon_109970
metabooks_3155,amazon_59345
metabooks_3157,amazon_31740
metabooks_3157,amazon_7428
metabooks_3171,amazon_126732
metabooks_3171,amazon_154136
metabooks_3178,amazon_42428
metabooks_3178,amazon_24283
metabooks_3180,amazon_143321
metabooks_3180,amazon_16874
metabooks_3181,amazon_122609
metabooks_3181,amazon_6991
metabooks_3186,amazon_214675
metabooks_3186,amazon_130240
metabooks_3207,amazon_17538
metabooks_3207,amazon_251207
metabooks_3227,amazon_243489
metabooks_3227,amazon_56955
metabooks_3235,amazon_227935
metabooks_3235,amazon_31263
metabooks_3241,amazon_59408
metabooks_3241,amazon_119689
metabooks_3245,amazon_139980
metabooks_3245,amazon_102254
metabooks_3278,amazon_122134
metabooks_3278,amazon_1698
metabooks_3335,amazon_86918
metabooks_3335,amazon_42424
metabooks_3337,amazon_203031
metabooks_3337,amazon_110117
metabooks_3357,amazon_96508
metabooks_3357,amazon_29976
metabooks_3358,amazon_156019
metabooks_3358,amazon_66198
metabooks_3361,amazon_4624
metabooks_3361,amazon_160704
metabooks_3368,amazon_215101
metabooks_3368,amazon_13923
metabooks_3371,amazon_217668
metabooks_3371,amazon_23913
metabooks_3384,amazon_188522
metabooks_3384,amazon_143451
