id1,id2
metabooks_8,goodreads_45613
metabooks_8,goodreads_36018
metabooks_28,goodreads_11167
metabooks_28,goodreads_40301
metabooks_54,goodreads_51622
metabooks_54,goodreads_45384
metabooks_61,goodreads_11240
metabooks_61,goodreads_9493
metabooks_70,goodreads_26649
metabooks_70,goodreads_8214
metabooks_73,goodreads_23869
metabooks_73,goodreads_19163
metabooks_87,goodreads_45297
metabooks_87,goodreads_18011
metabooks_98,goodreads_50263
metabooks_98,goodreads_29345
metabooks_100,goodreads_40843
metabooks_100,goodreads_27778
metabooks_121,goodreads_27874
metabooks_121,goodreads_27800
metabooks_122,goodreads_14156
metabooks_122,goodreads_422
metabooks_127,goodreads_38619
metabooks_127,goodreads_44742
metabooks_133,goodreads_38039
metabooks_133,goodreads_43632
metabooks_139,goodreads_12841
metabooks_139,goodreads_32369
metabooks_187,goodreads_10494
metabooks_187,goodreads_49477
metabooks_201,goodreads_40439
metabooks_201,goodreads_4970
metabooks_238,goodreads_325
metabooks_238,goodreads_46926
metabooks_243,goodreads_33328
metabooks_243,goodreads_7775
metabooks_244,goodreads_15937
metabooks_244,goodreads_51298
metabooks_246,goodreads_3865
metabooks_246,goodreads_28494
metabooks_254,goodreads_24601
metabooks_254,goodreads_19592
metabooks_273,goodreads_33223
metabooks_273,goodreads_52426
metabooks_287,goodreads_46762
metabooks_287,goodreads_16806
metabooks_347,goodreads_46698
metabooks_347,goodreads_9523
metabooks_349,goodreads_50043
metabooks_349,goodreads_3553
metabooks_350,goodreads_45962
metabooks_350,goodreads_49888
metabooks_364,goodreads_600
metabooks_364,goodreads_10293
metabooks_378,goodreads_46938
metabooks_378,goodreads_37798
metabooks_432,goodreads_34845
metabooks_432,goodreads_42937
metabooks_440,goodreads_25732
metabooks_440,goodreads_27568
metabooks_441,goodreads_13590
metabooks_441,goodreads_8688
metabooks_464,goodreads_15789
metabooks_464,goodreads_25633
metabooks_483,goodreads_33117
metabooks_483,goodreads_32077
metabooks_512,goodreads_10908
metabooks_512,goodreads_17997
metabooks_538,goodreads_38249
metabooks_538,goodreads_40363
metabooks_546,goodreads_15390
metabooks_546,goodreads_40301
metabooks_551,goodreads_12707
metabooks_551,goodreads_46607
metabooks_598,goodreads_34567
metabooks_598,goodreads_23258
metabooks_641,goodreads_48828
metabooks_641,goodreads_36447
metabooks_652,goodreads_28860
metabooks_652,goodreads_6758
metabooks_671,goodreads_10960
metabooks_671,goodreads_26591
metabooks_682,goodreads_13868
metabooks_682,goodreads_45309
metabooks_687,goodreads_10448
metabooks_687,goodreads_22605
metabooks_695,goodreads_3248
metabooks_695,goodreads_45163
metabooks_704,goodreads_43744
metabooks_704,goodreads_38465
metabooks_716,goodreads_38954
metabooks_716,goodreads_37553
metabooks_776,goodreads_23457
metabooks_776,goodreads_15163
metabooks_788,goodreads_38422
metabooks_788,goodreads_9800
metabooks_799,goodreads_40980
