id1,id2,score,notes
metabooks_236325,amazon_133424,1.0,ml_classifier=LogisticRegression
metabooks_6448,amazon_146798,1.0,ml_classifier=LogisticRegression
metabooks_479861,amazon_73745,1.0,ml_classifier=LogisticRegression
metabooks_368988,amazon_244513,1.0,ml_classifier=LogisticRegression
metabooks_332824,amazon_157356,1.0,ml_classifier=LogisticRegression
metabooks_320247,amazon_155416,1.0,ml_classifier=LogisticRegression
metabooks_431375,amazon_21446,1.0,ml_classifier=LogisticRegression
metabooks_171503,amazon_4996,1.0,ml_classifier=LogisticRegression
metabooks_86276,amazon_229673,1.0,ml_classifier=LogisticRegression
metabooks_180367,amazon_61616,1.0,ml_classifier=LogisticRegression
metabooks_428648,amazon_6388,1.0,ml_classifier=LogisticRegression
metabooks_121576,amazon_230868,1.0,ml_classifier=LogisticRegression
metabooks_423497,amazon_77514,1.0,ml_classifier=LogisticRegression
metabooks_212291,amazon_31641,1.0,ml_classifier=LogisticRegression
metabooks_45350,amazon_155346,1.0,ml_classifier=LogisticRegression
metabooks_513096,amazon_2047,1.0,ml_classifier=LogisticRegression
metabooks_412107,amazon_97038,1.0,ml_classifier=LogisticRegression
metabooks_178591,amazon_44394,1.0,ml_classifier=LogisticRegression
metabooks_365469,amazon_43316,1.0,ml_classifier=LogisticRegression
metabooks_226673,amazon_66637,1.0,ml_classifier=LogisticRegression
metabooks_390721,amazon_238541,1.0,ml_classifier=LogisticRegression
metabooks_153465,amazon_24131,1.0,ml_classifier=LogisticRegression
metabooks_262687,amazon_175344,1.0,ml_classifier=LogisticRegression
metabooks_493618,amazon_7401,1.0,ml_classifier=LogisticRegression
metabooks_148576,amazon_85440,1.0,ml_classifier=LogisticRegression
metabooks_25715,amazon_118438,1.0,ml_classifier=LogisticRegression
metabooks_360856,amazon_246807,1.0,ml_classifier=LogisticRegression
metabooks_113743,amazon_179366,1.0,ml_classifier=LogisticRegression
metabooks_124775,amazon_32768,1.0,ml_classifier=LogisticRegression
metabooks_80405,amazon_188036,1.0,ml_classifier=LogisticRegression
metabooks_450860,amazon_122909,1.0,ml_classifier=LogisticRegression
metabooks_401117,amazon_158786,1.0,ml_classifier=LogisticRegression
metabooks_300443,amazon_124874,1.0,ml_classifier=LogisticRegression
metabooks_373307,amazon_160999,1.0,ml_classifier=LogisticRegression
metabooks_85661,amazon_235001,1.0,ml_classifier=LogisticRegression
metabooks_23310,amazon_37857,1.0,ml_classifier=LogisticRegression
metabooks_128185,amazon_51444,1.0,ml_classifier=LogisticRegression
metabooks_124840,amazon_110472,1.0,ml_classifier=LogisticRegression
metabooks_111175,amazon_64316,1.0,ml_classifier=LogisticRegression
metabooks_210255,amazon_12294,1.0,ml_classifier=LogisticRegression
metabooks_247321,amazon_6477,1.0,ml_classifier=LogisticRegression
metabooks_234600,amazon_192331,1.0,ml_classifier=LogisticRegression
metabooks_504921,amazon_23704,1.0,ml_classifier=LogisticRegression
metabooks_491150,amazon_122759,1.0,ml_classifier=LogisticRegression
metabooks_441390,amazon_118149,1.0,ml_classifier=LogisticRegression
metabooks_345649,amazon_47313,1.0,ml_classifier=LogisticRegression
metabooks_349907,amazon_32908,1.0,ml_classifier=LogisticRegression
metabooks_6455,amazon_4156,1.0,ml_classifier=LogisticRegression
metabooks_158415,amazon_135835,1.0,ml_classifier=LogisticRegression
metabooks_303597,amazon_45212,1.0,ml_classifier=LogisticRegression
metabooks_188888,amazon_224054,1.0,ml_classifier=LogisticRegression
metabooks_115808,amazon_14820,1.0,ml_classifier=LogisticRegression
metabooks_124213,amazon_99615,1.0,ml_classifier=LogisticRegression
metabooks_535079,amazon_115833,1.0,ml_classifier=LogisticRegression
metabooks_292546,amazon_18520,1.0,ml_classifier=LogisticRegression
metabooks_196362,amazon_75976,1.0,ml_classifier=LogisticRegression
metabooks_239560,amazon_19489,1.0,ml_classifier=LogisticRegression
metabooks_68095,amazon_128972,1.0,ml_classifier=LogisticRegression
metabooks_220715,amazon_246525,1.0,ml_classifier=LogisticRegression
metabooks_347920,amazon_27157,1.0,ml_classifier=LogisticRegression
metabooks_28274,amazon_77329,1.0,ml_classifier=LogisticRegression
metabooks_163749,amazon_78593,1.0,ml_classifier=LogisticRegression
metabooks_406481,amazon_149294,1.0,ml_classifier=LogisticRegression
metabooks_42788,amazon_11131,1.0,ml_classifier=LogisticRegression
metabooks_61166,amazon_36454,1.0,ml_classifier=LogisticRegression
metabooks_248255,amazon_267949,1.0,ml_classifier=LogisticRegression
metabooks_335097,amazon_88072,1.0,ml_classifier=LogisticRegression
metabooks_302743,amazon_48470,1.0,ml_classifier=LogisticRegression
metabooks_426762,amazon_189116,1.0,ml_classifier=LogisticRegression
metabooks_299355,amazon_88306,1.0,ml_classifier=LogisticRegression
metabooks_317605,amazon_114693,1.0,ml_classifier=LogisticRegression
metabooks_392443,amazon_193140,1.0,ml_classifier=LogisticRegression
metabooks_343135,amazon_203230,1.0,ml_classifier=LogisticRegression
metabooks_106232,amazon_70101,1.0,ml_classifier=LogisticRegression
metabooks_455154,amazon_240969,1.0,ml_classifier=LogisticRegression
metabooks_486406,amazon_43266,1.0,ml_classifier=LogisticRegression
metabooks_331845,amazon_26143,1.0,ml_classifier=LogisticRegression
metabooks_50347,amazon_26454,1.0,ml_classifier=LogisticRegression
metabooks_246571,amazon_43867,1.0,ml_classifier=LogisticRegression
metabooks_523506,amazon_183638,1.0,ml_classifier=LogisticRegression
metabooks_426793,amazon_83703,1.0,ml_classifier=LogisticRegression
metabooks_146286,amazon_252970,1.0,ml_classifier=LogisticRegression
metabooks_68130,amazon_52773,1.0,ml_classifier=LogisticRegression
metabooks_39446,amazon_65395,1.0,ml_classifier=LogisticRegression
metabooks_261387,amazon_209867,1.0,ml_classifier=LogisticRegression
metabooks_530697,amazon_155118,1.0,ml_classifier=LogisticRegression
metabooks_513658,amazon_5977,1.0,ml_classifier=LogisticRegression
metabooks_214610,amazon_38749,1.0,ml_classifier=LogisticRegression
metabooks_436005,amazon_101681,1.0,ml_classifier=LogisticRegression
metabooks_203296,amazon_39466,1.0,ml_classifier=LogisticRegression
metabooks_170337,amazon_133255,1.0,ml_classifier=LogisticRegression
metabooks_53141,amazon_49323,1.0,ml_classifier=LogisticRegression
metabooks_95309,amazon_2586,1.0,ml_classifier=LogisticRegression
metabooks_154831,amazon_230628,1.0,ml_classifier=LogisticRegression
metabooks_10725,amazon_72933,1.0,ml_classifier=LogisticRegression
metabooks_197783,amazon_13802,1.0,ml_classifier=LogisticRegression
metabooks_486948,amazon_77254,1.0,ml_classifier=LogisticRegression
metabooks_384602,amazon_193378,1.0,ml_classifier=LogisticRegression
metabooks_412693,amazon_21027,1.0,ml_classifier=LogisticRegression
metabooks_501442,amazon_89797,1.0,ml_classifier=LogisticRegression
metabooks_383313,amazon_201393,1.0,ml_classifier=LogisticRegression
metabooks_160531,amazon_36541,1.0,ml_classifier=LogisticRegression
metabooks_515887,amazon_124262,1.0,ml_classifier=LogisticRegression
metabooks_408335,amazon_166989,1.0,ml_classifier=LogisticRegression
metabooks_385328,amazon_131763,1.0,ml_classifier=LogisticRegression
metabooks_479159,amazon_126679,1.0,ml_classifier=LogisticRegression
metabooks_164406,amazon_9463,1.0,ml_classifier=LogisticRegression
metabooks_314330,amazon_40553,1.0,ml_classifier=LogisticRegression
metabooks_451263,amazon_57626,1.0,ml_classifier=LogisticRegression
metabooks_271815,amazon_43935,1.0,ml_classifier=LogisticRegression
metabooks_64581,amazon_259996,1.0,ml_classifier=LogisticRegression
metabooks_479620,amazon_61395,1.0,ml_classifier=LogisticRegression
metabooks_29785,amazon_177833,1.0,ml_classifier=LogisticRegression
metabooks_320212,amazon_22856,1.0,ml_classifier=LogisticRegression
metabooks_288335,amazon_6981,1.0,ml_classifier=LogisticRegression
metabooks_16345,amazon_89373,1.0,ml_classifier=LogisticRegression
metabooks_240375,amazon_90623,1.0,ml_classifier=LogisticRegression
metabooks_119196,amazon_193588,1.0,ml_classifier=LogisticRegression
