id1,id2,score,notes
metabooks_8,amazon_262817,1.0,ml_classifier=LogisticRegression
metabooks_28,amazon_875,1.0,ml_classifier=LogisticRegression
metabooks_12972,amazon_116724,1.0,ml_classifier=LogisticRegression
metabooks_140412,amazon_232340,1.0,ml_classifier=LogisticRegression
metabooks_54,amazon_128678,1.0,ml_classifier=LogisticRegression
metabooks_293611,amazon_240649,1.0,ml_classifier=LogisticRegression
metabooks_305643,amazon_37419,1.0,ml_classifier=LogisticRegression
metabooks_321785,amazon_261818,1.0,ml_classifier=LogisticRegression
metabooks_368733,amazon_70262,1.0,ml_classifier=LogisticRegression
metabooks_38427,amazon_52668,1.0,ml_classifier=LogisticRegression
metabooks_144522,amazon_45585,1.0,ml_classifier=LogisticRegression
metabooks_195282,amazon_11150,1.0,ml_classifier=LogisticRegression
metabooks_425516,amazon_116311,1.0,ml_classifier=LogisticRegression
metabooks_455250,amazon_174061,1.0,ml_classifier=LogisticRegression
metabooks_61,amazon_158482,1.0,ml_classifier=LogisticRegression
metabooks_107178,amazon_88723,1.0,ml_classifier=LogisticRegression
metabooks_70,amazon_57196,1.0,ml_classifier=LogisticRegression
metabooks_65290,amazon_172288,1.0,ml_classifier=LogisticRegression
metabooks_524090,amazon_93648,1.0,ml_classifier=LogisticRegression
metabooks_20433,amazon_197627,1.0,ml_classifier=LogisticRegression
metabooks_38679,amazon_96516,1.0,ml_classifier=LogisticRegression
metabooks_140830,amazon_1634,1.0,ml_classifier=LogisticRegression
metabooks_143773,amazon_59056,1.0,ml_classifier=LogisticRegression
metabooks_227298,amazon_10326,1.0,ml_classifier=LogisticRegression
metabooks_229081,amazon_59973,1.0,ml_classifier=LogisticRegression
metabooks_370918,amazon_195045,1.0,ml_classifier=LogisticRegression
metabooks_73,amazon_102791,1.0,ml_classifier=LogisticRegression
metabooks_122,amazon_219137,1.0,ml_classifier=LogisticRegression
metabooks_384140,amazon_29769,1.0,ml_classifier=LogisticRegression
metabooks_414465,amazon_159218,1.0,ml_classifier=LogisticRegression
metabooks_133,amazon_170160,1.0,ml_classifier=LogisticRegression
metabooks_139,amazon_63386,1.0,ml_classifier=LogisticRegression
metabooks_282548,amazon_1499,1.0,ml_classifier=LogisticRegression
metabooks_501425,amazon_19511,1.0,ml_classifier=LogisticRegression
metabooks_201,amazon_5021,1.0,ml_classifier=LogisticRegression
metabooks_84919,amazon_247853,1.0,ml_classifier=LogisticRegression
metabooks_276014,amazon_47233,1.0,ml_classifier=LogisticRegression
metabooks_238,amazon_45255,1.0,ml_classifier=LogisticRegression
metabooks_243,amazon_222991,1.0,ml_classifier=LogisticRegression
metabooks_139481,amazon_222997,1.0,ml_classifier=LogisticRegression
metabooks_149284,amazon_222969,1.0,ml_classifier=LogisticRegression
metabooks_166777,amazon_222995,1.0,ml_classifier=LogisticRegression
metabooks_209032,amazon_222999,1.0,ml_classifier=LogisticRegression
metabooks_222008,amazon_96832,1.0,ml_classifier=LogisticRegression
metabooks_237281,amazon_87198,1.0,ml_classifier=LogisticRegression
metabooks_447222,amazon_101940,1.0,ml_classifier=LogisticRegression
metabooks_460995,amazon_222976,1.0,ml_classifier=LogisticRegression
metabooks_244,amazon_65009,1.0,ml_classifier=LogisticRegression
metabooks_168831,amazon_270715,1.0,ml_classifier=LogisticRegression
metabooks_246,amazon_155998,1.0,ml_classifier=LogisticRegression
metabooks_287,amazon_202181,1.0,ml_classifier=LogisticRegression
metabooks_354570,amazon_23575,1.0,ml_classifier=LogisticRegression
metabooks_1098,amazon_11915,1.0,ml_classifier=LogisticRegression
metabooks_199931,amazon_45635,1.0,ml_classifier=LogisticRegression
metabooks_349,amazon_215498,1.0,ml_classifier=LogisticRegression
metabooks_49877,amazon_52485,1.0,ml_classifier=LogisticRegression
metabooks_103352,amazon_1932,1.0,ml_classifier=LogisticRegression
metabooks_136321,amazon_68673,1.0,ml_classifier=LogisticRegression
metabooks_146865,amazon_40919,1.0,ml_classifier=LogisticRegression
metabooks_148398,amazon_74484,1.0,ml_classifier=LogisticRegression
metabooks_159621,amazon_58959,1.0,ml_classifier=LogisticRegression
metabooks_162016,amazon_6302,1.0,ml_classifier=LogisticRegression
metabooks_225336,amazon_21159,1.0,ml_classifier=LogisticRegression
metabooks_237464,amazon_42482,1.0,ml_classifier=LogisticRegression
metabooks_240375,amazon_90623,1.0,ml_classifier=LogisticRegression
metabooks_242019,amazon_57472,1.0,ml_classifier=LogisticRegression
metabooks_247169,amazon_229,1.0,ml_classifier=LogisticRegression
metabooks_327157,amazon_111581,1.0,ml_classifier=LogisticRegression
metabooks_334255,amazon_1565,1.0,ml_classifier=LogisticRegression
metabooks_453844,amazon_124705,1.0,ml_classifier=LogisticRegression
metabooks_462346,amazon_15164,1.0,ml_classifier=LogisticRegression
metabooks_466225,amazon_249764,1.0,ml_classifier=LogisticRegression
metabooks_528449,amazon_18531,1.0,ml_classifier=LogisticRegression
metabooks_350,amazon_84987,1.0,ml_classifier=LogisticRegression
metabooks_228232,amazon_233021,1.0,ml_classifier=LogisticRegression
metabooks_432,amazon_36621,1.0,ml_classifier=LogisticRegression
metabooks_265394,amazon_36311,1.0,ml_classifier=LogisticRegression
metabooks_440,amazon_214327,1.0,ml_classifier=LogisticRegression
metabooks_441,amazon_199220,1.0,ml_classifier=LogisticRegression
metabooks_304467,amazon_143048,1.0,ml_classifier=LogisticRegression
metabooks_193483,amazon_146119,1.0,ml_classifier=LogisticRegression
metabooks_229794,amazon_132102,1.0,ml_classifier=LogisticRegression
metabooks_513141,amazon_13124,1.0,ml_classifier=LogisticRegression
metabooks_464,amazon_113485,1.0,ml_classifier=LogisticRegression
metabooks_414593,amazon_220015,1.0,ml_classifier=LogisticRegression
metabooks_483,amazon_174023,1.0,ml_classifier=LogisticRegression
metabooks_512,amazon_133813,1.0,ml_classifier=LogisticRegression
metabooks_538,amazon_14041,1.0,ml_classifier=LogisticRegression
metabooks_546,amazon_57085,1.0,ml_classifier=LogisticRegression
metabooks_551,amazon_79980,1.0,ml_classifier=LogisticRegression
metabooks_641,amazon_20644,1.0,ml_classifier=LogisticRegression
metabooks_652,amazon_73309,1.0,ml_classifier=LogisticRegression
metabooks_289920,amazon_69026,1.0,ml_classifier=LogisticRegression
metabooks_445456,amazon_242281,1.0,ml_classifier=LogisticRegression
metabooks_213729,amazon_254025,1.0,ml_classifier=LogisticRegression
metabooks_682,amazon_99816,1.0,ml_classifier=LogisticRegression
metabooks_687,amazon_225733,1.0,ml_classifier=LogisticRegression
metabooks_379672,amazon_258280,1.0,ml_classifier=LogisticRegression
