id1,id2,score,notes
metabooks_527343,goodreads_14498,1.0,ml_classifier=LogisticRegression
metabooks_467271,goodreads_48610,1.0,ml_classifier=LogisticRegression
metabooks_427474,goodreads_14701,1.0,ml_classifier=LogisticRegression
metabooks_221076,goodreads_32814,1.0,ml_classifier=LogisticRegression
metabooks_419885,goodreads_52396,1.0,ml_classifier=LogisticRegression
metabooks_425930,goodreads_11838,1.0,ml_classifier=LogisticRegression
metabooks_530273,goodreads_22359,1.0,ml_classifier=LogisticRegression
metabooks_366757,goodreads_9279,1.0,ml_classifier=LogisticRegression
metabooks_207290,goodreads_19256,1.0,ml_classifier=LogisticRegression
metabooks_377932,goodreads_44186,1.0,ml_classifier=LogisticRegression
metabooks_114806,goodreads_29618,1.0,ml_classifier=LogisticRegression
metabooks_155081,goodreads_12692,1.0,ml_classifier=LogisticRegression
metabooks_42264,goodreads_50431,1.0,ml_classifier=LogisticRegression
metabooks_308478,goodreads_34810,1.0,ml_classifier=LogisticRegression
metabooks_99161,goodreads_33523,1.0,ml_classifier=LogisticRegression
metabooks_318351,goodreads_24369,1.0,ml_classifier=LogisticRegression
metabooks_256107,goodreads_24531,1.0,ml_classifier=LogisticRegression
metabooks_131366,goodreads_51771,1.0,ml_classifier=LogisticRegression
metabooks_131458,goodreads_37193,1.0,ml_classifier=LogisticRegression
metabooks_464521,goodreads_27038,1.0,ml_classifier=LogisticRegression
metabooks_5775,goodreads_38469,1.0,ml_classifier=LogisticRegression
metabooks_5775,goodreads_21073,1.0,ml_classifier=LogisticRegression
metabooks_5775,goodreads_41435,1.0,ml_classifier=LogisticRegression
metabooks_323203,goodreads_20879,1.0,ml_classifier=LogisticRegression
metabooks_497765,goodreads_4650,1.0,ml_classifier=LogisticRegression
metabooks_351257,goodreads_27800,1.0,ml_classifier=LogisticRegression
metabooks_56779,goodreads_27593,1.0,ml_classifier=LogisticRegression
metabooks_111495,goodreads_32431,1.0,ml_classifier=LogisticRegression
metabooks_133022,goodreads_38952,1.0,ml_classifier=LogisticRegression
metabooks_331491,goodreads_29713,1.0,ml_classifier=LogisticRegression
metabooks_501137,goodreads_932,1.0,ml_classifier=LogisticRegression
metabooks_239708,goodreads_5770,1.0,ml_classifier=LogisticRegression
metabooks_202855,goodreads_36277,1.0,ml_classifier=LogisticRegression
metabooks_132270,goodreads_43495,1.0,ml_classifier=LogisticRegression
metabooks_49877,goodreads_35567,1.0,ml_classifier=LogisticRegression
metabooks_329359,goodreads_46598,1.0,ml_classifier=LogisticRegression
metabooks_190791,goodreads_37367,1.0,ml_classifier=LogisticRegression
metabooks_308403,goodreads_48235,1.0,ml_classifier=LogisticRegression
metabooks_378602,goodreads_4808,1.0,ml_classifier=LogisticRegression
metabooks_89006,goodreads_4935,1.0,ml_classifier=LogisticRegression
metabooks_485444,goodreads_48883,1.0,ml_classifier=LogisticRegression
metabooks_63603,goodreads_14940,1.0,ml_classifier=LogisticRegression
metabooks_294195,goodreads_14687,1.0,ml_classifier=LogisticRegression
metabooks_17753,goodreads_31370,1.0,ml_classifier=LogisticRegression
metabooks_347668,goodreads_14919,1.0,ml_classifier=LogisticRegression
metabooks_332623,goodreads_52246,1.0,ml_classifier=LogisticRegression
metabooks_99694,goodreads_47465,1.0,ml_classifier=LogisticRegression
metabooks_418050,goodreads_4594,1.0,ml_classifier=LogisticRegression
metabooks_361623,goodreads_84,1.0,ml_classifier=LogisticRegression
metabooks_468770,goodreads_41386,1.0,ml_classifier=LogisticRegression
metabooks_484665,goodreads_44709,1.0,ml_classifier=LogisticRegression
metabooks_92593,goodreads_14132,1.0,ml_classifier=LogisticRegression
metabooks_229654,goodreads_16624,1.0,ml_classifier=LogisticRegression
metabooks_282024,goodreads_6612,1.0,ml_classifier=LogisticRegression
metabooks_118566,goodreads_37556,1.0,ml_classifier=LogisticRegression
metabooks_26684,goodreads_44649,1.0,ml_classifier=LogisticRegression
metabooks_38756,goodreads_26045,1.0,ml_classifier=LogisticRegression
metabooks_458312,goodreads_5076,1.0,ml_classifier=LogisticRegression
metabooks_432828,goodreads_9595,1.0,ml_classifier=LogisticRegression
