id1,id2,score,notes
metabooks_16345,goodreads_21376,1.0,ml_classifier=LogisticRegression
metabooks_208325,goodreads_4753,1.0,ml_classifier=LogisticRegression
metabooks_224473,goodreads_46825,1.0,ml_classifier=LogisticRegression
metabooks_423919,goodreads_13635,1.0,ml_classifier=LogisticRegression
metabooks_504038,goodreads_10483,1.0,ml_classifier=LogisticRegression
metabooks_262215,goodreads_33895,1.0,ml_classifier=LogisticRegression
metabooks_352086,goodreads_51777,1.0,ml_classifier=LogisticRegression
metabooks_471665,goodreads_45272,1.0,ml_classifier=LogisticRegression
metabooks_495716,goodreads_44906,1.0,ml_classifier=LogisticRegression
metabooks_1484,goodreads_21459,1.0,ml_classifier=LogisticRegression
metabooks_14098,goodreads_3995,1.0,ml_classifier=LogisticRegression
metabooks_30371,goodreads_6616,1.0,ml_classifier=LogisticRegression
metabooks_49970,goodreads_37005,1.0,ml_classifier=LogisticRegression
metabooks_91089,goodreads_40077,1.0,ml_classifier=LogisticRegression
metabooks_132343,goodreads_38876,1.0,ml_classifier=LogisticRegression
metabooks_143523,goodreads_51974,1.0,ml_classifier=LogisticRegression
metabooks_246366,goodreads_421,1.0,ml_classifier=LogisticRegression
metabooks_256795,goodreads_9173,1.0,ml_classifier=LogisticRegression
metabooks_261553,goodreads_6379,1.0,ml_classifier=LogisticRegression
metabooks_311437,goodreads_3036,1.0,ml_classifier=LogisticRegression
metabooks_314917,goodreads_25655,1.0,ml_classifier=LogisticRegression
metabooks_354737,goodreads_4130,1.0,ml_classifier=LogisticRegression
metabooks_360105,goodreads_49971,1.0,ml_classifier=LogisticRegression
metabooks_381212,goodreads_35865,1.0,ml_classifier=LogisticRegression
metabooks_391841,goodreads_17175,1.0,ml_classifier=LogisticRegression
metabooks_432564,goodreads_31815,1.0,ml_classifier=LogisticRegression
metabooks_433467,goodreads_33765,1.0,ml_classifier=LogisticRegression
metabooks_442276,goodreads_15636,1.0,ml_classifier=LogisticRegression
metabooks_445014,goodreads_46008,1.0,ml_classifier=LogisticRegression
metabooks_458312,goodreads_5076,1.0,ml_classifier=LogisticRegression
metabooks_466158,goodreads_6403,1.0,ml_classifier=LogisticRegression
metabooks_467966,goodreads_2731,1.0,ml_classifier=LogisticRegression
metabooks_497540,goodreads_7434,1.0,ml_classifier=LogisticRegression
metabooks_190831,goodreads_8214,1.0,ml_classifier=LogisticRegression
metabooks_220785,goodreads_46322,1.0,ml_classifier=LogisticRegression
metabooks_98397,goodreads_7445,1.0,ml_classifier=LogisticRegression
metabooks_345741,goodreads_1592,1.0,ml_classifier=LogisticRegression
metabooks_418209,goodreads_38084,1.0,ml_classifier=LogisticRegression
metabooks_465222,goodreads_13481,1.0,ml_classifier=LogisticRegression
metabooks_78241,goodreads_17437,1.0,ml_classifier=LogisticRegression
metabooks_313394,goodreads_12578,1.0,ml_classifier=LogisticRegression
metabooks_39467,goodreads_1921,1.0,ml_classifier=LogisticRegression
metabooks_413720,goodreads_14966,1.0,ml_classifier=LogisticRegression
metabooks_479501,goodreads_15774,1.0,ml_classifier=LogisticRegression
metabooks_6580,goodreads_46264,1.0,ml_classifier=LogisticRegression
metabooks_24524,goodreads_17313,1.0,ml_classifier=LogisticRegression
metabooks_112407,goodreads_33113,1.0,ml_classifier=LogisticRegression
metabooks_127668,goodreads_39450,1.0,ml_classifier=LogisticRegression
metabooks_157632,goodreads_5982,1.0,ml_classifier=LogisticRegression
metabooks_186179,goodreads_4766,1.0,ml_classifier=LogisticRegression
metabooks_222179,goodreads_18106,1.0,ml_classifier=LogisticRegression
metabooks_234778,goodreads_43960,1.0,ml_classifier=LogisticRegression
metabooks_322356,goodreads_12819,1.0,ml_classifier=LogisticRegression
metabooks_327820,goodreads_12352,1.0,ml_classifier=LogisticRegression
metabooks_363187,goodreads_9247,1.0,ml_classifier=LogisticRegression
metabooks_485405,goodreads_5116,1.0,ml_classifier=LogisticRegression
metabooks_486393,goodreads_94,1.0,ml_classifier=LogisticRegression
metabooks_501049,goodreads_28931,1.0,ml_classifier=LogisticRegression
metabooks_508599,goodreads_46263,1.0,ml_classifier=LogisticRegression
metabooks_513415,goodreads_51830,1.0,ml_classifier=LogisticRegression
metabooks_135412,goodreads_29970,1.0,ml_classifier=LogisticRegression
metabooks_93434,goodreads_23671,1.0,ml_classifier=LogisticRegression
metabooks_132568,goodreads_34724,1.0,ml_classifier=LogisticRegression
metabooks_133022,goodreads_38952,1.0,ml_classifier=LogisticRegression
metabooks_164132,goodreads_35562,1.0,ml_classifier=LogisticRegression
metabooks_206748,goodreads_36323,1.0,ml_classifier=LogisticRegression
metabooks_298797,goodreads_29388,1.0,ml_classifier=LogisticRegression
metabooks_383327,goodreads_9782,1.0,ml_classifier=LogisticRegression
metabooks_391697,goodreads_2074,1.0,ml_classifier=LogisticRegression
metabooks_95680,goodreads_11047,1.0,ml_classifier=LogisticRegression
metabooks_71212,goodreads_14618,1.0,ml_classifier=LogisticRegression
metabooks_74545,goodreads_14364,1.0,ml_classifier=LogisticRegression
metabooks_133497,goodreads_30506,1.0,ml_classifier=LogisticRegression
metabooks_402453,goodreads_4149,1.0,ml_classifier=LogisticRegression
metabooks_466128,goodreads_35536,1.0,ml_classifier=LogisticRegression
metabooks_471175,goodreads_8826,1.0,ml_classifier=LogisticRegression
metabooks_265394,goodreads_45370,1.0,ml_classifier=LogisticRegression
metabooks_12207,goodreads_4339,1.0,ml_classifier=LogisticRegression
metabooks_108905,goodreads_1287,1.0,ml_classifier=LogisticRegression
metabooks_188896,goodreads_1077,1.0,ml_classifier=LogisticRegression
metabooks_300541,goodreads_15851,1.0,ml_classifier=LogisticRegression
metabooks_525762,goodreads_33064,1.0,ml_classifier=LogisticRegression
metabooks_345849,goodreads_28333,1.0,ml_classifier=LogisticRegression
metabooks_146107,goodreads_2157,1.0,ml_classifier=LogisticRegression
metabooks_71619,goodreads_9857,1.0,ml_classifier=LogisticRegression
metabooks_117696,goodreads_31734,1.0,ml_classifier=LogisticRegression
