Blocking Key Value,Frequency
chicago,1731772
los angeles,916368
houston,733488
phoenix,646032
columbus,638476
nashville,610566
austin,576690
san diego,554403
richmond,538400
el paso,510796
new york,504984
portland,482052
tampa,448212
denver,438960
san francisco,432432
indianapolis,430808
sacramento,424840
miami,396340
brooklyn,395156
orlando,370952
madison,370272
atlanta,359484
philadelphia,351276
las vegas,347628
dallas,335016
cleveland,332000
kansas city,329232
seattle,320620
arlington,315000
cincinnati,275182
oklahoma city,262248
louisville,242372
memphis,241860
san antonio,226092
virginia beach,224224
honolulu,219490
jacksonville,218000
pasadena,214608
pittsburgh,204400
scottsdale,203592
charlotte,201630
raleigh,197112
new orleans,189540
fort worth,185758
alexandria,176468
norfolk,165308
lubbock,163742
des moines,154602
san jose,143448
baltimore,141570
milwaukee,136782
salt lake city,125060
corpus christi,124822
huntsville,123948
glendale,122848
mesa,121626
st. louis,119448
spokane,117030
miami beach,116948
roanoke,110922
decatur,109158
boise,108336
bellevue,105896
charlottesville,104904
boston,102700
odessa,101660
waco,101568
tucson,98826
minneapolis,98298
durham,98098
aurora,94752
tempe,90450
everett,87696
newark,86984
georgetown,86632
oakland,86520
bellingham,86016
newport news,86016
green bay,85644
killeen,82992
williamsburg,81250
plano,80000
queens,77816
tacoma,77760
lakewood,77600
new braunfels,76750
chandler,76220
springfield,75600
morgantown,72312
boulder,70132
yakima,68310
denton,68096
mckinney,67518
independence,65740
chesapeake,65278
chula vista,63804
bronx,63546
mcallen,61272
fredericksburg,59392
harlingen,58928
hampton,58786
temple,56576
san marcos,56500
edinburg,56448
racine,54990
garland,53816
sparks,51612
long beach,51300
ogden,50976
provo,50828
marysville,50808
kenosha,49750
wichita falls,49680
vancouver,49632
staten island,49608
providence,49320
woodbridge,48880
reno,47190
olympia,47160
manassas,45980
hartford,45000
whittier,44880
tyler,44608
westminster,44440
sterling,44376
baton rouge,44010
irving,43078
st. george,42120
alameda,41810
henderson,40992
janesville,40836
rockville,40320
edmond,40296
richland,40172
winter park,40166
roseville,39936
quincy,39498
sherman,39370
layton,39284
belleville,37846
fairfax,37696
renton,36792
farmington,36180
columbia,35926
waukesha,34560
windsor,34272
sunnyvale,33792
concord,33280
jersey city,33020
north las vegas,32712
silver spring,32004
arcadia,31980
littleton,31850
kaneohe,31242
chapel hill,30636
orem,29040
salem,28930
covington,28896
burlington,28812
brookfield,28560
bloomington,27434
charleston,27328
peoria,26410
kennewick,26058
santa clara,25864
clinton,25420
norwalk,24864
west hartford,24700
lynchburg,23936
buena park,23912
midwest city,23760
lehi,23760
puyallup,23760
englewood,23436
mission,22704
montclair,21960
warren,21902
south san francisco,21584
pharr,21538
college park,21384
el monte,21172
somerville,20984
falls church,20930
elizabeth,20706
saratoga springs,20320
hanover,20200
beaverton,20088
culver city,20054
mountain view,20022
carrollton,19536
pawtucket,19256
downey,19040
denison,18928
coral gables,18900
mesquite,18564
bloomfield,18526
marietta,18480
yonkers,18392
newport,17820
richardson,17608
redmond,17360
smyrna,17112
new rochelle,17080
altoona,17018
webster,16974
lincoln,16960
american fork,16732
pasco,16456
fremont,16320
avondale,16074
collinsville,15642
glenview,15494
clarksburg,15480
bethesda,15308
baytown,15222
west des moines,15120
west allis,14742
burbank,14739
riverside,14592
jeffersonville,14550
riverton,13860
clayton,13680
astoria,13516
clarksville,13112
west covina,12672
princeton,12648
oak park,12636
greenfield,12480
auburn,12478
medford,12416
bridgeport,12180
new albany,12180
berkeley,12096
meridian,12096
franklin,12064
anaheim,12028
alhambra,12000
fullerton,11972
milton,11808
catonsville,11792
reston,11680
germantown,11656
revere,11570
san gabriel,11424
towson,11424
lexington,11304
new britain,11300
ridgewood,11264
brookline,11200
troy,10944
fairmont,10744
florissant,10396
hackensack,10234
gretna,10212
watertown,9972
coronado,9636
flushing,9398
laurel,9300
granite city,9216
harrison,9212
evanston,9030
hyattsville,8976
bountiful,8968
woburn,8554
east providence,8450
skokie,8382
lawrence,8330
homestead,8234
wauwatosa,8216
cumberland,8096
alton,8036
greenwood,7936
cranston,7826
malden,7820
niles,7788
union city,7744
moore,7744
newton,7488
garden city,7084
wayne,7084
euclid,7056
bayonne,6960
dickinson,6812
great falls,6672
lake oswego,6532
fairfield,6524
elmhurst,6496
torrance,6308
daly city,6246
woonsocket,6240
ardmore,5952
st paul,5904
mount vernon,5814
florence,5796
port washington,5700
cleveland heights,5590
greenville,5568
hoboken,5520
windsor locks,5500
fort lee,5382
union,5166
canton,5152
parma,5096
antioch,5040
saugus,4970
fall river,4960
la habra,4913
east hartford,4900
paterson,4720
windham,4712
oceanside,4560
scarsdale,4556
sausalito,4488
artesia,4480
snohomish,4472
west memphis,4410
white plains,4356
park ridge,4340
forest park,4320
portsmouth,4284
san mateo,4250
beverly hills,4140
milford,4128
washington,4128
mt pleasant,4104
cicero,4046
springville,4012
brighton,3960
norwood,3952
mamaroneck,3900
hammond,3864
overland park,3810
issaquah,3808
belmont,3780
lake stevens,3726
wood river,3696
wheaton,3686
holly springs,3640
lynn,3630
syracuse,3614
zion,3480
attleboro,3432
santa monica,3388
gallatin,3360
murray,3306
dayton,3290
north charleston,3268
compton,3216
palo alto,3180
simsbury,3108
golden,3094
west new york,3094
brentwood,3024
inglewood,3015
highland park,2910
greenbelt,2850
east point,2842
orange,2763
hialeah,2720
albany,2688
redondo beach,2680
corona,2646
des plaines,2560
braintree,2560
cherry hill,2544
manchester,2522
midland,2484
brea,2412
kirkland,2376
barrington,2352
clearfield,2350
east rutherford,2346
beloit,2332
hingham,2262
cary,2240
round rock,2240
cambridge,2232
spanish fork,2184
berlin,2178
middletown,2168
maryville,2156
monroeville,2112
gardena,2096
stafford,2090
rutherford,2068
peabody,2052
great neck,2040
johnston,2020
freeport,2002
wethersfield,2000
plainfield,1998
wheeling,1940
caldwell,1932
wakefield,1932
west orange,1924
takoma park,1904
berwyn,1872
clifton,1862
wilmington,1836
oregon city,1824
midlothian,1804
