Blocking Key Value,Frequency
ille,42091992
vill,39993981
land,26790089
ston,26224268
ingt,21334536
ngto,21320754
gton,21286299
city,15828225
nton,12811898
burg,10927700
port,8440219
svil,8075775
ling,7016310
sbur,6542235
anto,6242103
fort,5197441
orth,4988006
lake,4968537
prin,4789297
wood,4732554
ring,4645422
spri,4000849
town,3903405
ttle,3877170
rlin,3859494
ield,3324384
fiel,3321696
west,2751850
mond,2740677
ster,2641506
alla,2536854
rich,2469012
hous,2464602
beac,2342340
each,2300116
char,2202130
stin,2136340
usto,2004652
usti,1991808
rlan,1970050
ford,1832991
tlan,1786420
fall,1771468
rock,1730724
attl,1668880
alle,1629909
toni,1629182
arli,1599384
anan,1596192
sana,1574496
aust,1569152
alls,1550848
outh,1507623
park,1499087
ortl,1398748
ento,1351434
ortw,1346160
hing,1251592
rtla,1201480
oust,1199392
gree,1188736
harl,1136960
ison,1096678
dale,1081746
reen,1052576
nant,1028698
wort,1019460
sout,1005610
elle,932470
bell,907492
ichm,862356
chmo,862356
hmon,862356
esto,844992
ecit,840088
ches,827982
hill,825083
onio,817052
dall,781760
nvil,768955
mont,755601
ridg,735264
idge,733266
andr,724135
este,665880
wauk,661510
auke,655080
lton,648261
shin,640872
fair,637536
esvi,634260
ming,618309
seat,608760
eatt,599526
diso,592328
nort,560118
isco,547740
king,540085
llas,512736
abea,508200
evil,499737
ings,494190
llen,485408
alex,479232
gham,477120
ingh,439673
eton,433752
ersb,432000
ngha,423150
akec,415276
dria,412416
wash,409992
ater,407880
ashi,405052
lexa,404352
exan,404352
xand,404352
paso,404028
brid,396828
gran,393648
burn,392080
vall,391503
iver,387055
elpa,386500
lpas,384954
rton,379904
arla,379326
adis,377696
madi,372812
ewoo,371508
sant,363860
eder,359296
erto,359168
eric,352000
ever,345966
wate,345576
rles,340400
twor,337948
beth,334598
hunt,333727
leto,332442
ndri,329472
stow,327132
rand,321300
arle,319308
rook,316476
broo,316122
ight,315228
rsbu,315074
ayto,312263
llev,308880
rtwo,308880
eigh,308574
illi,305280
airf,299388
hlan,299114
ange,296948
llin,292980
vers,286624
ksbu,285120
ving,278334
newb,276913
keci,275094
boro,274836
ntow,273420
ndal,273020
moun,268995
ills,266200
acks,264108
kane,259854
rist,258366
ceda,256428
edar,254370
ghts,254040
ines,253119
lley,250980
heig,249264
view,247629
plan,246636
lest,241454
nwoo,237220
dlan,236728
long,233376
rvil,231030
hest,229218
ingf,229152
tlak,228265
nbur,227384
inne,226072
onro,223696
ukee,221056
lano,220844
dson,217550
arbo,215040
fred,213642
ards,213044
newp,212192
acom,211754
ranc,211485
ilwa,209040
milw,207700
lwau,207700
will,203032
orge,202436
ount,202404
deri,198094
ckin,197456
nesv,195712
garl,192278
rede,191388
levu,188856
evue,188856
nsbu,188710
tsvi,187860
harr,185458
anti,184630
aden,184400
ngfi,183396
gfie,183396
ther,183022
sand,181720
rive,181379
geor,180894
eorg,180894
vere,180402
terl,180186
irvi,179860
rent,177504
ervi,176103
dent,175584
rvin,174648
edmo,169680
dmon,169074
glen,167400
rest,167125
rman,167088
ewpo,165984
wpor,165984
cent,164547
salt,163186
rick,162000
enne,161994
isto,161838
cksb,161280
anco,157884
hard,157140
rmin,155480
altl,153794
ltla,153794
assa,153426
hbur,153370
nroe,152646
ckso,150840
kson,150840
rris,147064
jack,146608
over,144440
prov,143968
okan,142968
klan,142206
akew,141600
spok,140070
poka,140070
otte,136040
icks,134958
hamp,132894
coma,132312
folk,129748
ncou,129066
uver,128772
icha,127896
ouve,127896
mcal,126480
ound,126212
couv,126144
oria,126140
yton,126048
vanc,125840
anch,125350
anna,123280
odes,122880
eret,122622
rett,122622
aine,121746
taco,121382
ngel,121315
nter,120516
erma,120408
chan,119769
ters,116424
lean,116130
afal,116064
nand,115354
lewi,114226
ewis,114226
sbor,113778
sfie,112484
dena,112236
ycit,112220
pton,110970
midl,110808
sade,110292
lver,109765
mpto,109600
alto,109446
pasa,108654
asad,108654
rdso,108624
virg,108558
irgi,108558
rgin,108558
kvil,108540
sanm,107300
gini,107254
inia,107254
anma,106708
ndro,106578
wich,106372
ngvi,106212
miss,106000
rbor,105702
colo,104618
irfa,104260
rfax,104260
llis,104188
ichi,104145
morg,103896
orga,103896
rgan,103896
entr,103845
dfor,103576
erli,103518
unti,102570
burl,99802
till,98992
orfo,98892
oint,98406
call,97030
poin,97020
chit,96940
allu,96316
aubu,96000
ubur,96000
east,95604
nson,95580
arri,95472
llup,95436
thes,94886
ross,93492
clar,93380
arlo,93330
niab,93236
iabe,93236
norf,92004
rfol,92004
ands,91863
fork,90804
farm,90381
icto,90228
alli,89956
nder,89670
rlot,89658
lott,89658
hers,89590
well,89548
nbay,89486
lubb,89394
ndon,89217
coll,89100
llia,88800
ubbo,88760
bboc,88760
bock,88760
nney,88560
nass,88452
cree,87948
reek,87250
ette,86428
wall,86016
temp,85680
mart,84525
nsvi,83752
cast,83616
rtin,83422
rcit,83340
tesv,82688
lene,82532
andh,82500
erda,82422
urli,82360
ntsv,82212
ittl,81906
texa,81648
rpar,81606
litt,81322
mary,80456
etow,79632
bran,79352
marc,79328
arti,78800
anas,78736
mana,78736
asan,78585
tnew,78432
hurs,77914
fran,77750
roll,77520
hart,77090
anta,76080
news,76000
arro,75210
kinn,74908
ethe,74683
ingd,74494
anda,74448
gant,74400
mcki,74294
pres,74163
nmar,74074
kewo,74072
noke,73660
hita,73622
andp,73470
rfie,73346
anok,73292
isvi,73272
ncit,73216
leas,73080
roan,72790
oano,72790
anvi,72500
easa,72446
plea,72357
ctor,72306
oodb,72116
vict,72100
unts,71600
silv,71346
ewbr,71340
meri,70882
wick,70680
tori,70610
ampt,69596
eter,69554
liam,68904
chla,68850
urst,68820
yvil,68728
clea,68700
ando,68698
sanj,68600
ongv,68376
gvie,68376
isti,68208
rdal,68136
onia,68100
ande,67954
chri,67470
hris,67470
iams,67410
ilve,67116
cros,67056
ichl,67032
ting,66445
kers,66378
rose,66264
eenb,65824
dbri,65824
ssas,65720
lair,65372
ngdo,65160
urch,64872
esbu,64800
orta,64390
mill,64125
odbr,63888
oche,63840
newi,63736
rfor,63444
kill,63384
ence,63272
lynn,62244
ysvi,61978
kins,61864
vine,61758
redm,61690
esda,61290
erfo,60588
sale,60048
ntin,59969
bile,59784
edfo,59580
nfor,59570
anfo,58978
elli,58464
aste,58017
beau,56856
chbu,56448
elan,56373
slan,56016
rsvi,55965
harb,55848
arre,55620
athe,55088
arka,54510
waco,53932
chur,53448
hurc,53448
msbu,53045
tins,52400
mout,52290
tall,52122
olle,52088
ores,52061
staf,52052
taff,52052
sape,51600
bend,51408
ttes,51376
esap,51342
hesa,51342
essa,51338
arks,50960
esta,50908
whit,50700
tche,50559
apea,50546
peak,50546
eake,50546
dess,50304
emer,50190
scit,50008
vale,49776
anes,49152
hell,49140
denc,48934
nfie,48910
ckvi,48896
othe,48762
nsin,48495
llsc,48144
ockv,48132
carr,47840
esqu,47628
schu,47532
puya,47520
uyal,47520
yall,47520
lsch,47328
ogde,47190
gden,47190
schr,47040
eral,46980
kenn,46872
sher,46552
high,46145
ytow,46125
gain,46104
sper,45828
bury,45816
tyle,45816
yler,45816
kirk,45210
alem,45210
llto,44946
arke,44928
ince,44760
orts,44720
onci,44564
oodl,44000
kana,43848
tgeo,43680
arys,43618
odla,43200
esha,42840
palm,42687
abil,42676
ilen,42676
pple,42250
pete,42228
lena,42186
esbo,42140
rtne,42120
cott,42080
lumb,41954
monr,41952
ortn,41860
erla,41622
aspe,41600
rthu,41588
invi,41496
rrol,41400
stjo,41322
ddle,40920
enba,40890
uite,40768
midd,40744
iddl,40744
line,40625
rkan,40584
achi,40482
arco,40468
icit,40238
hebo,40200
isla,40000
ollt,39952
clai,39812
nfel,39730
atch,39672
hesd,39498
corp,39480
orpu,39480
rpus,39480
pusc,39480
stal,39240
usch,39200
rysv,38586
llee,38360
grov,38340
rove,38340
inbu,38304
illa,38280
anca,38272
omer,38116
geto,38114
leen,38080
herf,37968
arth,37740
vern,37620
layt,37536
ntre,37350
eyci,37200
bert,37168
quit,37050
rcos,37000
york,36652
than,36582
thla,36494
wbra,36250
brau,36250
raun,36250
aunf,36250
unfe,36250
fels,36250
natc,36138
germ,36018
nite,35952
osha,35802
