label,pair,score,bucket,rule,geo_m,sim_name,sim_cat,id_a,id_b,kaggle380k_id_a,uber_eats_id_b,source_a,source_b,name_a,name_b,name_norm_a,name_norm_b,address_line1_a,address_line1_b,street_a,street_b,house_number_a,house_number_b,city_a,city_b,state_a,state_b,postal_code_a,postal_code_b,latitude_a,latitude_b,longitude_a,longitude_b,categories_a,categories_b,phone_e164_a,phone_e164_b,phone_raw_a,phone_raw_b
,df1_vs_df2,0.7259506970874741,high,geo,4.8,0.819672131147541,0.0,kaggle380k-199608,uber_eats-06546,,,kaggle_380k,uber_eats,El Rey Mexican Restaurant-Clarksburg,El Rey Mexican Restaurant,el rey mexican restaurant clarksburg,el rey mexican restaurant,,,Emily Dr,Emily Dr,544,544,Clarksburg,Clarksburg,WV,WV,26301,26301,39.2643059,39.26434,-80.2858859,-80.28592,['Mexican restaurant'],['Mexican' 'Latin American' 'New Mexican'],,,,
,df1_vs_df2,0.4616908408050443,high,geo,16.0,0.1702127659574468,0.0,kaggle380k-249386,uber_eats-02683,,,kaggle_380k,uber_eats,Domino's Pizza,Cousins Subs (10716 W Oklahoma Ave),domino s pizza,cousins subs 10716 w oklahoma ave,,,W National Ave,W Oklahoma Ave,10922,10716,West Allis,West Allis,WI,WI,53227,53227,42.9886654,42.9887498,-88.0462209,-88.04638,"['Pizza delivery' 'Chicken wings restaurant' 'Pizza restaurant'
 'Pizza takeaway']",['American' 'Sandwich'],,,,
,df1_vs_df2,0.6201276360589313,high,geo,5.2,0.5555555555555556,0.0,kaggle380k-139237,uber_eats-29467,,,kaggle_380k,uber_eats,McDonald's,McDonald's® (1332 US RTE 302),mcdonald s,mcdonald s 1332 us rte 302,,,US-302,US-302,1332,1332,Barre,"Barre, USA, Berlin",VT,VT,05641,05641,44.2274846,44.2274529,-72.5515544,-72.551603,"['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop'
 'Hamburger restaurant' 'Restaurant' 'Sandwich shop']",['American' 'Burgers' 'Fast Food'],,,,
,df1_vs_df2,0.48885881878283854,high,geo,27.9,0.25,0.0,kaggle380k-164150,uber_eats-40672,,,kaggle_380k,uber_eats,Bento Teppanyaki Asian Cuisine,Yo So Cool,bento teppanyaki asian cuisine,yo so cool,,,Barbara Jordan Blvd,Barbara Jordan Blvd,1201,1201,Austin,Austin,,TX,,78723,30.305962,30.3057993,-97.7082335,-97.7084541,['nan'],['Ice Cream + Frozen Yogurt' 'Desserts'],,,,
,df1_vs_df2,0.5360623173101046,high,geo,23.5,0.36363636363636365,0.0,kaggle380k-156755,uber_eats-25069,,,kaggle_380k,uber_eats,Good Taste,Thai Top Ten,good taste,thai top ten,,,W Grace St,W Grace St,913,911,Richmond,Richmond,VA,VA,23220,23220,37.5503016,37.550097,-77.4522011,-77.452267,['Chinese restaurant'],['Thai' 'Asian' 'Noodles'],,,,
,df1_vs_df2,0.4812601572448464,high,geo,5.2,0.20833333333333334,0.0,kaggle380k-146206,uber_eats-30034,,,kaggle_380k,uber_eats,Teriyaki Madness,Papa Murphy's (790 North 800 East),teriyaki madness,papa murphy s 790 north 800 east,,,N 800 E,North 800 East,788,790,Spanish Fork,Spanish Fork,UT,UT,84660,84660,40.1196384,40.1196495,-111.6400115,-111.6399523,"['Asian fusion restaurant' 'Asian restaurant' 'Caterer'
 'Gluten-free restaurant' 'Japanese restaurant']",['Pizza' 'Salads' 'Desserts' 'Healthy'],,,,
,df1_vs_df2,0.67154390770706,high,geo,7.7,0.6865671641791045,0.0,kaggle380k-144307,uber_eats-09885,,,kaggle_380k,uber_eats,Dairy Queen Grill & Chill,Dairy Queen Grill &amp; Chill (6715 Burden Blvd),dairy queen grill chill,dairy queen grill amp chill 6715 burden blvd,,,Burden Blvd,Burden Blvd,6715,6715,Pasco,Pasco,WA,WA,99301,99301,46.2709698,46.2709539,-119.1789666,-119.178869,['Fast food restaurant' 'Hamburger restaurant' 'Ice cream shop'],['Ice Cream + Frozen Yogurt' 'Burgers' 'Chicken' 'American'],,,,
,df1_vs_df2,0.6332666729639487,high,geo,5.1,0.5882352941176471,0.0,kaggle380k-272078,uber_eats-52777,,,kaggle_380k,uber_eats,Jin's Cafe Asian Cuisine,Jin’s cafe,jin s cafe asian cuisine,jin s cafe,,,Westheimer Rd,Westheimer Rd,9013,9013,Houston,Houston,,TX,,77063,29.7369373,29.7368919,-95.5233056,-95.5233103,['nan'],['Asian Fusion' 'Vegetarian Friendly' 'Seafood'],,,,
,df1_vs_df2,0.47663053360955543,high,geo,43.7,0.23529411764705882,0.0,kaggle380k-147784,uber_eats-21135,,,kaggle_380k,uber_eats,Repeal Bourbon & Burgers,Abbey Road Pub &amp; Restaurant,repeal bourbon burgers,abbey road pub amp restaurant,,,22nd St,22nd St,202,203,Virginia Beach,Virginia,VA,VA,23451,23451,36.8500065,36.850386,-75.9759015,-75.9760299,['Hamburger restaurant' 'Bar' 'Restaurant'],['Burgers' 'American' 'Sandwiches'],,,,
,df1_vs_df2,0.5433449766727829,high,geo,46.7,0.4050632911392405,0.0,kaggle380k-320370,uber_eats-24613,,,kaggle_380k,uber_eats,Latitude Seafood Co. Richmond,Nino's Italian Delight Subs &amp; Pizza Express (Richmond),latitude seafood richmond,nino s italian delight subs amp pizza express richmond,,,Stony Point Pkwy,Stony Point Pkwy,9216,9200,Richmond,Richmond,VA,VA,23235,23235,37.5485655,37.5489008,-77.5711924,-77.5708734,['Seafood restaurant' 'Restaurant'],['Pizza' 'Sandwich'],,,,
,df1_vs_df2,0.7992575389638419,high,geo,1.9,1.0,0.0,kaggle380k-142433,uber_eats-24419,,,kaggle_380k,uber_eats,Beer 88,Beer 88,beer 88,beer 88,,,Hexham Dr,Hexham Dr,113,113,Lynchburg,Lynchburg,VA,VA,24502,24502,37.355883,37.3558807,-79.2396098,-79.239589,['Bar & grill' 'Bar' 'Hamburger restaurant'],['Bar Food' 'American' 'Sandwich' 'Wings' 'Burgers'],,,,
