label,pair,score,bucket,rule,geo_m,sim_name,sim_cat,id_a,id_b,kaggle380k_id_a,yelp_id_b,source_a,source_b,name_a,name_b,name_norm_a,name_norm_b,address_line1_a,address_line1_b,street_a,street_b,house_number_a,house_number_b,city_a,city_b,state_a,state_b,postal_code_a,postal_code_b,latitude_a,latitude_b,longitude_a,longitude_b,categories_a,categories_b,phone_e164_a,phone_e164_b,phone_raw_a,phone_raw_b
,df1_vs_df3,0.7988274596887255,high,geo,2.9,1.0,0.0,kaggle380k-313088,yelp-94790,,,kaggle_380k,yelp,Jack in the Box,Jack in the Box,jack in the box,jack in the box,,,N County Rd W,N County Rd W,,2672,Odessa,Odessa,TX,TX,79763,79763,31.8645763,31.864597533538568,-102.3965505,-102.3965321038266,"['Fast food restaurant' 'American restaurant' 'Breakfast restaurant'
 'Chicken restaurant' 'Dessert restaurant' 'Hamburger restaurant'
 'Meal delivery' 'Mexican restaurant']",['burgers'],,,,
,df1_vs_df3,0.4,high,phone,621700.1,1.0,0.0,kaggle380k-154055,yelp-50225,,,kaggle_380k,yelp,TenderFix by Noah Schnapp,TenderFix by Noah Schnapp,tenderfix by noah schnapp,tenderfix by noah schnapp,,,State Hwy 13,,346,,Wisconsin Dells,Liberty,WI,MO,53965,64068,43.6244027,39.2393321154545,-89.7884123,-94.41914188840389,['Chicken restaurant' 'Fast food restaurant' 'Vegetarian restaurant'],['sandwiches'],+18884135074,+18884135074,,
,df1_vs_df3,0.7954012084375961,high,geo,11.5,1.0,0.0,kaggle380k-129733,yelp-90777,,,kaggle_380k,yelp,Skydome Restaurant,Skydome Restaurant,skydome restaurant,skydome restaurant,,,Army Navy Dr,Army Navy Dr,300,300,Arlington,Arlington,VA,VA,22202,22202,38.8640446,38.864,-77.0527998,-77.05268,['American restaurant'],['nan'],,,,
,df1_vs_df3,0.48603814455706523,high,geo,45.8,0.2608695652173913,0.0,kaggle380k-062082,yelp-59948,,,kaggle_380k,yelp,Felix's Restaurant & Oyster Bar,Olde Nola Cookery,felix s restaurant oyster bar,olde nola cookery,,,Iberville St,Bourbon St,739,205,New Orleans,New Orleans,LA,LA,70130,70130,29.954618,29.954933110345618,-90.068825,-90.0691307294543,['Cajun restaurant' 'Oyster bar restaurant'],['seafood'],,,,
,df1_vs_df3,0.4,high,city_name,10126.0,1.0,0.0,kaggle380k-156450,yelp-45443,,,kaggle_380k,yelp,Steam Boys,Steam Boys,steam boys,steam boys,,,Broadway,Harding Pl,5055,412,Nashville,Nashville,TN,TN,37203,37211,36.160503,36.07928185478163,-86.77962,-86.7286391,"['Chinese restaurant' 'Asian restaurant' 'Bubble tea store'
 'Lunch restaurant' 'Takeout restaurant']",['chinese'],,,,
,df1_vs_df3,0.4,high,phone,2063746.2,1.0,0.0,kaggle380k-376655,yelp-63637,,,kaggle_380k,yelp,TenderFix by Noah Schnapp,TenderFix by Noah Schnapp,tenderfix by noah schnapp,tenderfix by noah schnapp,,,Lenwood Rd,,2841,,Barstow,Liberty,CA,MO,92311,64068,34.8506189,39.2393321154545,-117.0818881,-94.41914188840389,['Chicken restaurant' 'Fast food restaurant' 'Vegetarian restaurant'],['sandwiches'],+18884135074,+18884135074,,
,df1_vs_df3,0.797149325875321,high,geo,7.1,1.0,0.0,kaggle380k-005063,yelp-06389,,,kaggle_380k,yelp,Vecina,Vecina,vecina,vecina,,,N 56th St,N 56th St,3433,3433,Phoenix,Phoenix,AZ,AZ,85018,85018,33.4886508,33.488594,-111.9603234,-111.960359,['Latin American restaurant' 'Restaurant'],['latin'],,,,
,df1_vs_df3,0.5393975549700607,high,geo,34.5,0.3829787234042553,0.0,kaggle380k-051625,yelp-39602,,,kaggle_380k,yelp,La Margarita Fountain Square,Red Lion Grog House,la margarita fountain square,red lion grog house,,,Virginia Ave,Virginia Ave,1043,1043,Indianapolis,Indianapolis,IN,IN,46203,46203,39.7527336,39.752512990882046,-86.1408623,-86.1405787825096,['Mexican restaurant'],['nan'],,,,
,df1_vs_df3,0.4,high,phone,343973.6,1.0,0.0,kaggle380k-106084,yelp-98002,,,kaggle_380k,yelp,TenderFix by Noah Schnapp,TenderFix by Noah Schnapp,tenderfix by noah schnapp,tenderfix by noah schnapp,,,City Center Blvd,,1700,,Elizabeth City,Roanoke,NC,VA,27909,24012,36.298281,37.31530611910392,-76.2535694,-79.90273359948694,['Chicken restaurant' 'Fast food restaurant' 'Vegetarian restaurant'],['sandwiches'],+18884135074,+18884135074,,
,df1_vs_df3,0.4,high,phone,510441.6,1.0,0.0,kaggle380k-016092,yelp-52689,,,kaggle_380k,yelp,In-N-Out Burger,In-N-Out Burger,in n out burger,in n out burger,,,Indian Hill Blvd,Cottle Rd,1851,5590,Pomona,San Jose,CA,CA,91767,95123,34.0778678,37.251972850363366,-117.7195831,-121.80309504107446,"['Hamburger restaurant' 'American restaurant' 'Diner'
 'Fast food restaurant' 'Lunch restaurant' 'Restaurant']",['burgers'],+18007861000,+18007861000,,
,df1_vs_df3,0.7972281363315372,high,geo,6.9,1.0,0.0,kaggle380k-248769,yelp-47559,,,kaggle_380k,yelp,Asian House,Asian House,asian house,asian house,,,Dixie Hwy,Dixie Hwy,9707,9707,Louisville,Louisville,,KY,,40272,38.1149061,38.11486,-85.8604733,-85.86042,['nan'],['chinese' 'japanese'],,,,
,df1_vs_df3,0.6557933544866914,high,geo,5.7,0.6451612903225806,0.0,kaggle380k-146309,yelp-93406,,,kaggle_380k,yelp,Fresh Soul Restaurant,Fresh Soul,fresh soul restaurant,fresh soul,,,E 5th Ave,E 5th Ave,3029,3029,Spokane,Spokane,WA,WA,99202,99202,47.6518351,47.65188,-117.3659361,-117.3659,['Soul food restaurant'],['bbq' 'sandwiches'],,,,
,df1_vs_df3,0.6709073106004929,high,addr_zip_or_citystate,31.1,0.7083333333333334,0.0,kaggle380k-183107,yelp-10581,,,kaggle_380k,yelp,La's Thai Cuisine on Northsight,La's Thai Cuisine,la s thai cuisine on northsight,la s thai cuisine,,,,,,,Scottsdale,Scottsdale,AZ,AZ,85260,85260,33.6227,33.6224220693111,-111.8970889,-111.897054836154,['Thai restaurant' 'Restaurant'],['thai'],,,,
,df1_vs_df3,0.7999973324509104,high,geo,0.0,1.0,0.0,kaggle380k-316661,yelp-15601,,,kaggle_380k,yelp,Popolari,Popolari,popolari,popolari,,,Broad St,Broad St,1047,1047,Bloomfield,Bloomfield,NJ,NJ,07003,07003,40.8277614,40.82776145158424,-74.1870461,-74.18704614043236,['Italian restaurant' 'Pasta shop'],['italian' 'sandwiches'],,,,
,df1_vs_df3,0.4640563997545736,high,geo,46.8,0.20689655172413793,0.0,kaggle380k-144978,yelp-77534,,,kaggle_380k,yelp,McDonald's,The Three Lions Pub,mcdonald s,the three lions pub,,,NE Novelty Hill Rd,NE Novelty Hill Rd,23545,23535,Redmond,Redmond,WA,WA,98053,98053,47.6999821,47.7001419,-122.02532,-122.0247421,"['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop'
 'Hamburger restaurant' 'Restaurant' 'Sandwich shop']",['nan'],,,,
,df1_vs_df3,0.4,high,phone,654554.9,1.0,0.0,kaggle380k-036061,yelp-68348,,,kaggle_380k,yelp,Cook Out,Cook Out,cook out,cook out,,,Russell Pkwy,US-51,113,8569,Warner Robins,Millington,GA,TN,31088,38053,32.5934768,35.36043,-83.6250356,-89.89291,"['Restaurant' 'American restaurant' 'Barbecue restaurant'
 'Chicken restaurant' 'Fast food restaurant' 'Hamburger restaurant'
 'Hot dog restaurant']",['burgers'],+18665470011,+18665470011,,
,df1_vs_df3,0.5071107853833757,high,addr_zip_or_citystate,17.9,0.2857142857142857,0.0,kaggle380k-148524,yelp-93207,,,kaggle_380k,yelp,Denny's,The Burger Den,denny s,the burger den,,,,,,,Wichita Falls,Wichita Falls,TX,TX,76308,76308,33.865605,33.86548,-98.5354328,-98.53531,['Diner' 'American restaurant' 'Breakfast restaurant'],['burgers'],,,,
,df1_vs_df3,0.7577986013856306,high,geo,38.8,0.9333333333333333,0.0,kaggle380k-094284,yelp-12982,,,kaggle_380k,yelp,Amar Peruvian Kitchen NY,Amar Peruvian Kitchen,amar peruvian kitchen ny,amar peruvian kitchen,,,Austin St,Austin St,68-60,68-60,Queens,Forest Hills,NY,NY,11375,11375,40.7220577,40.722374827602906,-73.8506175,-73.85081060210702,"['Peruvian restaurant' 'Chicken restaurant' 'Coffee shop' 'Dessert shop'
 'Latin American restaurant' 'Seafood restaurant']",['breakfast'],,,,
,df1_vs_df3,0.48038425652231487,high,geo,41.5,0.24242424242424243,0.0,kaggle380k-306612,yelp-52433,,,kaggle_380k,yelp,Papu Chos,Ramiro's Cantina Express,papu chos,ramiro s cantina express,,,Spring St,Spring St,246,253,Jeffersonville,Jeffersonville,IN,IN,47130,47130,38.2716436,38.2715699,-85.7399944,-85.74046,['Taco restaurant'],['nan'],,,,
,df1_vs_df3,0.4791202776278526,high,geo,37.5,0.23529411764705882,0.0,kaggle380k-144241,yelp-93741,,,kaggle_380k,yelp,Rocco's Pizza,El Cazador Taco Truck,rocco s pizza,el cazador taco truck,,,Burden Blvd,Burden Blvd,6415,6411,Pasco,Pasco,WA,WA,99301,99301,46.2709522,46.2709159851074,-119.175015,-119.174530029297,['Pizza restaurant' 'Italian restaurant'],['mexican'],,,,
,df1_vs_df3,0.6065787881516032,high,geo,43.6,0.56,0.0,kaggle380k-336884,yelp-86484,,,kaggle_380k,yelp,Panda Express,Panera Bread,panda express,panera bread,,,Hwy N 75,Highway N 75,4030,4040,Sherman,Sherman,,TX,,75090,33.6807653,33.68115527398352,-96.6093576,-96.6093137,['nan'],['sandwiches'],,,,
,df1_vs_df3,0.5296236692644061,high,geo,28.9,0.35294117647058826,0.0,kaggle380k-081708,yelp-76088,,,kaggle_380k,yelp,Circa 1918 Kitchen and bar,Indulge Bakery and Bistro,circa 1918 kitchen and bar,indulge bakery and bistro,,,Warwick Blvd,Warwick Blvd,10367,10359,Newport News,Newport News,VA,VA,23601,23601,37.0330389,37.0328563,-76.4621806,-76.4619492,['Restaurant' 'Bar'],['cafe' 'sandwiches'],,,,
,df1_vs_df3,0.666306478146015,high,geo,18.4,0.6842105263157895,0.0,kaggle380k-336287,yelp-85948,,,kaggle_380k,yelp,Urban Thai Restaurant,Enjera Restaurant,urban thai restaurant,enjera restaurant,,,23rd St S,23rd St S,561,549,Arlington,Arlington,VA,VA,22202,22202,38.853547,38.8535662872377,-77.054989,-77.0547774454892,['Thai restaurant' 'Bar' 'Southeast Asian restaurant'],['nan'],,,,
,df1_vs_df3,0.492019893353694,high,geo,10.0,0.24,0.0,kaggle380k-098600,yelp-15657,,,kaggle_380k,yelp,Samba Montclair,Efi's Gyro,samba montclair,efi s gyro,,,Park St,Bloomfield Ave,7,521,Montclair,Montclair,NJ,NJ,07042,07042,40.8152083,40.81515,-74.2186803,-74.21877,"['Latin American restaurant' 'Brazilian restaurant'
 'South American restaurant']",['greek'],,,,
,df1_vs_df3,0.47371251854177326,high,geo,26.2,0.21052631578947367,0.0,kaggle380k-332442,yelp-20058,,,kaggle_380k,yelp,Red Plum,Mister Chen,red plum,mister chen,,,Mamaroneck Ave,Mamaroneck Ave,251,265,Mamaroneck,Mamaroneck,NY,NY,10543,10543,40.9507269,40.95091,-73.7339328,-73.73413,"['Pan-Asian restaurant' 'Asian restaurant' 'Bar' 'Japanese restaurant'
 'Sushi restaurant']",['chinese' 'seafood'],,,,
,df1_vs_df3,0.46121791741838325,high,geo,9.1,0.16216216216216217,0.0,kaggle380k-013993,yelp-64138,,,kaggle_380k,yelp,Vaso Azzurro Restaurant,Johnny & Sanny's,vaso azzurro restaurant,johnny sanny s,,,Castro St,Castro St,108,110,Mountain View,Mountain View,CA,CA,94041,94041,37.3950175,37.39494,-122.0786063,-122.07864,['Italian restaurant' 'Bar' 'Restaurant'],['italian'],,,,
,df1_vs_df3,0.7964536693139712,high,geo,8.9,1.0,0.0,kaggle380k-183649,yelp-64946,,,kaggle_380k,yelp,Aloy Thai Cuisine,Aloy Thai Cuisine,aloy thai cuisine,aloy thai cuisine,,,Canyon Blvd,Canyon Blvd,2720,2720,Boulder,Boulder,CO,CO,80302,80302,40.0170347,40.01696,-105.2593134,-105.259277,['Thai restaurant' 'Asian restaurant'],['thai' 'vegetarian'],,,,
