Blocking Key Value,Frequency
chfia,445712
chmegr,322586
jainth,185148
su,138012
buwiwi,128880
jemis,119509
pamus,110058
daqugr,92928
maspi,60160
itsju,58752
crbaol,44064
sodrin,35208
qdmeea,35136
chsch,34903
rerogo,28520
dospi,27920
lojosi,27540
ch,25080
trsmca,24960
paspi,24570
ma,21489
poloki,18360
pfch,17708
casjr,17248
ta,16813
racas,15813
thbude,15280
mcsde,15132
sa,13392
disba,12138
jasde,12096
chki,11430
chwo,11362
bjsre,11070
jijos,10836
cads,10218
mosso,10208
ba,10051
frsfr,9900
pabr,9088
pa,8721
ca,8668
sh,8050
chex,7780
mcs,6768
bo,6016
chch,5920
rospi,5824
wi,5390
mi,5320
bu,5000
licapi,4930
krkrch,4876
chst,4716
tabe,4504
chsas,4400
blbedi,4368
pajos,4346
st,4302
elpolo,4224
apsgr,4048
thhabu,3920
chech,3916
ha,3629
ro,3540
gispi,3525
fusta,3500
co,3360
gr,3268
onthbo,3264
chho,3124
anspi,3097
to,3066
losro,3060
chga,3015
me,3000
so,2940
fadas,2842
paex,2833
ka,2822
br,2790
chsach,2744
elpame,2703
rusch,2664
caca,2604
shsca,2516
pi,2497
mo,2496
laca,2490
mare,2416
jospi,2400
du,2334
po,2184
pore,2184
pipi,2158
chca,2054
saspi,2048
fr,2040
fu,1992
buki,1982
stnsh,1980
suca,1972
sp,1904
peweas,1848
saca,1792
no,1728
bi,1728
goch,1728
masme,1695
copaca,1674
tajos,1668
caco,1664
coca,1660
masre,1652
go,1632
taofin,1620
nesea,1598
cr,1572
taofth,1560
ko,1548
gegr,1540
thca,1518
da,1512
tospi,1479
al,1474
gospi,1470
do,1452
re,1440
th,1440
ho,1428
chspi,1428
si,1386
thba,1380
be,1344
bbqch,1320
chon,1312
jespi,1305
chbu,1264
ochs,1260
tr,1248
neyopi,1232
wa,1218
taofch,1216
masit,1215
mas,1170
paca,1170
casit,1164
cas,1160
rotapi,1152
waho,1120
tama,1116
maca,1104
mispi,1100
ataof,1100
has,1092
capiki,1092
hubrpi,1072
elca,1068
chma,1060
chta,1056
mere,1034
maski,1012
nech,1004
taca,1000
shre,994
rosca,984
asbu,980
sasso,979
lacame,972
sare,960
care,960
te,957
le,954
tare,936
hosba,936
mopi,928
tach,924
thki,924
thorpa,924
tasme,910
lare,896
vi,896
tedebr,888
sajast,880
budibe,864
alsme,864
lata,858
chsgr,850
chchan,840
grwach,840
ph,832
lapa,810
lo,792
thco,792
hosch,784
chpa,770
an,768
ve,768
waons,756
se,750
chre,748
anbreg,744
thgr,744
rasca,741
thchfa,732
wonro,730
pe,728
pipa,728
frwobu,728
macas,726
pas,720
gocobu,714
fo,714
ronro,702
chsca,700
fa,688
taofas,688
mamere,680
fi,670
hore,658
de,656
ra,654
elpa,648
pamych,648
thta,648
fodech,638
pajopi,632
chsre,624
haca,624
papi,624
hokore,624
subu,624
tadema,624
mica,621
bidas,620
amsbe,620
pare,616
baca,612
lacade,602
na,600
tapa,598
lama,594
ju,594
laco,594
tata,594
unjus,589
lapame,588
lu,588
luspi,583
thhagu,580
pespi,576
la,560
elch,560
cama,560
thpa,560
aski,560
ki,552
misca,552
bogr,546
thst,540
thma,540
sasme,531
jocas,528
hobuba,528
biasgr,524
sn,522
thch,518
chs,513
bare,512
pr,510
meca,506
elta,504
crcr,504
sm,500
thre,496
daqu,496
alre,490
cu,490
auans,486
mosth,480
wo,480
mu,480
ch1,480
kire,476
kr,464
piex,464
bagr,464
pamegr,462
trfoki,462
rusco,460
ga,456
brspi,455
in,450
ladore,450
masfa,441
kibu,440
mata,440
chski,438
pechre,435
grspi,434
grbu,434
crca,432
busch,432
hokoex,420
thsp,420
ros,420
teca,420
mapi,420
za,416
mire,408
kojast,408
magr,400
lisch,400
thcu,400
pispi,400
grwa,400
phsa,396
chchch,396
cagr,396
gufis,396
asbi,392
jiraba,390
bl,390
thme,390
ja,384
sc,384
bespi,384
ar,380
sajare,380
camere,378
nispi,375
mawo,375
gldagr,374
chin,372
ansre,368
am,368
suma,368
tista,364
naspe,364
misu,360
hasu,360
costcr,356
thbi,352
gu,352
jaca,350
brpi,350
innou,348
flspr,348
hiex,348
jiseg,348
rosit,343
fiwofi,342
nechre,336
chpare,336
buba,336
moca,336
gykaja,336
dispi,336
babi,330
tosu,330
dasho,330
kufute,330
chsta,328
memegr,324
chdr,324
capi,322
