Blocking Key Value,Frequency
an,2100811482
st,1966748472
es,1548841338
er,1355935056
re,1266658280
in,1131951912
ta,1063762250
ar,815032277
ra,750547875
ri,731378840
ch,618675720
en,613159400
ur,604311164
nt,601356925
on,506687972
ll,464139619
th,459121552
hi,377521840
ca,374538411
al,369568134
il,361612716
te,355870664
he,353513020
ic,346326376
ng,329424197
ne,329036666
as,326196808
la,310616430
le,297975807
ea,288252531
nd,283943316
se,277165212
it,264107614
am,261418154
or,259295530
ou,252250856
ba,248448030
ro,244255251
el,238267008
is,227452725
ho,226561863
au,218266720
co,215905743
us,195250860
ac,193193876
ia,188104716
gr,185596071
ha,183722276
na,182066508
to,181051530
ma,157628628
li,156768748
sh,155474280
at,153752685
pa,151596266
pi,150383420
oo,146393280
me,142407168
ee,141083696
ve,136591584
et,131451378
ki,131042355
ke,128612674
de,122643500
sa,121860739
os,121678662
ck,119885450
si,110082280
su,105150045
ai,104577078
ns,103551657
tr,100852716
ys,100657518
bu,99283173
wa,98130206
ge,96558592
ss,93784255
lo,93198248
af,89926304
ak,87222825
rs,81111910
fe,78255555
iz,78136624
sp,76829889
zz,74558916
za,74454976
rd,74044928
ex,72907869
be,71496819
od,68823680
ay,66451023
do,65153817
nc,64816080
da,62432041
ap,62169784
un,60250150
ie,59629752
so,59369628
ol,57558810
ad,57531870
no,54589698
ec,54099236
mo,53832728
ed,51286350
rg,50997420
mi,49652988
ti,49101456
sc,48048570
eb,43796443
rt,42979160
ot,42924133
ce,42553850
bo,42183930
po,41795520
tc,41539819
di,40802766
ry,40477062
ir,39986352
ds,39601728
ub,39485866
ld,39203108
ut,39155133
op,38254335
mp,37086357
av,36988380
ni,36961344
ts,36695002
pr,36498132
fo,35968185
ab,35097748
wi,34954480
dr,33286729
ui,33068190
om,32783205
ue,32671722
pe,32544018
br,30849882
nr,30762628
fi,30208815
bi,28600812
rr,28515574
ow,27305988
rk,26642304
sb,26117660
ga,26076960
go,26056527
vi,25675950
rb,25564329
we,24527750
ob,23732540
ew,23208801
oa,22523900
io,22265353
cu,22083230
ok,21700403
bl,21611889
tt,20411050
fa,19744344
qu,19580967
ig,19528788
em,19461702
ag,19455252
oc,19198818
sm,18857480
xi,18229970
ey,17532060
ja,16948989
cr,16948295
eg,16512935
nn,16461576
gs,16430520
iv,16198287
fr,15479076
nb,15467760
ks,15058330
ci,14451570
ya,14141925
ep,14076692
pl,14075933
wo,13767117
rn,13353891
ff,13269600
ls,13002980
sr,12904359
hu,12352784
id,12013063
of,11882661
xp,11445168
tl,11042622
ev,10769565
tb,10755288
lu,10529577
ty,10489131
eh,10053836
uc,9918504
gh,9694111
im,9535580
ka,8956011
rc,8927104
ei,8840772
rl,8682300
ly,8274686
ph,8242290
ul,7960548
ru,7535286
mc,7472010
pp,7462194
ny,7385908
ah,7208024
eo,7198636
va,6946053
nk,6913920
bb,6837264
jo,6629112
ib,6537382
ef,6514265
bw,5921100
sd,5870304
sl,5792688
ko,5700838
rm,5620832
um,5337660
ek,5328400
hs,5269460
dl,5187666
db,5151978
lt,5122970
sw,5084664
dc,5083260
aw,5055476
ip,5029352
lv,5015950
og,4975616
ze,4860405
wn,4814708
cd,4805742
ae,4752231
oh,4742225
dy,4704422
gi,4677300
by,4656730
sk,4543956
mb,4494490
kf,4381920
pu,4264995
nf,4184572
sg,4136136
dw,4090086
bs,4064855
sf,3926997
ik,3924352
aj,3921201
gu,3915405
aa,3912309
nu,3854351
dg,3825108
lc,3740330
yo,3733905
tw,3717484
np,3577350
az,3524310
yc,3241804
yr,3210810
ju,3190320
bq,3153536
up,3085280
tu,3024836
cl,2992500
ps,2982790
lb,2964960
uf,2878320
kh,2818736
dd,2745120
ms,2742773
ua,2649297
du,2593863
hn,2540538
fl,2530116
nm,2528295
fu,2435320
rp,2343516
yb,2286360
mm,2245124
tp,2147561
hw,2115600
10,2102230
aq,2091942
oi,2056622
lm,1997100
ov,1968624
ct,1968508
ye,1910034
oy,1871749
ky,1852411
nw,1836340
nh,1828845
wh,1793568
dt,1726915
wy,1708930
if,1698000
mu,1680606
dp,1663520
ih,1631264
lr,1568920
ji,1547520
ym,1516200
fc,1462340
yd,1461420
lg,1439484
lp,1427760
tf,1422344
gt,1318082
sn,1314810
oe,1294218
je,1281818
tg,1256730
my,1235970
ox,1235400
yp,1214370
ht,1151160
gc,1123820
hr,1112217
lf,1090020
ug,1088328
yl,1069080
kr,1061424
wl,1055208
yt,1050966
dh,944980
rf,910800
gg,905905
hb,899543
gl,896310
mr,895000
kw,884288
ft,858010
iy,838950
ao,836650
00,823648
hm,820216
td,814776
tn,807832
ud,802644
hy,797916
20,787392
pt,786828
01,770004
nl,739941
ku,738792
xa,722082
vo,695445
uy,667152
df,658360
ii,657855
dm,648219
kb,642978
hc,636650
tm,631180
11,620100
yn,617870
kl,611176
gb,596790
py,596331
ez,561920
zi,555672
lk,555660
zo,538868
ws,522070
s1,515780
cc,513928
pb,506500
12,503240
uk,502884
oj,491608
rv,475524
rh,474610
yh,457246
nj,457068
kc,449020
ej,441922
e1,438438
nv,437760
lh,437166
hl,426240
cy,425712
sv,423108
sj,422368
sq,392031
19,384146
wb,384054
yf,382356
gy,377907
pc,376584
yq,374400
21,372360
50,359424
30,353220
rw,339248
yu,339080
tz,334965
ax,333234
wc,332169
yg,328055
s2,325090
eu,325047
oz,319800
18,318756
kt,299676
15,289952
ij,280872
hp,279180
13,278709
ln,256296
gk,254000
yk,252568
40,247616
gd,238392
ix,236544
sy,236070
16,235468
uo,233892
yw,230958
60,222942
lw,212290
80,210540
14,208768
cs,207536
iq,200415
pk,199558
kn,196908
a1,193200
fm,192850
yi,190320
kp,187668
e2,187340
n1,185032
17,183600
wr,164920
eq,164164
22,161424
gf,155008
iw,152304
js,151088
fs,147260
pg,146280
31,136200
vd,136150
yv,135240
s3,135042
25,134538
02,134178
nz,131760
dn,131228
gp,130808
pf,130356
24,126720
41,125058
zy,124020
88,122760
