id1,id2,score,notes
kaggle380k-000258,uber_eats-24620,1.0,ml_classifier=SVC
kaggle380k-000325,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-003970,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-004030,uber_eats-29559,1.0,ml_classifier=SVC
kaggle380k-004030,uber_eats-47879,1.0,ml_classifier=SVC
kaggle380k-022701,uber_eats-18243,1.0,ml_classifier=SVC
kaggle380k-022702,uber_eats-00724,1.0,ml_classifier=SVC
kaggle380k-025900,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-026015,uber_eats-24620,1.0,ml_classifier=SVC
kaggle380k-026322,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-026322,uber_eats-29244,1.0,ml_classifier=SVC
kaggle380k-027371,uber_eats-32822,1.0,ml_classifier=SVC
kaggle380k-027483,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-028489,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-028521,uber_eats-28509,1.0,ml_classifier=SVC
kaggle380k-029175,uber_eats-34344,1.0,ml_classifier=SVC
kaggle380k-029284,uber_eats-29559,1.0,ml_classifier=SVC
kaggle380k-031798,uber_eats-34995,1.0,ml_classifier=SVC
kaggle380k-033836,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-033862,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-033879,uber_eats-39465,1.0,ml_classifier=SVC
kaggle380k-033941,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-036441,uber_eats-01039,1.0,ml_classifier=SVC
kaggle380k-042291,uber_eats-61640,1.0,ml_classifier=SVC
kaggle380k-043157,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-045839,uber_eats-44509,1.0,ml_classifier=SVC
kaggle380k-052875,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-062967,uber_eats-32822,1.0,ml_classifier=SVC
kaggle380k-063489,uber_eats-25986,1.0,ml_classifier=SVC
kaggle380k-065153,uber_eats-16444,1.0,ml_classifier=SVC
kaggle380k-067610,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-067624,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-067955,uber_eats-29336,1.0,ml_classifier=SVC
kaggle380k-067972,uber_eats-34344,1.0,ml_classifier=SVC
kaggle380k-070647,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-071092,uber_eats-53043,1.0,ml_classifier=SVC
kaggle380k-071549,uber_eats-00724,1.0,ml_classifier=SVC
kaggle380k-072523,uber_eats-32822,1.0,ml_classifier=SVC
kaggle380k-072620,uber_eats-39465,1.0,ml_classifier=SVC
kaggle380k-082720,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-087088,uber_eats-07820,1.0,ml_classifier=SVC
kaggle380k-088942,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-103329,uber_eats-24620,1.0,ml_classifier=SVC
kaggle380k-103544,uber_eats-32822,1.0,ml_classifier=SVC
kaggle380k-108312,uber_eats-10476,1.0,ml_classifier=SVC
kaggle380k-108312,uber_eats-24620,1.0,ml_classifier=SVC
kaggle380k-112040,uber_eats-34344,1.0,ml_classifier=SVC
kaggle380k-113722,uber_eats-32822,1.0,ml_classifier=SVC
kaggle380k-113731,uber_eats-32822,1.0,ml_classifier=SVC
kaggle380k-115025,uber_eats-07820,1.0,ml_classifier=SVC
kaggle380k-117133,uber_eats-29765,1.0,ml_classifier=SVC
kaggle380k-122541,uber_eats-01039,1.0,ml_classifier=SVC
kaggle380k-122820,uber_eats-51606,1.0,ml_classifier=SVC
kaggle380k-127057,uber_eats-29559,1.0,ml_classifier=SVC
kaggle380k-127072,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-127075,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-127087,uber_eats-12098,1.0,ml_classifier=SVC
kaggle380k-127096,uber_eats-62780,1.0,ml_classifier=SVC
kaggle380k-127129,uber_eats-47364,1.0,ml_classifier=SVC
kaggle380k-130051,uber_eats-19743,1.0,ml_classifier=SVC
kaggle380k-130056,uber_eats-29559,1.0,ml_classifier=SVC
kaggle380k-130056,uber_eats-47879,1.0,ml_classifier=SVC
