id1,id2,score,notes
kaggle380k-163508,yelp-81184,1.0,ml_classifier=SVC
kaggle380k-166765,yelp-88814,1.0,ml_classifier=SVC
kaggle380k-301222,yelp-88814,1.0,ml_classifier=SVC
kaggle380k-315634,yelp-81184,1.0,ml_classifier=SVC
kaggle380k-169940,yelp-60082,1.0,ml_classifier=SVC
kaggle380k-301857,yelp-60082,1.0,ml_classifier=SVC
kaggle380k-000896,yelp-22470,1.0,ml_classifier=SVC
kaggle380k-000897,yelp-06370,1.0,ml_classifier=SVC
kaggle380k-000898,yelp-23479,1.0,ml_classifier=SVC
kaggle380k-000899,yelp-23464,1.0,ml_classifier=SVC
kaggle380k-000900,yelp-27184,1.0,ml_classifier=SVC
kaggle380k-000901,yelp-06344,1.0,ml_classifier=SVC
kaggle380k-000902,yelp-06354,1.0,ml_classifier=SVC
kaggle380k-000903,yelp-23452,1.0,ml_classifier=SVC
kaggle380k-000904,yelp-27138,1.0,ml_classifier=SVC
kaggle380k-000905,yelp-23503,1.0,ml_classifier=SVC
kaggle380k-000906,yelp-23513,1.0,ml_classifier=SVC
kaggle380k-000907,yelp-23497,1.0,ml_classifier=SVC
kaggle380k-000907,yelp-23508,1.0,ml_classifier=SVC
kaggle380k-000908,yelp-23487,1.0,ml_classifier=SVC
kaggle380k-000909,yelp-27145,1.0,ml_classifier=SVC
kaggle380k-000910,yelp-23481,1.0,ml_classifier=SVC
kaggle380k-000912,yelp-23510,1.0,ml_classifier=SVC
kaggle380k-000913,yelp-23488,1.0,ml_classifier=SVC
kaggle380k-000914,yelp-27124,1.0,ml_classifier=SVC
kaggle380k-000916,yelp-23468,1.0,ml_classifier=SVC
kaggle380k-000917,yelp-23498,1.0,ml_classifier=SVC
kaggle380k-000918,yelp-22886,1.0,ml_classifier=SVC
kaggle380k-000918,yelp-27151,1.0,ml_classifier=SVC
kaggle380k-000920,yelp-23460,1.0,ml_classifier=SVC
kaggle380k-000921,yelp-23509,1.0,ml_classifier=SVC
kaggle380k-000922,yelp-27155,1.0,ml_classifier=SVC
kaggle380k-000924,yelp-06350,1.0,ml_classifier=SVC
kaggle380k-000927,yelp-23505,1.0,ml_classifier=SVC
kaggle380k-000929,yelp-23494,1.0,ml_classifier=SVC
kaggle380k-000932,yelp-23471,1.0,ml_classifier=SVC
kaggle380k-000935,yelp-27158,1.0,ml_classifier=SVC
kaggle380k-000937,yelp-27105,1.0,ml_classifier=SVC
kaggle380k-000939,yelp-27109,1.0,ml_classifier=SVC
kaggle380k-000943,yelp-27171,1.0,ml_classifier=SVC
kaggle380k-000945,yelp-06357,1.0,ml_classifier=SVC
kaggle380k-000949,yelp-27164,1.0,ml_classifier=SVC
kaggle380k-000951,yelp-23514,1.0,ml_classifier=SVC
kaggle380k-000953,yelp-23458,1.0,ml_classifier=SVC
kaggle380k-000954,yelp-23454,1.0,ml_classifier=SVC
kaggle380k-000958,yelp-23514,1.0,ml_classifier=SVC
kaggle380k-000962,yelp-27178,1.0,ml_classifier=SVC
kaggle380k-000964,yelp-22526,1.0,ml_classifier=SVC
kaggle380k-000965,yelp-23456,1.0,ml_classifier=SVC
kaggle380k-000973,yelp-23465,1.0,ml_classifier=SVC
kaggle380k-000978,yelp-27104,1.0,ml_classifier=SVC
kaggle380k-000981,yelp-23451,1.0,ml_classifier=SVC
kaggle380k-000982,yelp-06376,1.0,ml_classifier=SVC
kaggle380k-000991,yelp-23469,1.0,ml_classifier=SVC
kaggle380k-001002,yelp-22431,1.0,ml_classifier=SVC
kaggle380k-001008,yelp-22534,1.0,ml_classifier=SVC
kaggle380k-037084,yelp-22470,1.0,ml_classifier=SVC
kaggle380k-037085,yelp-06370,1.0,ml_classifier=SVC
kaggle380k-037086,yelp-23479,1.0,ml_classifier=SVC
kaggle380k-037087,yelp-23464,1.0,ml_classifier=SVC
kaggle380k-037088,yelp-27184,1.0,ml_classifier=SVC
kaggle380k-037089,yelp-06344,1.0,ml_classifier=SVC
kaggle380k-037090,yelp-06354,1.0,ml_classifier=SVC
kaggle380k-037091,yelp-23452,1.0,ml_classifier=SVC
kaggle380k-037092,yelp-27138,1.0,ml_classifier=SVC
kaggle380k-037093,yelp-23503,1.0,ml_classifier=SVC
kaggle380k-037094,yelp-23513,1.0,ml_classifier=SVC
kaggle380k-037095,yelp-23497,1.0,ml_classifier=SVC
kaggle380k-037095,yelp-23508,1.0,ml_classifier=SVC
kaggle380k-037096,yelp-23487,1.0,ml_classifier=SVC
kaggle380k-037097,yelp-27145,1.0,ml_classifier=SVC
kaggle380k-037098,yelp-23481,1.0,ml_classifier=SVC
kaggle380k-037100,yelp-23510,1.0,ml_classifier=SVC
kaggle380k-037101,yelp-23488,1.0,ml_classifier=SVC
kaggle380k-037102,yelp-27124,1.0,ml_classifier=SVC
kaggle380k-037103,yelp-23468,1.0,ml_classifier=SVC
kaggle380k-037104,yelp-23498,1.0,ml_classifier=SVC
kaggle380k-037106,yelp-22886,1.0,ml_classifier=SVC
kaggle380k-037106,yelp-27151,1.0,ml_classifier=SVC
kaggle380k-037107,yelp-23460,1.0,ml_classifier=SVC
kaggle380k-037108,yelp-23509,1.0,ml_classifier=SVC
kaggle380k-037109,yelp-27155,1.0,ml_classifier=SVC
kaggle380k-037111,yelp-06350,1.0,ml_classifier=SVC
kaggle380k-037114,yelp-23489,1.0,ml_classifier=SVC
kaggle380k-037115,yelp-23505,1.0,ml_classifier=SVC
kaggle380k-037118,yelp-23494,1.0,ml_classifier=SVC
kaggle380k-037120,yelp-23471,1.0,ml_classifier=SVC
kaggle380k-037123,yelp-27158,1.0,ml_classifier=SVC
kaggle380k-037124,yelp-27105,1.0,ml_classifier=SVC
kaggle380k-037127,yelp-27109,1.0,ml_classifier=SVC
kaggle380k-037131,yelp-27171,1.0,ml_classifier=SVC
kaggle380k-037132,yelp-27144,1.0,ml_classifier=SVC
kaggle380k-037134,yelp-06357,1.0,ml_classifier=SVC
kaggle380k-037137,yelp-27164,1.0,ml_classifier=SVC
