_id,_fusion_group_id,_fusion_sources,phone_e164,source,country,city,latitude,phone_raw,map_url,categories,postal_code,address_line1,uber_eats_id,street,house_number,rating,id,state,name,longitude,website,name_norm,kaggle380k_id,rating_count,address_line2,_fusion_confidence,_fusion_metadata,yelp_id
kaggle380k-326922,group_10605,"['yelp', 'kaggle380k']",178128988800.0,kaggle_380k,US,Revere,424284259,178128988800.0,https://www.google.com/maps/place/Yutaka+Buffet/data=!4m7!3m6!1s0x89e372045419bb43:0x6b51393c7c07dfb0!8m2!3d42.4284259!4d-71.0123207!16s%2Fg%2F1tg_bhgr!19sChIJQ7sZVARy44kRsN8HfDw5UWs?authuser=0&hl=en&rclk=1,"['Buffet restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'chinese', 'japanese']",2151,339 Squire Rd,,Squire Rd,339,41.0,kaggle380k-326922,MA,Yutaka Buffet,-710123207,http://yutakabuffet.com/,yutaka buffet,kaggle380k-326922,1880.0,,5,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'name_rule': 'longest_string', 'name_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['kaggle380k-326922', 'yelp-14640', 'kaggle380k-073339'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-14640
yelp-75110,group_2858,"['yelp', 'kaggle380k']",+17572207688,yelp,US,Williamsburg,3726839,175722076880.0,https://www.yelp.com/biz/traditions-williamsburg?adjust_creative=0mZy4NB2YGVRIpYXkr27bQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0mZy4NB2YGVRIpYXkr27bQ,"['Restaurant', 'Southern restaurant (US)', 'nan']",23185,310 S England St,,S England St,310,31.0,yelp-75110,VA,Traditions,-7670035,https://www.colonialwilliamsburg.com/eat/traditions?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,traditions,kaggle380k-264511,540.0,,5,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'name_rule': 'longest_string', 'name_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['yelp-75110', 'kaggle380k-264511', 'kaggle380k-148571'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-75110
kaggle380k-040186,group_1035,"['yelp', 'kaggle380k']",120837560140.0,kaggle_380k,US,Boise,435905495,120837560140.0,https://www.google.com/maps/place/Pad+Thai+House/data=!4m7!3m6!1s0x54ae56eea83a5743:0xeedb960832f3924d!8m2!3d43.5905495!4d-116.3070223!16s%2Fg%2F1td1d3zc!19sChIJQ1c6qO5WrlQRTZLzMgiW2-4?authuser=0&hl=en&rclk=1,"['Restaurant', 'Thai restaurant', 'thai']",83709,10038 W Overland Rd,,W Overland Rd,10038,44.0,kaggle380k-040186,ID,Pad Thai House,-1163070223,https://boisepadthaihouse.com/,pad thai house,kaggle380k-040186,7290.0,,4090909090909091,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'name_rule': 'longest_string', 'name_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['kaggle380k-040186', 'kaggle380k-296685', 'yelp-69064', 'kaggle380k-285896', 'kaggle380k-158048'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-69064
yelp-38963,group_13759,"['yelp', 'kaggle380k']",191927814780.0,yelp,US,Raleigh,358361608,191927814780.0,https://www.yelp.com/biz/41hundred-raleigh?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,"['American restaurant', 'Bar', 'Breakfast restaurant', 'Cocktail bar', 'Eclectic restaurant', 'Fine dining restaurant', 'Lounge', 'breakfast']",27609,4100 Main At North Hills St,,Main at North Hills St,"41Hundred, 4100",39.0,yelp-38963,NC,41Hundred,-786436996,http://41hundredrestaurant.com/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,41hundred,kaggle380k-122296,180.0,,5,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'name_rule': 'longest_string', 'name_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['yelp-38963', 'kaggle380k-122296', 'kaggle380k-199936'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-38963
yelp-84955,group_8953,"['uber_eats', 'yelp', 'kaggle380k']",125450139400.0,yelp,US,Killeen,311279671,125450139400.0,https://www.yelp.com/biz/pho-saigon-killeen?adjust_creative=0mZy4NB2YGVRIpYXkr27bQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0mZy4NB2YGVRIpYXkr27bQ,"['Healthy', 'Noodles', 'Pho restaurant', 'Vietnamese', 'Vietnamese restaurant', 'nan']",76541,710 W Rancier Ave,uber_eats-62329,W Rancier Ave,710,35.0,yelp-84955,TX,Pho Saigon,-977344779,,pho saigon,kaggle380k-133100,2060.0,,4782608695652174,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'address_line1_rule': 'first_non_null', 'uber_eats_id_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'name_rule': 'longest_string', 'name_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['yelp-84955', 'kaggle380k-133100', 'kaggle380k-325722', 'uber_eats-62329'], 'website_rule': 'no_value', 'name_norm_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-84955
yelp-87329,group_11746,"['yelp', 'kaggle380k']",197254226740.0,yelp,US,McKinney,332107229,197254226740.0,https://www.yelp.com/biz/waffle-house-mckinney-2?adjust_creative=0mZy4NB2YGVRIpYXkr27bQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0mZy4NB2YGVRIpYXkr27bQ,"['American restaurant', 'Breakfast restaurant', 'Diner', 'Family restaurant', 'Restaurant', 'breakfast']",75070,1432 N Central Expy,,N Central Expy XWAY,1432,31.0,yelp-87329,TX,Waffle House,-966370267,https://locations.wafflehouse.com/mckinney-tx-1085,waffle house,kaggle380k-134359,1180.0,,5,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'name_rule': 'longest_string', 'name_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['yelp-87329', 'kaggle380k-134359', 'kaggle380k-273997'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-87329
kaggle380k-332808,group_7150,"['yelp', 'kaggle380k']",125672280400.0,kaggle_380k,US,Huntsville,347142628,125672280400.0,https://www.google.com/maps/place/West+End+Grill/data=!4m7!3m6!1s0x88626ea4f9bbbe29:0xc8d6aaa730dea3ba!8m2!3d34.7142628!4d-86.6690075!16s%2Fg%2F1tdxr5sb!19sChIJKb67-aRuYogRuqPeMKeq1sg?authuser=0&hl=en&rclk=1,"['American restaurant', 'Sports bar', 'Steak house', 'nan']",35806,6610 Old Madison Pike,,Old Madison Pike,6610,45.0,kaggle380k-332808,AL,West End Grill,-866690075,http://www.westendgrillhsv.com/,west end grill,kaggle380k-332808,3070.0,# 109,5227272727272727,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'name_rule': 'longest_string', 'name_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['kaggle380k-332808', 'kaggle380k-132465', 'yelp-83946'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'address_line2_rule': 'first_non_null'}",yelp-83946
kaggle380k-078008,group_5279,"['uber_eats', 'kaggle380k']",143268733730.0,kaggle_380k,US,Midland,319938002,143268733730.0,https://www.google.com/maps/place/Thai+House+%28Thai+%26+Chinese+Food%29/data=!4m7!3m6!1s0x86fbd85b8c41edb7:0x7e5d0af3cccfa9ea!8m2!3d31.9938002!4d-102.1009554!16s%2Fg%2F1td1kfly!19sChIJt-1BjFvY-4YR6qnPzPMKXX4?authuser=0&hl=en&rclk=1,"['Asian', 'Chinese restaurant', 'Noodles', 'Thai', 'Thai restaurant']",79701,9 Meta Dr,uber_eats-62842,Meta Dr,9,44.0,kaggle380k-078008,TX,Thai House,-1021009554,,thai house thai chinese food,kaggle380k-078008,,,4545454545454545,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'address_line1_rule': 'first_non_null', 'uber_eats_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'name_rule': 'longest_string', 'name_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['kaggle380k-078008', 'kaggle380k-265015', 'uber_eats-62842'], 'website_rule': 'no_value', 'name_norm_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'rating_count_rule': 'no_value', 'address_line2_rule': 'no_value'}",
kaggle380k-248912,group_15232,"['yelp', 'kaggle380k']",191978085540.0,kaggle_380k,US,Durham,359688934,191978085540.0,https://www.google.com/maps/place/Let%27s+Eat+Soul+Food/data=!4m7!3m6!1s0x89ace531bc129a61:0xaec3ee647e8bde5!8m2!3d35.9688934!4d-78.9031196!16s%2Fg%2F11mthtyvpc!19sChIJYZoSvDHlrIkR5b3oR-Y-7Ao?authuser=0&hl=en&rclk=1,"['Soul food restaurant', 'seafood']",27707,2514 Fayetteville St,,Fayetteville St,2514,44.0,kaggle380k-248912,NC,Let's Eat Soul Food,-789031196,http://www.letseatbullcity.com/,let s eat soul food,kaggle380k-248912,380.0,,5,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'name_rule': 'longest_string', 'name_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['kaggle380k-248912', 'kaggle380k-093251', 'yelp-69355'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-69355
kaggle380k-302457,group_5556,"['yelp', 'kaggle380k']",160248223280.0,kaggle_380k,US,Phoenix,336108075,160248223280.0,https://www.google.com/maps/place/Original+Breakfast+House/data=!4m7!3m6!1s0x872b723a16f1d325:0x5a38ca123b6e12c2!8m2!3d33.6108075!4d-112.0128356!16s%2Fg%2F12jsdwpd6!19sChIJJdPxFjpyK4cRwhJuOxLKOFo?authuser=0&hl=en&rclk=1,"['Breakfast restaurant', 'breakfast', 'cafe']",85032,13623 N 32nd St,,N 32nd St,13623,47.0,kaggle380k-302457,AZ,Original Breakfast House,-1120128356,https://www.originalbreakfasthouse.com/,original breakfast house,kaggle380k-302457,28440.0,,5,"{'phone_e164_rule': 'first_non_null', 'source_rule': 'first_non_null', 'country_rule': 'prefer_higher_trust', 'country_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'city_rule': 'prefer_higher_trust', 'city_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'latitude_rule': 'prefer_higher_trust', 'latitude_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'phone_raw_rule': 'first_non_null', 'map_url_rule': 'first_non_null', 'categories_rule': 'union', 'categories_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'postal_code_rule': 'prefer_higher_trust', 'postal_code_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'address_line1_rule': 'first_non_null', 'yelp_id_rule': 'first_non_null', 'street_rule': 'prefer_higher_trust', 'street_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'house_number_rule': 'prefer_higher_trust', 'house_number_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'rating_rule': 'first_non_null', 'id_rule': 'first_non_null', 'state_rule': 'prefer_higher_trust', 'state_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'name_rule': 'longest_string', 'name_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], '_id_rule': 'first_non_null', 'longitude_rule': 'prefer_higher_trust', 'longitude_sources': ['kaggle380k-302457', 'yelp-13808', 'kaggle380k-005065'], 'website_rule': 'first_non_null', 'name_norm_rule': 'first_non_null', 'kaggle380k_id_rule': 'first_non_null', 'rating_count_rule': 'first_non_null', 'address_line2_rule': 'no_value'}",yelp-13808
